period,store,channel,sessions,users,vdp_views,form_submissions,click_to_call,conversions
2023-12,Nissan Boardman,direct / (none),5042,3814,7262,31,48,79
2023-12,Nissan Boardman,email / newsletter,326,250,262,4,1,5
2023-12,Nissan Boardman,facebook / paid,5186,4025,6904,21,24,45
2023-12,Nissan Boardman,google / cpc,4843,3809,10205,37,56,93
2023-12,Nissan Boardman,google / organic,15749,11653,19524,66,84,150
2023-12,Nissan Boardman,iHeartMedia / radio,900,715,1901,1,3,4
2024-01,Chevrolet Cranberry,autotrader / referral,1447,1111,4391,23,14,37
2024-01,Chevrolet Cranberry,bing / cpc,912,661,933,3,4,7
2024-01,Chevrolet Cranberry,cars.com / referral,1547,1236,2887,9,6,15
2024-01,Chevrolet Cranberry,direct / (none),3162,2299,5235,17,23,40
2024-01,Chevrolet Cranberry,email / newsletter,510,383,381,6,2,8
2024-01,Chevrolet Cranberry,facebook / paid,2830,2229,4046,11,14,25
2024-01,Chevrolet Cranberry,google / cpc,3498,2797,6748,20,33,53
2024-01,Chevrolet Cranberry,google / organic,9387,7000,10892,35,52,87
2024-01,Chevrolet Cranberry,iHeartMedia / radio,611,450,1205,1,3,4
2024-01,Honda Monroeville,autotrader / referral,1185,861,3922,20,11,31
2024-01,Honda Monroeville,bing / cpc,746,583,837,3,5,8
2024-01,Honda Monroeville,cars.com / referral,1188,847,2311,9,5,14
2024-01,Honda Monroeville,direct / (none),2675,2131,3904,13,18,31
2024-01,Honda Monroeville,email / newsletter,399,289,307,5,1,6
2024-01,Honda Monroeville,facebook / paid,2338,1859,3537,9,11,20
2024-01,Honda Monroeville,google / cpc,2592,2016,5200,17,28,45
2024-01,Honda Monroeville,google / organic,7730,6141,10955,42,68,110
2024-01,Honda Monroeville,iHeartMedia / radio,449,340,992,1,2,3
2024-01,Nissan Boardman,autotrader / referral,2041,1580,6188,35,23,58
2024-01,Nissan Boardman,bing / cpc,1299,1036,1564,8,10,18
2024-01,Nissan Boardman,cars.com / referral,1918,1369,4401,12,6,18
2024-01,Nissan Boardman,direct / (none),4342,3423,6842,25,38,63
2024-01,Nissan Boardman,email / newsletter,830,612,643,9,3,12
2024-01,Nissan Boardman,facebook / paid,4424,3412,6975,15,18,33
2024-01,Nissan Boardman,google / cpc,5141,3905,9598,39,51,90
2024-01,Nissan Boardman,google / organic,11780,8643,16963,65,100,165
2024-01,Nissan Boardman,iHeartMedia / radio,776,556,1667,1,3,4
2024-02,Chevrolet Cranberry,autotrader / referral,1526,1174,4481,21,13,34
2024-02,Chevrolet Cranberry,bing / cpc,935,724,1030,4,5,9
2024-02,Chevrolet Cranberry,cars.com / referral,1569,1141,2847,10,6,16
2024-02,Chevrolet Cranberry,direct / (none),3443,2708,5977,19,25,44
2024-02,Chevrolet Cranberry,email / newsletter,200,157,189,2,0,2
2024-02,Chevrolet Cranberry,facebook / paid,2885,2207,3950,10,13,23
2024-02,Chevrolet Cranberry,google / cpc,4834,3825,8901,43,58,101
2024-02,Chevrolet Cranberry,google / organic,9045,7136,11963,41,64,105
2024-02,Chevrolet Cranberry,iHeartMedia / radio,1121,892,2036,3,8,11
2024-02,Honda Monroeville,autotrader / referral,1087,834,3203,14,9,23
2024-02,Honda Monroeville,bing / cpc,645,500,817,3,5,8
2024-02,Honda Monroeville,cars.com / referral,1087,807,1845,9,5,14
2024-02,Honda Monroeville,direct / (none),2580,1932,3944,16,24,40
2024-02,Honda Monroeville,email / newsletter,150,118,108,1,0,1
2024-02,Honda Monroeville,facebook / paid,2516,1907,3756,8,11,19
2024-02,Honda Monroeville,google / cpc,3837,2821,6680,31,45,76
2024-02,Honda Monroeville,google / organic,7604,6036,10207,38,48,86
2024-02,Honda Monroeville,iHeartMedia / radio,828,642,1610,2,5,7
2024-02,Nissan Boardman,autotrader / referral,2153,1621,6810,30,16,46
2024-02,Nissan Boardman,bing / cpc,1148,851,1354,4,5,9
2024-02,Nissan Boardman,cars.com / referral,2240,1700,4142,11,7,18
2024-02,Nissan Boardman,direct / (none),4716,3764,7386,33,52,85
2024-02,Nissan Boardman,email / newsletter,262,194,195,3,1,4
2024-02,Nissan Boardman,facebook / paid,3867,2891,6007,11,12,23
2024-02,Nissan Boardman,google / cpc,6345,4719,12046,41,52,93
2024-02,Nissan Boardman,google / organic,12317,9641,14915,42,58,100
2024-02,Nissan Boardman,iHeartMedia / radio,1463,1157,2824,4,8,12
2024-03,Chevrolet Cranberry,autotrader / referral,1589,1144,4091,21,12,33
2024-03,Chevrolet Cranberry,bing / cpc,1040,817,1536,3,5,8
2024-03,Chevrolet Cranberry,cars.com / referral,1856,1438,3549,12,6,18
2024-03,Chevrolet Cranberry,direct / (none),4398,3444,7604,31,50,81
2024-03,Chevrolet Cranberry,email / newsletter,679,512,622,6,1,7
2024-03,Chevrolet Cranberry,facebook / paid,3092,2197,4693,9,12,21
2024-03,Chevrolet Cranberry,google / cpc,6617,4997,9932,62,80,142
2024-03,Chevrolet Cranberry,google / organic,10801,7601,14188,53,88,141
2024-03,Chevrolet Cranberry,iHeartMedia / radio,1980,1475,3303,6,13,19
2024-03,Honda Monroeville,autotrader / referral,1378,1000,3086,18,11,29
2024-03,Honda Monroeville,bing / cpc,739,572,999,2,3,5
2024-03,Honda Monroeville,cars.com / referral,1307,1045,1818,8,5,13
2024-03,Honda Monroeville,direct / (none),3015,2383,4838,23,38,61
2024-03,Honda Monroeville,email / newsletter,543,431,557,5,1,6
2024-03,Honda Monroeville,facebook / paid,2663,2095,3639,6,7,13
2024-03,Honda Monroeville,google / cpc,5034,3693,7862,44,65,109
2024-03,Honda Monroeville,google / organic,9307,7331,12082,40,63,103
2024-03,Honda Monroeville,iHeartMedia / radio,1644,1216,2408,5,11,16
2024-03,Nissan Boardman,autotrader / referral,2127,1491,5310,30,19,49
2024-03,Nissan Boardman,bing / cpc,1285,924,2002,6,9,15
2024-03,Nissan Boardman,cars.com / referral,2618,1994,4834,19,10,29
2024-03,Nissan Boardman,direct / (none),5039,3669,8665,40,58,98
2024-03,Nissan Boardman,email / newsletter,875,693,714,7,2,9
2024-03,Nissan Boardman,facebook / paid,4134,3293,6254,11,15,26
2024-03,Nissan Boardman,google / cpc,9295,7318,13140,77,101,178
2024-03,Nissan Boardman,google / organic,14267,11102,18852,45,69,114
2024-03,Nissan Boardman,iHeartMedia / radio,2866,2210,4500,8,21,29
2024-04,Chevrolet Cranberry,autotrader / referral,1597,1259,3161,21,13,34
2024-04,Chevrolet Cranberry,bing / cpc,1076,800,1934,4,5,9
2024-04,Chevrolet Cranberry,cars.com / referral,1734,1235,2298,9,5,14
2024-04,Chevrolet Cranberry,direct / (none),4478,3440,6654,35,49,84
2024-04,Chevrolet Cranberry,email / newsletter,217,164,249,2,0,2
2024-04,Chevrolet Cranberry,facebook / paid,3084,2362,3984,9,11,20
2024-04,Chevrolet Cranberry,google / cpc,8386,6100,9839,70,112,182
2024-04,Chevrolet Cranberry,google / organic,11633,9163,16129,53,73,126
2024-04,Chevrolet Cranberry,iHeartMedia / radio,2691,2130,3721,10,26,36
2024-04,Honda Monroeville,autotrader / referral,1385,1079,3074,15,10,25
2024-04,Honda Monroeville,bing / cpc,871,693,1335,5,7,12
2024-04,Honda Monroeville,cars.com / referral,1382,991,2389,8,6,14
2024-04,Honda Monroeville,direct / (none),3219,2487,5185,23,31,54
2024-04,Honda Monroeville,email / newsletter,194,143,177,2,0,2
2024-04,Honda Monroeville,facebook / paid,2263,1796,3112,6,8,14
2024-04,Honda Monroeville,google / cpc,6307,4970,7449,51,72,123
2024-04,Honda Monroeville,google / organic,8729,6319,12915,38,59,97
2024-04,Honda Monroeville,iHeartMedia / radio,2312,1695,3752,8,19,27
2024-04,Nissan Boardman,autotrader / referral,2334,1848,5007,30,15,45
2024-04,Nissan Boardman,bing / cpc,1396,1020,2083,6,7,13
2024-04,Nissan Boardman,cars.com / referral,2455,1720,4517,16,8,24
2024-04,Nissan Boardman,direct / (none),5576,4029,8475,47,80,127
2024-04,Nissan Boardman,email / newsletter,349,264,304,4,1,5
2024-04,Nissan Boardman,facebook / paid,4553,3542,5637,11,12,23
2024-04,Nissan Boardman,google / cpc,10238,7933,13465,110,180,290
2024-04,Nissan Boardman,google / organic,14773,10617,19112,71,120,191
2024-04,Nissan Boardman,iHeartMedia / radio,3524,2711,4504,13,26,39
2024-05,Chevrolet Cranberry,autotrader / referral,1734,1304,3277,16,10,26
2024-05,Chevrolet Cranberry,bing / cpc,1104,875,1912,7,9,16
2024-05,Chevrolet Cranberry,cars.com / referral,1934,1376,2832,15,9,24
2024-05,Chevrolet Cranberry,direct / (none),4438,3502,5986,37,57,94
2024-05,Chevrolet Cranberry,email / newsletter,691,535,720,8,2,10
2024-05,Chevrolet Cranberry,facebook / paid,3156,2446,3748,7,9,16
2024-05,Chevrolet Cranberry,google / cpc,10144,7333,12627,113,178,291
2024-05,Chevrolet Cranberry,google / organic,10925,8706,19492,46,74,120
2024-05,Chevrolet Cranberry,iHeartMedia / radio,3835,2944,5325,14,31,45
2024-05,Honda Monroeville,autotrader / referral,1321,1009,2895,16,9,25
2024-05,Honda Monroeville,bing / cpc,811,581,1517,3,4,7
2024-05,Honda Monroeville,cars.com / referral,1387,1016,2082,10,5,15
2024-05,Honda Monroeville,direct / (none),3169,2290,4418,26,44,70
2024-05,Honda Monroeville,email / newsletter,500,360,528,6,2,8
2024-05,Honda Monroeville,facebook / paid,2358,1864,2819,5,7,12
2024-05,Honda Monroeville,google / cpc,7081,4978,9604,69,115,184
2024-05,Honda Monroeville,google / organic,8669,6560,14157,40,67,107
2024-05,Honda Monroeville,iHeartMedia / radio,3229,2447,3808,12,28,40
2024-05,Nissan Boardman,autotrader / referral,2154,1536,4827,21,13,34
2024-05,Nissan Boardman,bing / cpc,1382,1059,2312,7,8,15
2024-05,Nissan Boardman,cars.com / referral,2366,1853,4260,17,11,28
2024-05,Nissan Boardman,direct / (none),5766,4500,7600,43,69,112
2024-05,Nissan Boardman,email / newsletter,851,669,1060,11,3,14
2024-05,Nissan Boardman,facebook / paid,3921,3007,4558,9,13,22
2024-05,Nissan Boardman,google / cpc,12252,8892,14352,132,206,338
2024-05,Nissan Boardman,google / organic,14968,10965,23842,66,96,162
2024-05,Nissan Boardman,iHeartMedia / radio,5162,3991,5839,23,53,76
2024-06,Chevrolet Cranberry,autotrader / referral,1640,1215,2507,14,7,21
2024-06,Chevrolet Cranberry,bing / cpc,1013,713,2160,4,6,10
2024-06,Chevrolet Cranberry,cars.com / referral,1830,1450,2627,16,9,25
2024-06,Chevrolet Cranberry,direct / (none),3888,2752,5151,32,48,80
2024-06,Chevrolet Cranberry,email / newsletter,223,166,279,3,1,4
2024-06,Chevrolet Cranberry,facebook / paid,2711,2059,2557,5,7,12
2024-06,Chevrolet Cranberry,google / cpc,8681,6663,10705,95,136,231
2024-06,Chevrolet Cranberry,google / organic,12010,8492,20502,73,108,181
2024-06,Chevrolet Cranberry,iHeartMedia / radio,5413,3974,5785,25,55,80
2024-06,Honda Monroeville,autotrader / referral,1277,918,2069,13,7,20
2024-06,Honda Monroeville,bing / cpc,838,624,1513,4,6,10
2024-06,Honda Monroeville,cars.com / referral,1553,1213,2693,15,9,24
2024-06,Honda Monroeville,direct / (none),3324,2383,3767,25,43,68
2024-06,Honda Monroeville,email / newsletter,178,140,232,2,0,2
2024-06,Honda Monroeville,facebook / paid,2083,1637,1908,4,5,9
2024-06,Honda Monroeville,google / cpc,7171,5218,7445,78,114,192
2024-06,Honda Monroeville,google / organic,8662,6797,18158,50,84,134
2024-06,Honda Monroeville,iHeartMedia / radio,3717,2649,4295,18,43,61
2024-06,Nissan Boardman,autotrader / referral,1972,1490,2978,17,8,25
2024-06,Nissan Boardman,bing / cpc,1515,1118,2823,10,12,22
2024-06,Nissan Boardman,cars.com / referral,2464,1913,3998,19,12,31
2024-06,Nissan Boardman,direct / (none),5409,3790,6623,48,78,126
2024-06,Nissan Boardman,email / newsletter,326,246,426,4,1,5
2024-06,Nissan Boardman,facebook / paid,3955,2831,3892,6,9,15
2024-06,Nissan Boardman,google / cpc,11511,8583,12388,127,190,317
2024-06,Nissan Boardman,google / organic,15777,11432,27489,93,125,218
2024-06,Nissan Boardman,iHeartMedia / radio,7604,5680,9625,42,90,132
2024-07,Chevrolet Cranberry,autotrader / referral,1324,1054,2410,11,6,17
2024-07,Chevrolet Cranberry,bing / cpc,1089,799,2189,7,9,16
2024-07,Chevrolet Cranberry,cars.com / referral,1763,1292,3888,18,10,28
2024-07,Chevrolet Cranberry,direct / (none),3663,2910,4064,28,40,68
2024-07,Chevrolet Cranberry,email / newsletter,615,448,911,10,3,13
2024-07,Chevrolet Cranberry,facebook / paid,2817,2007,2569,5,7,12
2024-07,Chevrolet Cranberry,google / cpc,7932,6279,6740,112,182,294
2024-07,Chevrolet Cranberry,google / organic,11874,8488,26401,74,105,179
2024-07,Chevrolet Cranberry,iHeartMedia / radio,4357,3070,5534,20,43,63
2024-07,Honda Monroeville,autotrader / referral,1068,777,2067,8,4,12
2024-07,Honda Monroeville,bing / cpc,844,625,1792,5,8,13
2024-07,Honda Monroeville,cars.com / referral,1315,1036,2203,11,6,17
2024-07,Honda Monroeville,direct / (none),3123,2436,3296,25,38,63
2024-07,Honda Monroeville,email / newsletter,554,429,854,9,2,11
2024-07,Honda Monroeville,facebook / paid,2379,1818,2188,5,8,13
2024-07,Honda Monroeville,google / cpc,5925,4688,5424,70,93,163
2024-07,Honda Monroeville,google / organic,8807,6383,18819,40,57,97
2024-07,Honda Monroeville,iHeartMedia / radio,3581,2609,4026,18,43,61
2024-07,Nissan Boardman,autotrader / referral,2166,1531,4145,23,13,36
2024-07,Nissan Boardman,bing / cpc,1349,1026,2482,10,14,24
2024-07,Nissan Boardman,cars.com / referral,2375,1689,4586,23,14,37
2024-07,Nissan Boardman,direct / (none),5947,4709,6932,50,66,116
2024-07,Nissan Boardman,email / newsletter,802,632,1124,13,4,17
2024-07,Nissan Boardman,facebook / paid,3937,3093,3212,8,10,18
2024-07,Nissan Boardman,google / cpc,11784,9082,13603,169,216,385
2024-07,Nissan Boardman,google / organic,15117,11136,32410,74,97,171
2024-07,Nissan Boardman,iHeartMedia / radio,6309,4934,7586,32,71,103
2024-08,Chevrolet Cranberry,autotrader / referral,1643,1177,3357,14,7,21
2024-08,Chevrolet Cranberry,bing / cpc,1118,782,2160,9,14,23
2024-08,Chevrolet Cranberry,cars.com / referral,1811,1352,3597,17,9,26
2024-08,Chevrolet Cranberry,direct / (none),4023,3169,4257,34,56,90
2024-08,Chevrolet Cranberry,email / newsletter,250,176,419,3,1,4
2024-08,Chevrolet Cranberry,facebook / paid,3229,2570,2762,8,11,19
2024-08,Chevrolet Cranberry,google / cpc,7314,5429,9114,104,168,272
2024-08,Chevrolet Cranberry,google / organic,12573,9546,32522,70,118,188
2024-08,Chevrolet Cranberry,iHeartMedia / radio,4205,3256,5270,23,47,70
2024-08,Honda Monroeville,autotrader / referral,1094,872,2068,6,3,9
2024-08,Honda Monroeville,bing / cpc,903,646,1684,5,7,12
2024-08,Honda Monroeville,cars.com / referral,1537,1187,3194,15,9,24
2024-08,Honda Monroeville,direct / (none),3627,2610,3295,32,44,76
2024-08,Honda Monroeville,email / newsletter,187,146,295,3,0,3
2024-08,Honda Monroeville,facebook / paid,2521,1893,1852,5,6,11
2024-08,Honda Monroeville,google / cpc,4875,3891,5607,64,100,164
2024-08,Honda Monroeville,google / organic,8910,6730,22229,61,98,159
2024-08,Honda Monroeville,iHeartMedia / radio,3110,2290,3151,17,39,56
2024-08,Nissan Boardman,autotrader / referral,2041,1451,3282,14,8,22
2024-08,Nissan Boardman,bing / cpc,1321,943,2791,11,17,28
2024-08,Nissan Boardman,cars.com / referral,2488,1783,4999,26,14,40
2024-08,Nissan Boardman,direct / (none),6218,4735,6031,56,94,150
2024-08,Nissan Boardman,email / newsletter,312,230,461,5,1,6
2024-08,Nissan Boardman,facebook / paid,4287,3129,3603,9,9,18
2024-08,Nissan Boardman,google / cpc,9063,7091,9095,119,170,289
2024-08,Nissan Boardman,google / organic,17356,13013,38845,112,181,293
2024-08,Nissan Boardman,iHeartMedia / radio,5638,4386,5543,36,79,115
2024-09,Chevrolet Cranberry,autotrader / referral,1215,862,2107,8,4,12
2024-09,Chevrolet Cranberry,bing / cpc,969,711,1848,7,11,18
2024-09,Chevrolet Cranberry,cars.com / referral,1662,1179,4491,21,13,34
2024-09,Chevrolet Cranberry,direct / (none),3828,2679,3114,34,51,85
2024-09,Chevrolet Cranberry,email / newsletter,614,477,1006,12,4,16
2024-09,Chevrolet Cranberry,facebook / paid,2779,2023,1932,6,6,12
2024-09,Chevrolet Cranberry,google / cpc,4983,3736,5884,82,131,213
2024-09,Chevrolet Cranberry,google / organic,11598,9270,30357,91,143,234
2024-09,Chevrolet Cranberry,iHeartMedia / radio,3350,2614,4383,21,50,71
2024-09,Honda Monroeville,autotrader / referral,1128,823,1931,6,3,9
2024-09,Honda Monroeville,bing / cpc,750,568,1465,5,8,13
2024-09,Honda Monroeville,cars.com / referral,1305,1042,3149,14,7,21
2024-09,Honda Monroeville,direct / (none),3332,2661,2641,26,45,71
2024-09,Honda Monroeville,email / newsletter,449,328,808,9,2,11
2024-09,Honda Monroeville,facebook / paid,2106,1648,1452,4,5,9
2024-09,Honda Monroeville,google / cpc,3529,2713,4707,58,73,131
2024-09,Honda Monroeville,google / organic,7620,5513,18052,63,85,148
2024-09,Honda Monroeville,iHeartMedia / radio,2360,1713,2588,14,37,51
2024-09,Nissan Boardman,autotrader / referral,1955,1445,4332,13,7,20
2024-09,Nissan Boardman,bing / cpc,1227,922,2596,11,14,25
2024-09,Nissan Boardman,cars.com / referral,2419,1776,6567,28,16,44
2024-09,Nissan Boardman,direct / (none),5398,4073,5197,45,73,118
2024-09,Nissan Boardman,email / newsletter,915,698,1655,18,5,23
2024-09,Nissan Boardman,facebook / paid,3898,3008,3064,10,14,24
2024-09,Nissan Boardman,google / cpc,7222,5331,7363,103,141,244
2024-09,Nissan Boardman,google / organic,14531,11277,35373,90,142,232
2024-09,Nissan Boardman,iHeartMedia / radio,4590,3361,6033,30,68,98
2024-10,Chevrolet Cranberry,autotrader / referral,1173,902,2287,7,3,10
2024-10,Chevrolet Cranberry,bing / cpc,1015,806,1883,8,11,19
2024-10,Chevrolet Cranberry,cars.com / referral,1704,1265,4406,26,14,40
2024-10,Chevrolet Cranberry,direct / (none),3380,2515,2417,25,38,63
2024-10,Chevrolet Cranberry,email / newsletter,214,163,383,4,1,5
2024-10,Chevrolet Cranberry,facebook / paid,2974,2099,2171,8,11,19
2024-10,Chevrolet Cranberry,google / cpc,3712,2776,5188,62,95,157
2024-10,Chevrolet Cranberry,google / organic,9683,6856,24451,69,115,184
2024-10,Chevrolet Cranberry,iHeartMedia / radio,2493,1811,3856,16,32,48
2024-10,Honda Monroeville,autotrader / referral,944,717,2238,5,3,8
2024-10,Honda Monroeville,bing / cpc,717,539,1363,6,8,14
2024-10,Honda Monroeville,cars.com / referral,1151,820,3062,17,10,27
2024-10,Honda Monroeville,direct / (none),3035,2294,2597,26,39,65
2024-10,Honda Monroeville,email / newsletter,148,118,252,2,0,2
2024-10,Honda Monroeville,facebook / paid,2461,1727,1986,5,7,12
2024-10,Honda Monroeville,google / cpc,3211,2362,4809,49,64,113
2024-10,Honda Monroeville,google / organic,7543,5920,18358,65,96,161
2024-10,Honda Monroeville,iHeartMedia / radio,2200,1651,2831,15,30,45
2024-10,Nissan Boardman,autotrader / referral,1660,1298,3497,11,6,17
2024-10,Nissan Boardman,bing / cpc,1177,924,1989,10,11,21
2024-10,Nissan Boardman,cars.com / referral,1995,1533,5070,30,20,50
2024-10,Nissan Boardman,direct / (none),5312,3862,4398,47,81,128
2024-10,Nissan Boardman,email / newsletter,267,208,430,5,1,6
2024-10,Nissan Boardman,facebook / paid,4061,2995,2976,10,13,23
2024-10,Nissan Boardman,google / cpc,5243,4114,7086,82,120,202
2024-10,Nissan Boardman,google / organic,13125,9859,34351,93,151,244
2024-10,Nissan Boardman,iHeartMedia / radio,3408,2512,4348,21,43,64
2024-11,Chevrolet Cranberry,autotrader / referral,1152,916,2535,6,3,9
2024-11,Chevrolet Cranberry,bing / cpc,956,743,1457,9,11,20
