period,store,source,lead_type,leads,sales,new_sales,used_sales,gross,budget
2023-11,Nissan Boardman,Service Conquest,service,79,16,12,4,30822,
2023-11,Nissan Boardman,TrueCar,internet,84,7,4,3,16357,2407
2023-11,Nissan Boardman,Walk In,showroom,91,23,17,6,77426,
2023-11,Nissan Boardman,Website Chat,chat,80,11,6,5,28244,913
2023-12,Chevrolet Cranberry,Autotrader,internet,239,19,10,9,49512,3082
2023-12,Chevrolet Cranberry,CarGurus,internet,40,5,1,4,14904,674
2023-12,Chevrolet Cranberry,CarGurus,phone,10,0,0,0,0,168
2023-12,Chevrolet Cranberry,Cars.com,internet,132,7,4,3,22103,2297
2023-12,Chevrolet Cranberry,Craigslist,internet,40,2,1,1,5160,
2023-12,Chevrolet Cranberry,Dealer Website,chat,43,3,2,1,9861,
2023-12,Chevrolet Cranberry,Dealer Website,internet,261,23,13,10,77493,
2023-12,Chevrolet Cranberry,Facebook Marketplace,internet,95,10,6,4,19313,616
2023-12,Chevrolet Cranberry,Inbound Calls,phone,87,20,14,6,54827,
2023-12,Chevrolet Cranberry,Lease Return,campaign,62,21,15,6,32127,
2023-12,Chevrolet Cranberry,Service Conquest,service,54,14,10,4,33554,
2023-12,Chevrolet Cranberry,TrueCar,internet,75,6,3,3,17151,1714
2023-12,Chevrolet Cranberry,Walk In,showroom,67,22,16,6,75283,
2023-12,Chevrolet Cranberry,Website Chat,chat,58,4,2,2,10771,681
2023-12,Honda Monroeville,Autotrader,internet,207,10,6,4,30678,2416
2023-12,Honda Monroeville,CarGurus,internet,21,3,1,2,8219,528
2023-12,Honda Monroeville,CarGurus,phone,5,0,0,0,0,132
2023-12,Honda Monroeville,Cars.com,internet,149,9,5,4,30611,1801
2023-12,Honda Monroeville,Craigslist,internet,23,1,1,0,1997,
2023-12,Honda Monroeville,Dealer Website,chat,40,5,3,2,15355,
2023-12,Honda Monroeville,Dealer Website,internet,243,22,12,10,69732,
2023-12,Honda Monroeville,Facebook Marketplace,internet,60,2,1,1,3873,483
2023-12,Honda Monroeville,Inbound Calls,phone,115,25,18,7,79290,
2023-12,Honda Monroeville,Lease Return,campaign,47,18,13,5,27190,
2023-12,Honda Monroeville,Service Conquest,service,40,13,9,4,24017,
2023-12,Honda Monroeville,TrueCar,internet,84,6,3,3,16671,1343
2023-12,Honda Monroeville,Walk In,showroom,57,23,17,6,74536,
2023-12,Honda Monroeville,Website Chat,chat,37,1,1,0,2827,533
2023-12,Nissan Boardman,Autotrader,internet,386,22,12,10,64089,4166
2023-12,Nissan Boardman,CarGurus,internet,54,2,0,2,5566,912
2023-12,Nissan Boardman,CarGurus,phone,13,0,0,0,0,228
2023-12,Nissan Boardman,Cars.com,internet,254,21,12,9,68139,3105
2023-12,Nissan Boardman,Craigslist,internet,43,2,1,1,4816,
2023-12,Nissan Boardman,Dealer Website,chat,79,6,3,3,21797,
2023-12,Nissan Boardman,Dealer Website,internet,485,44,24,20,151816,
2023-12,Nissan Boardman,Facebook Marketplace,internet,100,4,2,2,8249,833
2023-12,Nissan Boardman,Inbound Calls,phone,175,34,24,10,110649,
2023-12,Nissan Boardman,Lease Return,campaign,81,21,15,6,32238,
2023-12,Nissan Boardman,Service Conquest,service,94,11,8,3,21570,
2023-12,Nissan Boardman,TrueCar,internet,101,3,2,1,7769,2316
2023-12,Nissan Boardman,Walk In,showroom,117,31,22,9,114331,
2023-12,Nissan Boardman,Website Chat,chat,92,4,2,2,9906,920
2024-01,Chevrolet Cranberry,Autotrader,internet,205,23,13,10,69318,3074
2024-01,Chevrolet Cranberry,CarGurus,internet,29,1,0,1,2449,674
2024-01,Chevrolet Cranberry,CarGurus,phone,7,0,0,0,0,168
2024-01,Chevrolet Cranberry,Cars.com,internet,88,4,2,2,11048,2299
2024-01,Chevrolet Cranberry,Craigslist,internet,35,4,2,2,10214,
2024-01,Chevrolet Cranberry,Dealer Website,chat,35,4,2,2,15349,
2024-01,Chevrolet Cranberry,Dealer Website,internet,218,26,14,12,92193,
2024-01,Chevrolet Cranberry,Direct Mail Q1,campaign,105,12,9,3,25391,4810
2024-01,Chevrolet Cranberry,Facebook Marketplace,internet,80,6,3,3,14240,754
2024-01,Chevrolet Cranberry,Inbound Calls,phone,69,23,17,6,78990,
2024-01,Chevrolet Cranberry,Lease Return,campaign,16,6,4,2,10825,
2024-01,Chevrolet Cranberry,Service Conquest,service,50,10,7,3,21588,
2024-01,Chevrolet Cranberry,TrueCar,internet,55,4,2,2,8725,1649
2024-01,Chevrolet Cranberry,Walk In,showroom,65,29,21,8,101217,
2024-01,Chevrolet Cranberry,Website Chat,chat,52,4,2,2,10889,686
2024-01,Honda Monroeville,Autotrader,internet,177,17,9,8,52681,2409
2024-01,Honda Monroeville,CarGurus,internet,12,1,0,1,2856,528
2024-01,Honda Monroeville,CarGurus,phone,3,0,0,0,0,132
2024-01,Honda Monroeville,Cars.com,internet,123,7,4,3,18875,1802
2024-01,Honda Monroeville,Craigslist,internet,20,3,2,1,6387,
2024-01,Honda Monroeville,Dealer Website,chat,28,7,4,3,25466,
2024-01,Honda Monroeville,Dealer Website,internet,172,25,14,11,76231,
2024-01,Honda Monroeville,Direct Mail Q1,campaign,83,5,4,1,12151,3769
2024-01,Honda Monroeville,Facebook Marketplace,internet,67,4,2,2,9432,591
2024-01,Honda Monroeville,Inbound Calls,phone,78,13,9,4,35864,
2024-01,Honda Monroeville,Lease Return,campaign,13,3,2,1,5228,
2024-01,Honda Monroeville,Service Conquest,service,33,5,4,1,9449,
2024-01,Honda Monroeville,TrueCar,internet,67,5,3,2,13456,1292
2024-01,Honda Monroeville,Walk In,showroom,54,17,12,5,68906,
2024-01,Honda Monroeville,Website Chat,chat,32,3,2,1,7767,537
2024-01,Nissan Boardman,Autotrader,internet,268,21,12,9,52270,4154
2024-01,Nissan Boardman,CarGurus,internet,34,4,1,3,11692,912
2024-01,Nissan Boardman,CarGurus,phone,8,0,0,0,0,228
2024-01,Nissan Boardman,Cars.com,internet,213,15,8,7,51345,3107
2024-01,Nissan Boardman,Craigslist,internet,39,2,1,1,5009,
2024-01,Nissan Boardman,Dealer Website,chat,62,6,3,3,21517,
2024-01,Nissan Boardman,Dealer Website,internet,378,51,28,23,168584,
2024-01,Nissan Boardman,Direct Mail Q1,campaign,155,20,14,6,52469,6500
2024-01,Nissan Boardman,Facebook Marketplace,internet,100,3,2,1,7297,1019
2024-01,Nissan Boardman,Inbound Calls,phone,122,23,17,6,65759,
2024-01,Nissan Boardman,Lease Return,campaign,24,4,3,1,5977,
2024-01,Nissan Boardman,Service Conquest,service,69,13,9,4,31138,
2024-01,Nissan Boardman,TrueCar,internet,71,4,2,2,10100,2229
2024-01,Nissan Boardman,Walk In,showroom,99,37,27,10,143730,
2024-01,Nissan Boardman,Website Chat,chat,71,8,4,4,20455,927
2024-02,Chevrolet Cranberry,Autotrader,internet,217,17,9,8,50379,3066
2024-02,Chevrolet Cranberry,CarGurus,internet,24,1,0,1,2817,674
2024-02,Chevrolet Cranberry,CarGurus,phone,6,0,0,0,0,168
2024-02,Chevrolet Cranberry,Cars.com,internet,97,13,7,6,43617,2300
2024-02,Chevrolet Cranberry,Craigslist,internet,40,3,2,1,6701,
2024-02,Chevrolet Cranberry,Dealer Website,chat,36,3,2,1,10699,
2024-02,Chevrolet Cranberry,Dealer Website,internet,223,28,15,13,85013,
2024-02,Chevrolet Cranberry,Direct Mail Q1,campaign,128,13,9,4,34696,6012
2024-02,Chevrolet Cranberry,Facebook Marketplace,internet,116,10,6,4,22007,951
2024-02,Chevrolet Cranberry,Inbound Calls,phone,69,15,11,4,47533,
2024-02,Chevrolet Cranberry,Lease Return,campaign,17,7,5,2,10414,
2024-02,Chevrolet Cranberry,Service Conquest,service,48,13,9,4,30765,
2024-02,Chevrolet Cranberry,TrueCar,internet,51,3,2,1,6429,1587
2024-02,Chevrolet Cranberry,Walk In,showroom,60,26,19,7,103196,
2024-02,Chevrolet Cranberry,Website Chat,chat,50,4,2,2,10032,691
2024-02,Honda Monroeville,Autotrader,internet,162,7,4,3,22829,2403
2024-02,Honda Monroeville,CarGurus,internet,9,0,0,0,0,528
2024-02,Honda Monroeville,CarGurus,phone,2,0,0,0,0,132
2024-02,Honda Monroeville,Cars.com,internet,129,9,5,4,31302,1803
2024-02,Honda Monroeville,Craigslist,internet,20,2,1,1,4436,
2024-02,Honda Monroeville,Dealer Website,chat,31,4,2,2,11959,
2024-02,Honda Monroeville,Dealer Website,internet,188,19,10,9,57856,
2024-02,Honda Monroeville,Direct Mail Q1,campaign,110,16,12,4,34360,4712
2024-02,Honda Monroeville,Facebook Marketplace,internet,80,1,1,0,2126,745
2024-02,Honda Monroeville,Inbound Calls,phone,81,19,14,5,64038,
2024-02,Honda Monroeville,Lease Return,campaign,13,2,1,1,3530,
2024-02,Honda Monroeville,Service Conquest,service,32,7,5,2,15920,
2024-02,Honda Monroeville,TrueCar,internet,61,4,2,2,10103,1244
2024-02,Honda Monroeville,Walk In,showroom,51,21,15,6,80931,
2024-02,Honda Monroeville,Website Chat,chat,32,4,2,2,11582,541
2024-02,Nissan Boardman,Autotrader,internet,306,19,10,9,62889,4143
2024-02,Nissan Boardman,CarGurus,internet,41,1,0,1,3131,912
2024-02,Nissan Boardman,CarGurus,phone,10,0,0,0,0,228
2024-02,Nissan Boardman,Cars.com,internet,219,18,10,8,51549,3108
2024-02,Nissan Boardman,Craigslist,internet,39,2,1,1,4912,
2024-02,Nissan Boardman,Dealer Website,chat,63,6,3,3,22889,
2024-02,Nissan Boardman,Dealer Website,internet,385,35,19,16,128600,
2024-02,Nissan Boardman,Direct Mail Q1,campaign,181,19,14,5,42151,8125
2024-02,Nissan Boardman,Facebook Marketplace,internet,142,8,4,4,18686,1285
2024-02,Nissan Boardman,Inbound Calls,phone,138,27,19,8,90984,
2024-02,Nissan Boardman,Lease Return,campaign,27,8,6,2,12965,
2024-02,Nissan Boardman,Service Conquest,service,70,13,9,4,23863,
2024-02,Nissan Boardman,TrueCar,internet,69,5,3,2,13861,2144
2024-02,Nissan Boardman,Walk In,showroom,92,30,22,8,106523,
2024-02,Nissan Boardman,Website Chat,chat,83,6,3,3,16753,934
2024-03,Chevrolet Cranberry,Autotrader,internet,222,19,10,9,52764,3058
2024-03,Chevrolet Cranberry,CarGurus,internet,43,3,1,2,9156,674
2024-03,Chevrolet Cranberry,CarGurus,phone,11,0,0,0,0,168
2024-03,Chevrolet Cranberry,Cars.com,internet,121,14,8,6,43186,2301
2024-03,Chevrolet Cranberry,Craigslist,internet,41,0,0,0,0,
2024-03,Chevrolet Cranberry,Dealer Website,chat,40,4,2,2,13899,
2024-03,Chevrolet Cranberry,Dealer Website,internet,244,39,21,18,122648,
2024-03,Chevrolet Cranberry,Direct Mail Q1,campaign,73,7,5,2,16948,3848
2024-03,Chevrolet Cranberry,Facebook Marketplace,internet,160,7,4,3,13711,1252
2024-03,Chevrolet Cranberry,Inbound Calls,phone,86,15,11,4,54296,
2024-03,Chevrolet Cranberry,Lease Return,campaign,53,18,13,5,29073,
2024-03,Chevrolet Cranberry,Service Conquest,service,48,17,12,5,35935,
2024-03,Chevrolet Cranberry,TrueCar,internet,64,2,1,1,4620,1527
2024-03,Chevrolet Cranberry,Walk In,showroom,75,29,21,8,117185,
2024-03,Chevrolet Cranberry,Website Chat,chat,58,5,3,2,14144,696
2024-03,Honda Monroeville,Autotrader,internet,188,15,8,7,46822,2396
2024-03,Honda Monroeville,CarGurus,internet,13,0,0,0,0,528
2024-03,Honda Monroeville,CarGurus,phone,3,0,0,0,0,132
2024-03,Honda Monroeville,Cars.com,internet,149,9,5,4,26494,1804
2024-03,Honda Monroeville,Craigslist,internet,24,2,1,1,5147,
2024-03,Honda Monroeville,Dealer Website,chat,34,5,3,2,18462,
2024-03,Honda Monroeville,Dealer Website,internet,210,38,21,17,120110,
2024-03,Honda Monroeville,Direct Mail Q1,campaign,62,6,4,2,14403,3016
2024-03,Honda Monroeville,Facebook Marketplace,internet,133,5,3,2,10208,981
2024-03,Honda Monroeville,Inbound Calls,phone,110,23,17,6,68632,
2024-03,Honda Monroeville,Lease Return,campaign,38,17,12,5,26346,
2024-03,Honda Monroeville,Service Conquest,service,36,7,5,2,16296,
2024-03,Honda Monroeville,TrueCar,internet,63,4,2,2,10357,1197
2024-03,Honda Monroeville,Walk In,showroom,63,19,14,5,75356,
2024-03,Honda Monroeville,Website Chat,chat,38,1,1,0,2672,546
2024-03,Nissan Boardman,Autotrader,internet,376,20,11,9,66466,4132
2024-03,Nissan Boardman,CarGurus,internet,53,2,0,2,5875,912
2024-03,Nissan Boardman,CarGurus,phone,13,1,0,1,2975,228
2024-03,Nissan Boardman,Cars.com,internet,241,13,7,6,41737,3110
2024-03,Nissan Boardman,Craigslist,internet,44,3,2,1,6260,
2024-03,Nissan Boardman,Dealer Website,chat,85,7,4,3,25815,
2024-03,Nissan Boardman,Dealer Website,internet,521,55,30,25,192519,
2024-03,Nissan Boardman,Direct Mail Q1,campaign,126,13,9,4,27120,5200
2024-03,Nissan Boardman,Facebook Marketplace,internet,203,9,5,4,20741,1692
2024-03,Nissan Boardman,Inbound Calls,phone,145,30,22,8,96698,
2024-03,Nissan Boardman,Lease Return,campaign,81,17,12,5,31825,
2024-03,Nissan Boardman,Service Conquest,service,84,13,9,4,28599,
2024-03,Nissan Boardman,TrueCar,internet,84,7,4,3,17330,2063
2024-03,Nissan Boardman,Walk In,showroom,118,41,30,11,140801,
2024-03,Nissan Boardman,Website Chat,chat,97,6,3,3,16357,941
2024-04,Chevrolet Cranberry,Autotrader,internet,249,20,11,9,60531,3049
2024-04,Chevrolet Cranberry,CarGurus,internet,37,2,0,2,5962,674
2024-04,Chevrolet Cranberry,CarGurus,phone,9,0,0,0,0,168
2024-04,Chevrolet Cranberry,Cars.com,internet,120,13,7,6,38634,2303
2024-04,Chevrolet Cranberry,Craigslist,internet,39,0,0,0,0,
2024-04,Chevrolet Cranberry,Dealer Website,chat,46,6,3,3,23046,
2024-04,Chevrolet Cranberry,Dealer Website,internet,284,31,17,14,109886,
2024-04,Chevrolet Cranberry,Facebook Marketplace,internet,228,16,9,7,30514,1586
2024-04,Chevrolet Cranberry,Inbound Calls,phone,80,16,12,4,55317,
2024-04,Chevrolet Cranberry,Lease Return,campaign,20,7,5,2,11478,
2024-04,Chevrolet Cranberry,Service Conquest,service,48,13,9,4,24029,
2024-04,Chevrolet Cranberry,TrueCar,internet,64,4,2,2,11396,1469
2024-04,Chevrolet Cranberry,Walk In,showroom,70,25,18,7,100066,
2024-04,Chevrolet Cranberry,Website Chat,chat,65,2,1,1,5595,701
2024-04,Honda Monroeville,Autotrader,internet,196,15,8,7,41301,2390
2024-04,Honda Monroeville,CarGurus,internet,13,2,0,2,5371,528
2024-04,Honda Monroeville,CarGurus,phone,3,1,0,1,3032,132
2024-04,Honda Monroeville,Cars.com,internet,134,13,7,6,38140,1805
2024-04,Honda Monroeville,Craigslist,internet,21,1,1,0,2213,
2024-04,Honda Monroeville,Dealer Website,chat,38,1,1,0,3582,
2024-04,Honda Monroeville,Dealer Website,internet,234,30,16,14,88092,
2024-04,Honda Monroeville,Facebook Marketplace,internet,156,7,4,3,15169,1243
2024-04,Honda Monroeville,Inbound Calls,phone,104,29,21,8,102896,
2024-04,Honda Monroeville,Lease Return,campaign,13,2,1,1,3375,
2024-04,Honda Monroeville,Service Conquest,service,30,3,2,1,6600,
2024-04,Honda Monroeville,TrueCar,internet,74,11,6,5,31205,1151
2024-04,Honda Monroeville,Walk In,showroom,65,23,17,6,77109,
2024-04,Honda Monroeville,Website Chat,chat,39,0,0,0,0,550
2024-04,Nissan Boardman,Autotrader,internet,367,18,10,8,52467,4121
2024-04,Nissan Boardman,CarGurus,internet,42,3,1,2,9047,912
2024-04,Nissan Boardman,CarGurus,phone,10,1,0,1,2813,228
2024-04,Nissan Boardman,Cars.com,internet,226,16,9,7,52665,3112
2024-04,Nissan Boardman,Craigslist,internet,34,4,2,2,8166,
2024-04,Nissan Boardman,Dealer Website,chat,87,6,3,3,22247,
2024-04,Nissan Boardman,Dealer Website,internet,537,65,36,29,230268,
2024-04,Nissan Boardman,Facebook Marketplace,internet,244,6,3,3,12067,2143
2024-04,Nissan Boardman,Inbound Calls,phone,149,23,17,6,78900,
2024-04,Nissan Boardman,Lease Return,campaign,28,6,4,2,11618,
2024-04,Nissan Boardman,Service Conquest,service,70,18,13,5,34141,
2024-04,Nissan Boardman,TrueCar,internet,73,4,2,2,9140,1985
2024-04,Nissan Boardman,Walk In,showroom,118,38,27,11,120035,
2024-04,Nissan Boardman,Website Chat,chat,85,11,6,5,28345,948
2024-05,Chevrolet Cranberry,Autotrader,internet,225,16,9,7,47362,3041
2024-05,Chevrolet Cranberry,CarGurus,internet,38,0,0,0,0,674
2024-05,Chevrolet Cranberry,CarGurus,phone,10,1,0,1,3124,168
2024-05,Chevrolet Cranberry,Cars.com,internet,114,10,6,4,34928,2304
2024-05,Chevrolet Cranberry,Craigslist,internet,36,3,2,1,6869,
2024-05,Chevrolet Cranberry,Dealer Website,chat,46,7,4,3,25489,
2024-05,Chevrolet Cranberry,Dealer Website,internet,282,26,14,12,99274,
2024-05,Chevrolet Cranberry,Facebook Marketplace,internet,244,10,6,4,20339,1812
2024-05,Chevrolet Cranberry,Inbound Calls,phone,92,15,11,4,52545,
2024-05,Chevrolet Cranberry,Lease Return,campaign,18,8,6,2,11894,
2024-05,Chevrolet Cranberry,Service Conquest,service,49,11,8,3,20712,
2024-05,Chevrolet Cranberry,TrueCar,internet,53,8,4,4,21539,1414
2024-05,Chevrolet Cranberry,Walk In,showroom,80,30,22,8,95284,
2024-05,Chevrolet Cranberry,Website Chat,chat,66,5,3,2,11642,707
2024-05,Honda Monroeville,Autotrader,internet,195,14,8,6,36454,2384
2024-05,Honda Monroeville,CarGurus,internet,18,0,0,0,0,528
2024-05,Honda Monroeville,CarGurus,phone,5,0,0,0,0,132
2024-05,Honda Monroeville,Cars.com,internet,147,10,6,4,31450,1806
2024-05,Honda Monroeville,Craigslist,internet,21,0,0,0,0,
2024-05,Honda Monroeville,Dealer Website,chat,36,5,3,2,15360,
2024-05,Honda Monroeville,Dealer Website,internet,222,19,10,9,66624,
2024-05,Honda Monroeville,Facebook Marketplace,internet,170,4,2,2,8722,1420
2024-05,Honda Monroeville,Inbound Calls,phone,100,14,10,4,37959,
2024-05,Honda Monroeville,Lease Return,campaign,15,7,5,2,12801,
2024-05,Honda Monroeville,Service Conquest,service,32,9,6,3,20900,
2024-05,Honda Monroeville,TrueCar,internet,72,8,4,4,18174,1108
