deal_id,date,group,store,source,lead_type,new_used,make,model,model_year,sale_price,front_gross,back_gross,fi_products,salesperson_id,days_to_close
D192220,2023-10-01,Harbor Motor Group,Harbor Jeep Ram Anchor,Cars .com,internet,new,Jeep Ram,Ram 1500,2023,31965,2774,1622,1,SP924,44
D192221,2023-10-01,Harbor Motor Group,Harbor Jeep Ram Anchor,Cars .com,internet,new,Jeep Ram,Gladiator,2023,42168,3037,1263,0,SP883,22
D192857,2023-10-01,Harbor Motor Group,Harbor Jeep Ram Anchor,OEM Website,internet,new,Jeep Ram,Grand Cherokee,2023,39221,2152,1433,2,SP525,13
D192865,2023-10-01,Harbor Motor Group,Harbor Jeep Ram Anchor,OEM Website,internet,new,Jeep Ram,Ram 2500,2023,46940,2311,1924,1,SP818,11
D193973,2023-10-01,Harbor Motor Group,Harbor Jeep Ram Anchor,Lease Retention,campaign,new,Jeep Ram,Ram 1500,2023,37255,1355,521,1,SP193,5
D193978,2023-10-01,Harbor Motor Group,Harbor Jeep Ram Anchor,Lease Retention,campaign,used,Jeep Ram,Compass,2016,29446,1439,818,2,SP164,8
D194684,2023-10-01,Harbor Motor Group,Harbor Jeep Ram Anchor,Walk-In,showroom,new,Jeep Ram,Ram 2500,2023,30053,2792,2205,3,SP234,39
D194685,2023-10-01,Harbor Motor Group,Harbor Jeep Ram Anchor,Walk-In,showroom,new,Jeep Ram,Gladiator,2023,48471,2904,1189,0,SP234,3
D194704,2023-10-01,Harbor Motor Group,Harbor Jeep Ram Anchor,Walk-In,showroom,used,Hyundai,Elantra,2021,22219,4093,762,1,SP403,18
D196025,2023-10-01,Harbor Motor Group,Harbor Jeep Ram Anchor,Chat,chat,new,Jeep Ram,Ram 1500,2023,33724,2091,942,0,SP403,1
D196026,2023-10-01,Harbor Motor Group,Harbor Jeep Ram Anchor,Chat,chat,used,Jeep Ram,Ram 2500,2019,26444,1955,728,2,SP193,12
D196336,2023-10-01,Harbor Motor Group,Harbor Jeep Ram Anchor,TrueCar,internet,new,Jeep Ram,Gladiator,2023,36464,1635,958,0,SP403,26
D184456,2023-10-01,Harbor Motor Group,Harbor Kia Lighthouse,ATC,internet,new,Kia,Telluride,2023,47128,2663,1178,2,SP106,10
D186592,2023-10-01,Harbor Motor Group,Harbor Kia Lighthouse,Svc Conquest,service,new,Kia,Sportage,2023,45971,1427,977,3,SP151,44
D186721,2023-10-01,Harbor Motor Group,Harbor Kia Lighthouse,Direct Mail,campaign,new,Kia,Sorento,2023,44416,1543,1316,2,SP397,29
D187474,2023-10-01,Harbor Motor Group,Harbor Kia Lighthouse,Inbound Calls,phone,new,Kia,Forte,2023,30149,1746,630,1,SP397,31
D187484,2023-10-01,Harbor Motor Group,Harbor Kia Lighthouse,Inbound Calls,phone,used,Subaru,Outback,2022,25272,1855,531,3,SP853,10
D189162,2023-10-01,Harbor Motor Group,Harbor Subaru Tidewater,Dealer Website,internet,used,Subaru,Impreza,2019,26563,2630,1950,3,SP137,43
D189164,2023-10-01,Harbor Motor Group,Harbor Subaru Tidewater,Dealer Website,internet,used,Subaru,Crosstrek,2021,26619,3203,648,0,SP137,15
D189932,2023-10-01,Harbor Motor Group,Harbor Subaru Tidewater,Lease Return,campaign,new,Subaru,Crosstrek,2023,30093,1941,584,3,SP511,2
D160664,2023-10-01,Harbor Motor Group,Harbor Toyota Bayview,Cars .com,internet,new,Toyota,RAV4,2023,45145,2901,1493,1,SP438,5
D161607,2023-10-01,Harbor Motor Group,Harbor Toyota Bayview,OEM Website,internet,new,Toyota,Corolla,2023,44681,1938,930,1,SP361,27
D164023,2023-10-01,Harbor Motor Group,Harbor Toyota Bayview,Direct Mail,campaign,new,Toyota,RAV4,2023,35078,1423,1032,0,SP858,11
D164245,2023-10-01,Harbor Motor Group,Harbor Toyota Bayview,Walk In,showroom,new,Toyota,RAV4,2023,40315,3975,793,0,SP151,14
D164257,2023-10-01,Harbor Motor Group,Harbor Toyota Bayview,Walk In,showroom,used,Kia,Sorento,2018,23561,3896,1866,1,SP332,6
D165316,2023-10-01,Harbor Motor Group,Harbor Toyota Bayview,Inbound Phone,phone,new,Toyota,Tacoma,2023,30712,2048,1343,1,SP607,29
D165327,2023-10-01,Harbor Motor Group,Harbor Toyota Bayview,Inbound Phone,phone,used,Toyota,Tacoma,2017,18750,2815,848,2,SP858,37
D153720,2023-10-01,Summit Auto Group,Summit BMW,Autotrader,internet,used,BMW,3 Series,2019,44487,3143,1969,3,SP106,1
D154342,2023-10-01,Summit Auto Group,Summit BMW,Cars .com,internet,used,BMW,X5,2018,36417,2951,2076,0,SP464,0
D155174,2023-10-01,Summit Auto Group,Summit BMW,Dealer Website,internet,new,BMW,3 Series,2023,76080,3759,1824,2,SP546,27
D156593,2023-10-01,Summit Auto Group,Summit BMW,Lease Return,campaign,new,BMW,X1,2023,47641,2615,632,3,SP920,32
D156604,2023-10-01,Summit Auto Group,Summit BMW,Lease Return,campaign,used,Hyundai,Sonata,2020,37087,2278,743,1,SP464,0
D157078,2023-10-01,Summit Auto Group,Summit BMW,Service Conquest,service,new,BMW,X3,2023,56298,3624,953,2,SP476,27
D157487,2023-10-01,Summit Auto Group,Summit BMW,Walk-In,showroom,new,BMW,X3,2023,57989,3567,1624,1,SP464,27
D121207,2023-10-01,Summit Auto Group,Summit Chevrolet Glenpark,cargurus.com,internet,new,Chevrolet,Silverado,2023,48944,1892,866,1,SP489,26
D122839,2023-10-01,Summit Auto Group,Summit Chevrolet Glenpark,Lease Return,campaign,new,Chevrolet,Traverse,2023,29969,1443,416,0,SP267,23
D124513,2023-10-01,Summit Auto Group,Summit Chevrolet Glenpark,Inbound Phone,phone,new,Chevrolet,Equinox,2023,40666,3177,1176,0,SP892,12
D115095,2023-10-01,Summit Auto Group,Summit Ford Rivera,Website,internet,new,Ford,Bronco,2023,30569,2981,1425,0,SP800,27
D115113,2023-10-01,Summit Auto Group,Summit Ford Rivera,Website,internet,new,Ford,Escape,2023,38651,3046,630,1,SP631,24
D115133,2023-10-01,Summit Auto Group,Summit Ford Rivera,Website,internet,used,Ford,Mustang,2017,23178,1858,612,3,SP590,10
D116633,2023-10-01,Summit Auto Group,Summit Ford Rivera,Lease Retention,campaign,new,Ford,Explorer,2023,30281,921,613,3,SP631,14
D117619,2023-10-01,Summit Auto Group,Summit Ford Rivera,Showroom,showroom,new,Ford,Maverick,2023,43750,2701,867,2,SP380,15
D117625,2023-10-01,Summit Auto Group,Summit Ford Rivera,Showroom,showroom,used,Ford,Bronco,2017,30920,3046,1763,0,SP800,15
D110232,2023-10-01,Summit Auto Group,Summit Honda Westland,Lease Return,campaign,used,Honda,Odyssey,2019,27190,1701,291,0,SP183,23
D110912,2023-10-01,Summit Auto Group,Summit Honda Westland,Direct Mail Q1,campaign,new,Honda,CR-V,2023,31024,1910,827,0,SP914,18
D111103,2023-10-01,Summit Auto Group,Summit Honda Westland,Walk In,showroom,new,Honda,CR-V,2023,47932,2388,788,3,SP639,35
D130521,2023-10-01,Summit Auto Group,Summit Hyundai Oakhurst,ATC,internet,used,Hyundai,Kona,2017,29137,2624,1032,0,SP217,3
D130803,2023-10-01,Summit Auto Group,Summit Hyundai Oakhurst,Cars .com,internet,new,Hyundai,Elantra,2023,33495,3476,1494,1,SP883,12
D131029,2023-10-01,Summit Auto Group,Summit Hyundai Oakhurst,CarGurus,internet,new,Hyundai,Santa Fe,2023,32698,1915,1414,2,SP907,35
D134474,2023-10-01,Summit Auto Group,Summit Hyundai Oakhurst,Live Chat,chat,new,Hyundai,Santa Fe,2023,34904,1714,774,0,SP743,41
D146206,2023-10-01,Summit Auto Group,Summit Jeep Ram Clearwater,Cars .com,internet,new,Jeep Ram,Wrangler,2023,46122,2405,1005,0,SP882,25
D146211,2023-10-01,Summit Auto Group,Summit Jeep Ram Clearwater,Cars .com,internet,new,Jeep Ram,Gladiator,2023,37472,3573,595,1,SP426,41
D148837,2023-10-01,Summit Auto Group,Summit Jeep Ram Clearwater,Walk In,showroom,new,Jeep Ram,Wrangler,2023,35143,3881,1964,0,SP216,36
D149693,2023-10-01,Summit Auto Group,Summit Jeep Ram Clearwater,Inbound Calls,phone,used,Jeep Ram,Compass,2022,25421,2341,944,0,SP257,34
D150519,2023-10-01,Summit Auto Group,Summit Jeep Ram Clearwater,Facebook,internet,new,Jeep Ram,Ram 1500,2023,46078,1914,489,2,SP672,41
D136746,2023-10-01,Summit Auto Group,Summit Kia Brookfield,Lease Return,campaign,new,Kia,Sorento,2023,43381,1539,723,3,SP775,42
D136749,2023-10-01,Summit Auto Group,Summit Kia Brookfield,Lease Return,campaign,new,Kia,Forte,2023,36721,1396,451,1,SP944,33
D137192,2023-10-01,Summit Auto Group,Summit Kia Brookfield,Direct Mail Q1,campaign,new,Kia,Sorento,2023,34111,1831,1405,1,SP734,4
D137304,2023-10-01,Summit Auto Group,Summit Kia Brookfield,Showroom,showroom,new,Kia,K5,2023,32191,3904,1190,1,SP944,36
D138846,2023-10-01,Summit Auto Group,Summit Mazda Lakeside,AutoTrader.com,internet,used,Mazda,CX-90,2020,23264,1825,1522,1,SP462,39
D138847,2023-10-01,Summit Auto Group,Summit Mazda Lakeside,AutoTrader.com,internet,used,Mazda,CX-90,2017,29851,2018,1174,0,SP293,45
D140375,2023-10-01,Summit Auto Group,Summit Mazda Lakeside,Lease Return,campaign,new,Mazda,MX-5,2023,28979,1865,738,1,SP877,22
D140727,2023-10-01,Summit Auto Group,Summit Mazda Lakeside,Direct Mail,campaign,new,Mazda,Mazda3,2023,43492,1828,794,2,SP293,21
D140850,2023-10-01,Summit Auto Group,Summit Mazda Lakeside,Walk In,showroom,used,Mazda,CX-30,2017,21846,3221,1183,0,SP947,41
D141839,2023-10-01,Summit Auto Group,Summit Mazda Lakeside,Facebook,internet,new,Mazda,CX-90,2023,43537,1852,688,1,SP462,11
D125809,2023-10-01,Summit Auto Group,Summit Nissan Ridgemont,auto trader,internet,new,Nissan,Altima,2023,28967,2096,1130,0,SP982,45
D128036,2023-10-01,Summit Auto Group,Summit Nissan Ridgemont,Lease Retention,campaign,new,Nissan,Kicks,2023,32257,1873,720,2,SP788,28
D128544,2023-10-01,Summit Auto Group,Summit Nissan Ridgemont,Direct Mail Q1,campaign,new,Nissan,Frontier,2023,47867,1655,640,1,SP743,39
D128698,2023-10-01,Summit Auto Group,Summit Nissan Ridgemont,Walk-In,showroom,new,Nissan,Altima,2023,48141,2527,1730,0,SP332,12
D128708,2023-10-01,Summit Auto Group,Summit Nissan Ridgemont,Walk-In,showroom,used,Chevrolet,Tahoe,2022,25040,2977,1131,0,SP788,36
D142983,2023-10-01,Summit Auto Group,Summit Subaru Northgate,OEM Website,internet,new,Subaru,Forester,2023,31186,2047,919,2,SP338,7
D145516,2023-10-01,Summit Auto Group,Summit Subaru Northgate,True Car,internet,new,Subaru,Forester,2023,44561,2244,824,0,SP507,12
D145518,2023-10-01,Summit Auto Group,Summit Subaru Northgate,True Car,internet,new,Subaru,Crosstrek,2023,29771,2457,792,3,SP593,25
D100016,2023-10-01,Summit Auto Group,Summit Toyota of Fairview,auto trader,internet,used,Jeep Ram,Grand Cherokee,2022,26603,2486,1160,0,SP563,16
D100796,2023-10-01,Summit Auto Group,Summit Toyota of Fairview,CARS,internet,used,Toyota,RAV4,2022,24466,2860,563,1,SP353,31
D101371,2023-10-01,Summit Auto Group,Summit Toyota of Fairview,Car Gurus,internet,used,Toyota,Corolla,2016,19969,2101,881,0,SP394,45
D101770,2023-10-01,Summit Auto Group,Summit Toyota of Fairview,Dealer Website,internet,new,Toyota,Tundra,2023,31167,1974,1387,1,SP394,40
D103499,2023-10-01,Summit Auto Group,Summit Toyota of Fairview,Lease Retention,campaign,new,Toyota,Camry,2023,45647,1960,377,0,SP640,6
D103508,2023-10-01,Summit Auto Group,Summit Toyota of Fairview,Lease Retention,campaign,used,Subaru,Impreza,2022,28346,1418,783,0,SP353,33
D103512,2023-10-01,Summit Auto Group,Summit Toyota of Fairview,Lease Retention,campaign,used,Subaru,Impreza,2017,30981,1299,828,1,SP324,13
D104020,2023-10-01,Summit Auto Group,Summit Toyota of Fairview,Svc Conquest,service,new,Toyota,Corolla,2023,30140,1920,767,3,SP599,20
D104261,2023-10-01,Summit Auto Group,Summit Toyota of Fairview,Direct Mail Q1,campaign,new,Toyota,Highlander,2023,41551,1626,589,2,SP184,35
D152177,2023-10-01,Summit Auto Group,Summit Volkswagen Eastdale,Lease Retention,campaign,new,Volkswagen,Atlas,2023,38221,1203,567,2,SP469,7
D152378,2023-10-01,Summit Auto Group,Summit Volkswagen Eastdale,Service Conquest,service,used,Jeep Ram,Compass,2022,20461,1962,897,2,SP650,15
D196488,2023-10-02,Harbor Motor Group,Harbor BMW,auto trader,internet,used,BMW,X1,2019,39655,4699,1351,1,SP715,22
D196490,2023-10-02,Harbor Motor Group,Harbor BMW,auto trader,internet,used,Jeep Ram,Wrangler,2022,44868,3774,2632,2,SP481,30
D197068,2023-10-02,Harbor Motor Group,Harbor BMW,Cars.com,internet,used,Nissan,Frontier,2018,37269,3640,1811,3,SP226,24
D199558,2023-10-02,Harbor Motor Group,Harbor BMW,Svc Conquest,service,new,BMW,5 Series,2023,66779,2527,1480,1,SP440,11
D199957,2023-10-02,Harbor Motor Group,Harbor BMW,Walk In,showroom,new,BMW,X1,2023,48145,3479,1688,1,SP920,34
D199960,2023-10-02,Harbor Motor Group,Harbor BMW,Walk In,showroom,new,BMW,5 Series,2023,50125,5004,1049,1,SP481,28
D180079,2023-10-02,Harbor Motor Group,Harbor Chevrolet Marina,Car Gurus,internet,new,Chevrolet,Tahoe,2023,46638,2440,517,0,SP247,13
D180379,2023-10-02,Harbor Motor Group,Harbor Chevrolet Marina,OEM Website,internet,new,Chevrolet,Traverse,2023,41811,2154,728,0,SP374,38
D181598,2023-10-02,Harbor Motor Group,Harbor Chevrolet Marina,Lease Retention,campaign,new,Chevrolet,Traverse,2023,42332,1415,701,3,SP288,20
D183244,2023-10-02,Harbor Motor Group,Harbor Chevrolet Marina,Inbound Calls,phone,new,Chevrolet,Traverse,2023,37976,2280,828,1,SP539,43
D183253,2023-10-02,Harbor Motor Group,Harbor Chevrolet Marina,Inbound Calls,phone,used,Chevrolet,Tahoe,2019,18077,2256,1052,0,SP288,18
D173401,2023-10-02,Harbor Motor Group,Harbor Ford Portside,Cars .com,internet,new,Ford,Escape,2023,29501,1856,1089,0,SP946,29
D173403,2023-10-02,Harbor Motor Group,Harbor Ford Portside,Cars .com,internet,new,Ford,Bronco,2023,39046,2968,1450,0,SP700,6
D173409,2023-10-02,Harbor Motor Group,Harbor Ford Portside,Cars .com,internet,used,Ford,Maverick,2018,30192,2574,1113,1,SP244,24
D173411,2023-10-02,Harbor Motor Group,Harbor Ford Portside,Cars .com,internet,used,Ford,Explorer,2016,27576,1922,1082,1,SP215,33
D173905,2023-10-02,Harbor Motor Group,Harbor Ford Portside,CarGurus,internet,new,Ford,Bronco,2023,48304,2270,1044,1,SP741,5
D173911,2023-10-02,Harbor Motor Group,Harbor Ford Portside,CarGurus,internet,used,Ford,Explorer,2022,24051,2117,953,1,SP490,26
D175743,2023-10-02,Harbor Motor Group,Harbor Ford Portside,Lease Return,campaign,used,Kia,Seltos,2018,27214,881,717,3,SP765,33
D176218,2023-10-02,Harbor Motor Group,Harbor Ford Portside,Svc Conquest,service,used,Ford,Escape,2020,18921,1623,1124,1,SP700,6
D177680,2023-10-02,Harbor Motor Group,Harbor Ford Portside,Inbound Calls,phone,used,Ford,Mustang,2019,29366,2675,606,2,SP765,10
D178969,2023-10-02,Harbor Motor Group,Harbor Ford Portside,TrueCar,internet,new,Ford,Bronco,2023,29186,1911,1524,0,SP765,5
D166885,2023-10-02,Harbor Motor Group,Harbor Honda Seaside,ATC,internet,new,Honda,HR-V,2023,39210,2020,1013,1,SP522,10
D166891,2023-10-02,Harbor Motor Group,Harbor Honda Seaside,ATC,internet,used,Honda,Accord,2016,25746,1988,982,1,SP558,6
D168269,2023-10-02,Harbor Motor Group,Harbor Honda Seaside,Dealer Website,internet,new,Honda,Odyssey,2023,33477,2555,1768,0,SP102,7
D171390,2023-10-02,Harbor Motor Group,Harbor Honda Seaside,Phone Up,phone,new,Honda,Pilot,2023,28504,1651,890,0,SP961,16
D191693,2023-10-02,Harbor Motor Group,Harbor Jeep Ram Anchor,AutoTrader.com,internet,used,Kia,Sportage,2019,21223,2803,1627,0,SP234,9
D191700,2023-10-02,Harbor Motor Group,Harbor Jeep Ram Anchor,AutoTrader.com,internet,used,Subaru,Impreza,2017,28670,2066,1379,3,SP714,15
D192226,2023-10-02,Harbor Motor Group,Harbor Jeep Ram Anchor,Cars .com,internet,used,Chevrolet,Traverse,2018,27897,2257,1369,2,SP403,3
D192869,2023-10-02,Harbor Motor Group,Harbor Jeep Ram Anchor,OEM Website,internet,new,Jeep Ram,Grand Cherokee,2023,36258,3501,903,1,SP818,14
D192883,2023-10-02,Harbor Motor Group,Harbor Jeep Ram Anchor,OEM Website,internet,used,Kia,Sportage,2021,19520,2680,1910,0,SP403,35
D193977,2023-10-02,Harbor Motor Group,Harbor Jeep Ram Anchor,Lease Retention,campaign,used,BMW,i4,2021,18579,1818,864,1,SP403,45
D194536,2023-10-02,Harbor Motor Group,Harbor Jeep Ram Anchor,Direct Mail,campaign,new,Jeep Ram,Gladiator,2023,40053,2227,1140,3,SP234,38
D194703,2023-10-02,Harbor Motor Group,Harbor Jeep Ram Anchor,Walk-In,showroom,used,Jeep Ram,Gladiator,2017,21992,2474,834,0,SP234,19
D185364,2023-10-02,Harbor Motor Group,Harbor Kia Lighthouse,Dealer Website,internet,used,Kia,Forte,2021,18822,2341,787,0,SP151,23
D186723,2023-10-02,Harbor Motor Group,Harbor Kia Lighthouse,Direct Mail,campaign,new,Kia,Sportage,2023,32631,1956,866,3,SP397,4
D187482,2023-10-02,Harbor Motor Group,Harbor Kia Lighthouse,Inbound Calls,phone,used,Kia,Seltos,2022,28433,2390,627,2,SP151,9
D190956,2023-10-02,Harbor Motor Group,Harbor Subaru Tidewater,Phone Up,phone,used,Subaru,WRX,2021,26406,2571,1430,0,SP996,26
D159874,2023-10-02,Harbor Motor Group,Harbor Toyota Bayview,Autotrader,internet,new,Toyota,RAV4,2023,41178,1631,1326,1,SP882,40
D160663,2023-10-02,Harbor Motor Group,Harbor Toyota Bayview,Cars .com,internet,new,Toyota,Tundra,2023,40740,1864,864,2,SP438,16
D161198,2023-10-02,Harbor Motor Group,Harbor Toyota Bayview,cargurus.com,internet,new,Toyota,Highlander,2023,31224,2507,1362,2,SP397,23
D161609,2023-10-02,Harbor Motor Group,Harbor Toyota Bayview,OEM Website,internet,used,Toyota,Tacoma,2020,29557,2725,1434,3,SP151,42
D163762,2023-10-02,Harbor Motor Group,Harbor Toyota Bayview,Svc Conquest,service,used,Nissan,Altima,2017,30896,1636,688,0,SP607,2
D164025,2023-10-02,Harbor Motor Group,Harbor Toyota Bayview,Direct Mail,campaign,new,Toyota,Highlander,2023,40353,1729,519,3,SP652,24
D154340,2023-10-02,Summit Auto Group,Summit BMW,Cars .com,internet,new,BMW,5 Series,2023,60797,3255,2479,1,SP751,36
D154839,2023-10-02,Summit Auto Group,Summit BMW,cargurus.com,internet,new,BMW,5 Series,2023,52225,2705,895,1,SP645,23
D154846,2023-10-02,Summit Auto Group,Summit BMW,cargurus.com,internet,used,BMW,X3,2018,37666,3773,651,2,SP505,21
D154850,2023-10-02,Summit Auto Group,Summit BMW,cargurus.com,internet,used,BMW,X5,2020,48507,3798,2129,3,SP645,20
D155202,2023-10-02,Summit Auto Group,Summit BMW,Dealer Website,internet,used,BMW,3 Series,2020,37928,3617,2608,1,SP645,34
D121506,2023-10-02,Summit Auto Group,Summit Chevrolet Glenpark,Dealer Website,internet,new,Chevrolet,Trax,2023,46752,3243,2022,0,SP723,9
D121511,2023-10-02,Summit Auto Group,Summit Chevrolet Glenpark,Dealer Website,internet,new,Chevrolet,Trax,2023,48650,2355,1640,2,SP243,1
D123609,2023-10-02,Summit Auto Group,Summit Chevrolet Glenpark,Walk In,showroom,new,Chevrolet,Traverse,2023,44518,2281,746,3,SP682,23
D123611,2023-10-02,Summit Auto Group,Summit Chevrolet Glenpark,Walk In,showroom,new,Chevrolet,Traverse,2023,40266,1757,1582,0,SP723,43
D113517,2023-10-02,Summit Auto Group,Summit Ford Rivera,ATC,internet,used,Ford,Escape,2017,29313,2366,1391,1,SP421,31
D114741,2023-10-02,Summit Auto Group,Summit Ford Rivera,cargurus.com,internet,new,Ford,Bronco,2023,48614,2391,704,0,SP590,20
D115108,2023-10-02,Summit Auto Group,Summit Ford Rivera,Website,internet,new,Ford,F-150,2023,46831,2893,1332,1,SP865,18
D117605,2023-10-02,Summit Auto Group,Summit Ford Rivera,Showroom,showroom,new,Ford,Maverick,2023,40455,2995,1727,1,SP800,33
D118720,2023-10-02,Summit Auto Group,Summit Ford Rivera,Inbound Phone,phone,new,Ford,Maverick,2023,42214,1981,1019,1,SP175,13
D118726,2023-10-02,Summit Auto Group,Summit Ford Rivera,Inbound Phone,phone,new,Ford,Maverick,2023,43029,2414,1685,1,SP130,5
D107301,2023-10-02,Summit Auto Group,Summit Honda Westland,auto trader,internet,new,Honda,Accord,2023,39836,2153,770,1,SP388,28
D107312,2023-10-02,Summit Auto Group,Summit Honda Westland,auto trader,internet,used,Ford,Explorer,2018,22435,2872,1307,0,SP458,11
D108819,2023-10-02,Summit Auto Group,Summit Honda Westland,Dealer Website,internet,new,Honda,CR-V,2023,37434,2564,1026,3,SP873,1
D111124,2023-10-02,Summit Auto Group,Summit Honda Westland,Walk In,showroom,new,Honda,Accord,2023,45062,3090,718,3,SP429,25
D111131,2023-10-02,Summit Auto Group,Summit Honda Westland,Walk In,showroom,used,Honda,CR-V,2021,19054,2995,1010,0,SP997,2
D111134,2023-10-02,Summit Auto Group,Summit Honda Westland,Walk In,showroom,used,Nissan,Frontier,2019,18342,2184,1422,0,SP832,27
D131027,2023-10-02,Summit Auto Group,Summit Hyundai Oakhurst,CarGurus,internet,new,Hyundai,Kona,2023,49342,1874,1081,0,SP504,29
D132136,2023-10-02,Summit Auto Group,Summit Hyundai Oakhurst,Svc Conquest,service,used,Hyundai,Elantra,2021,29162,1142,686,3,SP907,11
D132398,2023-10-02,Summit Auto Group,Summit Hyundai Oakhurst,Showroom,showroom,new,Hyundai,Santa Fe,2023,32463,3389,1711,1,SP702,29
D132400,2023-10-02,Summit Auto Group,Summit Hyundai Oakhurst,Showroom,showroom,new,Hyundai,Santa Fe,2023,41047,3506,1439,1,SP533,29
D133916,2023-10-02,Summit Auto Group,Summit Hyundai Oakhurst,Inbound Calls,phone,used,Hyundai,Kona,2016,18901,2889,1369,0,SP743,9
D146220,2023-10-02,Summit Auto Group,Summit Jeep Ram Clearwater,Cars .com,internet,used,Jeep Ram,Gladiator,2018,26530,3149,1207,2,SP462,6
D146675,2023-10-02,Summit Auto Group,Summit Jeep Ram Clearwater,Car Gurus,internet,used,Jeep Ram,Ram 2500,2020,21212,1975,589,1,SP713,42
D146943,2023-10-02,Summit Auto Group,Summit Jeep Ram Clearwater,Website,internet,used,Jeep Ram,Ram 1500,2019,28587,2654,1430,3,SP923,35
D148106,2023-10-02,Summit Auto Group,Summit Jeep Ram Clearwater,Lease Return,campaign,used,Jeep Ram,Ram 1500,2018,23977,1124,557,3,SP216,22
D148836,2023-10-02,Summit Auto Group,Summit Jeep Ram Clearwater,Walk In,showroom,new,Jeep Ram,Ram 2500,2023,42364,3656,898,2,SP672,44
D150685,2023-10-02,Summit Auto Group,Summit Jeep Ram Clearwater,True Car,internet,used,BMW,X1,2022,22476,2030,774,3,SP503,11
D135817,2023-10-02,Summit Auto Group,Summit Kia Brookfield,OEM Website,internet,used,Kia,Telluride,2020,26161,2879,563,0,SP669,40
D137062,2023-10-02,Summit Auto Group,Summit Kia Brookfield,Service Conquest,service,new,Kia,Sorento,2023,47999,1543,353,0,SP985,8
D137067,2023-10-02,Summit Auto Group,Summit Kia Brookfield,Service Conquest,service,used,Ford,Bronco,2022,23164,1330,804,2,SP734,3
D137309,2023-10-02,Summit Auto Group,Summit Kia Brookfield,Showroom,showroom,used,Kia,K5,2017,27942,2219,752,1,SP254,8
D138434,2023-10-02,Summit Auto Group,Summit Kia Brookfield,Live Chat,chat,new,Kia,K5,2023,40552,3032,1143,3,SP464,5
D139620,2023-10-02,Summit Auto Group,Summit Mazda Lakeside,Dealer Website,internet,new,Mazda,CX-30,2023,35573,2682,930,1,SP882,8
D139630,2023-10-02,Summit Auto Group,Summit Mazda Lakeside,Dealer Website,internet,used,Hyundai,Tucson,2020,23648,2538,1242,3,SP293,32
D139633,2023-10-02,Summit Auto Group,Summit Mazda Lakeside,Dealer Website,internet,used,Nissan,Pathfinder,2021,20270,2370,1341,2,SP627,36
D140377,2023-10-02,Summit Auto Group,Summit Mazda Lakeside,Lease Return,campaign,new,Mazda,Mazda3,2023,30743,1174,989,2,SP293,26
D126959,2023-10-02,Summit Auto Group,Summit Nissan Ridgemont,Dealer Website,internet,new,Nissan,Kicks,2023,29251,3086,1429,0,SP456,25
