period,group,store,channel,sessions,users,vdp_views,conversions
2023-10,Harbor Motor Group,Harbor Honda Seaside,Paid Social,1476,1245,869,19
2023-10,Harbor Motor Group,Harbor Honda Seaside,Referral,1107,842,584,22
2023-10,Harbor Motor Group,Harbor Honda Seaside,Email,923,771,453,22
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,Organic Search,4984,4067,2623,123
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Search,3078,2534,1437,52
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,Direct,2345,1768,1177,59
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,Organic Social,1466,1097,798,35
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Social,1172,910,693,26
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,Referral,879,658,537,24
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,Email,733,581,447,13
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,Organic Search,4345,3611,2594,97
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,Paid Search,2683,2115,1367,57
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,Direct,2044,1682,1160,51
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,Organic Social,1278,984,709,23
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,Paid Social,1022,829,585,23
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,Referral,766,631,442,16
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,Email,639,481,339,8
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,Organic Search,3684,3150,1935,47
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,Paid Search,2275,1693,1189,49
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,Direct,1734,1276,1011,37
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,Organic Social,1083,791,668,22
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,Paid Social,867,698,500,13
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,Referral,650,490,339,13
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,Email,541,451,329,13
2023-10,Harbor Motor Group,Harbor Toyota Bayview,Organic Search,6537,4814,3729,151
2023-10,Harbor Motor Group,Harbor Toyota Bayview,Paid Search,4037,3333,1987,71
2023-10,Harbor Motor Group,Harbor Toyota Bayview,Direct,3076,2307,1858,58
2023-10,Harbor Motor Group,Harbor Toyota Bayview,Organic Social,1922,1413,1163,33
2023-10,Harbor Motor Group,Harbor Toyota Bayview,Paid Social,1538,1183,897,41
2023-10,Harbor Motor Group,Harbor Toyota Bayview,Referral,1153,934,686,19
2023-10,Harbor Motor Group,Harbor Toyota Bayview,Email,961,725,476,22
2023-10,Summit Auto Group,Summit BMW,Organic Search,6038,5006,3005,134
2023-10,Summit Auto Group,Summit BMW,Paid Search,3729,2966,2227,102
2023-10,Summit Auto Group,Summit BMW,Direct,2841,2345,1316,31
2023-10,Summit Auto Group,Summit BMW,Organic Social,1776,1308,1039,45
2023-10,Summit Auto Group,Summit BMW,Paid Social,1420,1136,826,18
2023-10,Summit Auto Group,Summit BMW,Referral,1065,838,516,25
2023-10,Summit Auto Group,Summit BMW,Email,888,716,506,15
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,Organic Search,5625,4825,2587,114
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,Paid Search,3474,2914,1744,93
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,Direct,2647,2146,1260,57
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,Organic Social,1654,1413,947,36
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,Paid Social,1323,1045,645,24
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,Referral,992,725,574,25
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,Email,827,693,441,19
2023-10,Summit Auto Group,Summit Ford Rivera,Organic Search,7436,6156,4554,151
2023-10,Summit Auto Group,Summit Ford Rivera,Paid Search,4593,3433,2829,107
2023-10,Summit Auto Group,Summit Ford Rivera,Direct,3499,2543,2122,65
2023-10,Summit Auto Group,Summit Ford Rivera,Organic Social,2187,1648,1024,41
2023-10,Summit Auto Group,Summit Ford Rivera,Paid Social,1749,1283,1080,29
2023-10,Summit Auto Group,Summit Ford Rivera,Referral,1312,1042,692,25
2023-10,Summit Auto Group,Summit Ford Rivera,Email,1093,848,501,11
2023-10,Summit Auto Group,Summit Honda Westland,Organic Search,7349,6262,4337,106
2023-10,Summit Auto Group,Summit Honda Westland,Paid Search,4539,3439,2072,113
2023-10,Summit Auto Group,Summit Honda Westland,Direct,3458,2633,2034,61
2023-10,Summit Auto Group,Summit Honda Westland,Organic Social,2161,1738,1300,30
2023-10,Summit Auto Group,Summit Honda Westland,Paid Social,1729,1397,930,22
2023-10,Summit Auto Group,Summit Honda Westland,Referral,1297,991,708,20
2023-10,Summit Auto Group,Summit Honda Westland,Email,1080,821,641,19
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,Organic Search,4785,3542,2678,110
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,Paid Search,2955,2144,1355,42
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,Direct,2252,1834,1335,44
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,Organic Social,1407,1164,637,24
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,Paid Social,1126,928,573,12
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,Referral,844,710,443,13
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,Email,703,517,321,13
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,Organic Search,4772,3829,2857,88
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Search,2947,2422,1403,59
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,Direct,2246,1747,1142,61
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,Organic Social,1403,1117,717,29
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Social,1123,808,550,11
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,Referral,842,656,389,16
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,Email,701,566,392,12
2023-10,Summit Auto Group,Summit Kia Brookfield,Organic Search,3559,2987,2133,73
2023-10,Summit Auto Group,Summit Kia Brookfield,Paid Search,2198,1862,1151,22
2023-10,Summit Auto Group,Summit Kia Brookfield,Direct,1674,1307,869,41
2023-10,Summit Auto Group,Summit Kia Brookfield,Organic Social,1046,805,473,14
2023-10,Summit Auto Group,Summit Kia Brookfield,Paid Social,837,631,465,20
2023-10,Summit Auto Group,Summit Kia Brookfield,Referral,628,525,285,16
2023-10,Summit Auto Group,Summit Kia Brookfield,Email,523,406,260,12
2023-10,Summit Auto Group,Summit Mazda Lakeside,Organic Search,3284,2822,1646,38
2023-10,Summit Auto Group,Summit Mazda Lakeside,Paid Search,2028,1493,1208,55
2023-10,Summit Auto Group,Summit Mazda Lakeside,Direct,1545,1286,766,36
2023-10,Summit Auto Group,Summit Mazda Lakeside,Organic Social,966,759,556,14
2023-10,Summit Auto Group,Summit Mazda Lakeside,Paid Social,772,601,451,14
2023-10,Summit Auto Group,Summit Mazda Lakeside,Referral,579,478,269,11
2023-10,Summit Auto Group,Summit Mazda Lakeside,Email,483,360,248,11
2023-10,Summit Auto Group,Summit Nissan Ridgemont,Organic Search,4300,3304,2324,113
2023-10,Summit Auto Group,Summit Nissan Ridgemont,Paid Search,2656,2003,1372,56
2023-10,Summit Auto Group,Summit Nissan Ridgemont,Direct,2023,1623,1078,38
2023-10,Summit Auto Group,Summit Nissan Ridgemont,Organic Social,1264,987,586,22
2023-10,Summit Auto Group,Summit Nissan Ridgemont,Paid Social,1011,832,457,20
2023-10,Summit Auto Group,Summit Nissan Ridgemont,Referral,758,608,369,8
2023-10,Summit Auto Group,Summit Nissan Ridgemont,Email,632,460,303,14
2023-10,Summit Auto Group,Summit Subaru Northgate,Organic Search,3963,3386,2114,41
2023-10,Summit Auto Group,Summit Subaru Northgate,Paid Search,2447,1816,1295,37
2023-10,Summit Auto Group,Summit Subaru Northgate,Direct,1865,1505,860,38
2023-10,Summit Auto Group,Summit Subaru Northgate,Organic Social,1165,976,566,12
2023-10,Summit Auto Group,Summit Subaru Northgate,Paid Social,932,789,547,21
2023-10,Summit Auto Group,Summit Subaru Northgate,Referral,699,574,380,17
2023-10,Summit Auto Group,Summit Subaru Northgate,Email,582,456,284,12
2023-10,Summit Auto Group,Summit Toyota of Fairview,Organic Search,6403,4768,3282,90
2023-10,Summit Auto Group,Summit Toyota of Fairview,Paid Search,3954,2994,2166,88
2023-10,Summit Auto Group,Summit Toyota of Fairview,Direct,3013,2418,1850,31
2023-10,Summit Auto Group,Summit Toyota of Fairview,Organic Social,1883,1482,945,38
2023-10,Summit Auto Group,Summit Toyota of Fairview,Paid Social,1506,1114,726,16
2023-10,Summit Auto Group,Summit Toyota of Fairview,Referral,1129,912,550,30
2023-10,Summit Auto Group,Summit Toyota of Fairview,Email,941,735,496,9
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,Organic Search,2745,2218,1701,44
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,Paid Search,1695,1400,821,24
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,Direct,1292,1093,667,19
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,Organic Social,807,604,497,19
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,Paid Social,646,500,339,7
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,Referral,484,399,264,12
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,Email,403,330,189,8
2023-11,Harbor Motor Group,Harbor BMW,Organic Search,5608,4341,2633,125
2023-11,Harbor Motor Group,Harbor BMW,Paid Search,3464,2508,1919,52
2023-11,Harbor Motor Group,Harbor BMW,Direct,2639,1934,1235,66
2023-11,Harbor Motor Group,Harbor BMW,Organic Social,1649,1334,981,44
2023-11,Harbor Motor Group,Harbor BMW,Paid Social,1319,1134,748,35
2023-11,Harbor Motor Group,Harbor BMW,Referral,989,712,505,12
2023-11,Harbor Motor Group,Harbor BMW,Email,824,672,391,18
2023-11,Harbor Motor Group,Harbor Chevrolet Marina,Organic Search,5619,4553,2857,58
2023-11,Harbor Motor Group,Harbor Chevrolet Marina,Paid Search,3471,2677,1877,59
2023-11,Harbor Motor Group,Harbor Chevrolet Marina,Direct,2644,2099,1337,37
2023-11,Harbor Motor Group,Harbor Chevrolet Marina,Organic Social,1652,1235,815,32
2023-11,Harbor Motor Group,Harbor Chevrolet Marina,Paid Social,1322,975,734,33
2023-11,Harbor Motor Group,Harbor Chevrolet Marina,Referral,991,727,454,11
2023-11,Harbor Motor Group,Harbor Chevrolet Marina,Email,826,668,382,19
2023-11,Harbor Motor Group,Harbor Ford Portside,Organic Search,6958,5236,3266,72
2023-11,Harbor Motor Group,Harbor Ford Portside,Paid Search,4298,3105,2352,95
2023-11,Harbor Motor Group,Harbor Ford Portside,Direct,3274,2644,1686,60
2023-11,Harbor Motor Group,Harbor Ford Portside,Organic Social,2046,1621,1079,55
2023-11,Harbor Motor Group,Harbor Ford Portside,Paid Social,1637,1370,879,18
2023-11,Harbor Motor Group,Harbor Ford Portside,Referral,1228,925,667,18
2023-11,Harbor Motor Group,Harbor Ford Portside,Email,1023,751,540,12
2023-11,Harbor Motor Group,Harbor Honda Seaside,Organic Search,6762,5806,3670,153
2023-11,Harbor Motor Group,Harbor Honda Seaside,Paid Search,4176,3267,2063,53
2023-11,Harbor Motor Group,Harbor Honda Seaside,Direct,3182,2579,1817,68
2023-11,Harbor Motor Group,Harbor Honda Seaside,Organic Social,1989,1605,994,31
2023-11,Harbor Motor Group,Harbor Honda Seaside,Paid Social,1591,1166,751,40
2023-11,Harbor Motor Group,Harbor Honda Seaside,Referral,1193,985,611,29
2023-11,Harbor Motor Group,Harbor Honda Seaside,Email,994,819,537,13
2023-11,Harbor Motor Group,Harbor Jeep Ram Anchor,Organic Search,5404,4588,3267,116
2023-11,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Search,3337,2569,1781,37
2023-11,Harbor Motor Group,Harbor Jeep Ram Anchor,Direct,2543,2055,1370,66
2023-11,Harbor Motor Group,Harbor Jeep Ram Anchor,Organic Social,1589,1157,910,33
2023-11,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Social,1271,982,779,22
2023-11,Harbor Motor Group,Harbor Jeep Ram Anchor,Referral,953,699,507,18
2023-11,Harbor Motor Group,Harbor Jeep Ram Anchor,Email,794,590,381,16
2023-11,Harbor Motor Group,Harbor Kia Lighthouse,Organic Search,3662,2948,2156,45
2023-11,Harbor Motor Group,Harbor Kia Lighthouse,Paid Search,2262,1915,1273,58
2023-11,Harbor Motor Group,Harbor Kia Lighthouse,Direct,1723,1267,943,41
2023-11,Harbor Motor Group,Harbor Kia Lighthouse,Organic Social,1077,844,574,16
2023-11,Harbor Motor Group,Harbor Kia Lighthouse,Paid Social,861,670,488,21
2023-11,Harbor Motor Group,Harbor Kia Lighthouse,Referral,646,516,322,7
2023-11,Harbor Motor Group,Harbor Kia Lighthouse,Email,538,452,295,6
2023-11,Harbor Motor Group,Harbor Subaru Tidewater,Organic Search,3396,2675,2054,86
2023-11,Harbor Motor Group,Harbor Subaru Tidewater,Paid Search,2097,1746,1215,58
2023-11,Harbor Motor Group,Harbor Subaru Tidewater,Direct,1598,1331,883,27
2023-11,Harbor Motor Group,Harbor Subaru Tidewater,Organic Social,998,720,481,17
2023-11,Harbor Motor Group,Harbor Subaru Tidewater,Paid Social,799,653,437,20
2023-11,Harbor Motor Group,Harbor Subaru Tidewater,Referral,599,446,305,7
2023-11,Harbor Motor Group,Harbor Subaru Tidewater,Email,499,424,263,5
2023-11,Harbor Motor Group,Harbor Toyota Bayview,Organic Search,6162,5168,3326,66
2023-11,Harbor Motor Group,Harbor Toyota Bayview,Paid Search,3806,3150,2230,57
2023-11,Harbor Motor Group,Harbor Toyota Bayview,Direct,2900,2145,1603,31
2023-11,Harbor Motor Group,Harbor Toyota Bayview,Organic Social,1812,1542,967,50
2023-11,Harbor Motor Group,Harbor Toyota Bayview,Paid Social,1450,1208,846,37
2023-11,Harbor Motor Group,Harbor Toyota Bayview,Referral,1087,934,532,19
2023-11,Harbor Motor Group,Harbor Toyota Bayview,Email,906,686,540,13
2023-11,Summit Auto Group,Summit BMW,Organic Search,5751,4160,3424,124
2023-11,Summit Auto Group,Summit BMW,Paid Search,3552,2661,1926,70
2023-11,Summit Auto Group,Summit BMW,Direct,2706,2187,1633,57
2023-11,Summit Auto Group,Summit BMW,Organic Social,1691,1371,945,45
2023-11,Summit Auto Group,Summit BMW,Paid Social,1353,1108,687,36
2023-11,Summit Auto Group,Summit BMW,Referral,1014,732,551,11
2023-11,Summit Auto Group,Summit BMW,Email,845,612,476,22
2023-11,Summit Auto Group,Summit Chevrolet Glenpark,Organic Search,6092,4410,2838,120
2023-11,Summit Auto Group,Summit Chevrolet Glenpark,Paid Search,3762,2743,2310,98
2023-11,Summit Auto Group,Summit Chevrolet Glenpark,Direct,2867,2223,1658,59
2023-11,Summit Auto Group,Summit Chevrolet Glenpark,Organic Social,1791,1314,1097,36
2023-11,Summit Auto Group,Summit Chevrolet Glenpark,Paid Social,1433,1145,670,29
2023-11,Summit Auto Group,Summit Chevrolet Glenpark,Referral,1075,813,611,15
2023-11,Summit Auto Group,Summit Chevrolet Glenpark,Email,895,713,433,19
2023-11,Summit Auto Group,Summit Ford Rivera,Organic Search,6300,5014,3759,122
2023-11,Summit Auto Group,Summit Ford Rivera,Paid Search,3891,3006,2219,78
2023-11,Summit Auto Group,Summit Ford Rivera,Direct,2964,2487,1794,63
2023-11,Summit Auto Group,Summit Ford Rivera,Organic Social,1853,1589,1081,21
2023-11,Summit Auto Group,Summit Ford Rivera,Paid Social,1482,1148,767,33
2023-11,Summit Auto Group,Summit Ford Rivera,Referral,1111,838,630,24
2023-11,Summit Auto Group,Summit Ford Rivera,Email,926,794,456,16
2023-11,Summit Auto Group,Summit Honda Westland,Organic Search,5476,3946,2495,149
2023-11,Summit Auto Group,Summit Honda Westland,Paid Search,3382,2903,1898,39
2023-11,Summit Auto Group,Summit Honda Westland,Direct,2577,2005,1338,30
2023-11,Summit Auto Group,Summit Honda Westland,Organic Social,1610,1313,862,17
2023-11,Summit Auto Group,Summit Honda Westland,Paid Social,1288,1035,690,19
2023-11,Summit Auto Group,Summit Honda Westland,Referral,966,735,503,15
2023-11,Summit Auto Group,Summit Honda Westland,Email,805,607,463,10
2023-11,Summit Auto Group,Summit Hyundai Oakhurst,Organic Search,3983,3267,2052,69
2023-11,Summit Auto Group,Summit Hyundai Oakhurst,Paid Search,2460,2028,1240,68
2023-11,Summit Auto Group,Summit Hyundai Oakhurst,Direct,1874,1379,1105,22
2023-11,Summit Auto Group,Summit Hyundai Oakhurst,Organic Social,1171,930,542,15
2023-11,Summit Auto Group,Summit Hyundai Oakhurst,Paid Social,937,691,427,12
2023-11,Summit Auto Group,Summit Hyundai Oakhurst,Referral,703,551,391,8
2023-11,Summit Auto Group,Summit Hyundai Oakhurst,Email,585,471,280,14
2023-11,Summit Auto Group,Summit Jeep Ram Clearwater,Organic Search,4959,3907,2417,54
2023-11,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Search,3063,2360,1447,41
2023-11,Summit Auto Group,Summit Jeep Ram Clearwater,Direct,2333,1869,1295,44
2023-11,Summit Auto Group,Summit Jeep Ram Clearwater,Organic Social,1458,1110,769,36
2023-11,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Social,1166,984,695,17
2023-11,Summit Auto Group,Summit Jeep Ram Clearwater,Referral,875,738,457,22
2023-11,Summit Auto Group,Summit Jeep Ram Clearwater,Email,729,548,393,13
2023-11,Summit Auto Group,Summit Kia Brookfield,Organic Search,3626,2640,1889,74
2023-11,Summit Auto Group,Summit Kia Brookfield,Paid Search,2239,1900,1044,60
2023-11,Summit Auto Group,Summit Kia Brookfield,Direct,1706,1315,771,23
2023-11,Summit Auto Group,Summit Kia Brookfield,Organic Social,1066,846,541,29
2023-11,Summit Auto Group,Summit Kia Brookfield,Paid Social,853,643,404,11
2023-11,Summit Auto Group,Summit Kia Brookfield,Referral,639,534,368,8
2023-11,Summit Auto Group,Summit Kia Brookfield,Email,533,457,308,6
2023-11,Summit Auto Group,Summit Mazda Lakeside,Organic Search,2987,2410,1409,75
2023-11,Summit Auto Group,Summit Mazda Lakeside,Paid Search,1845,1475,1032,34
2023-11,Summit Auto Group,Summit Mazda Lakeside,Direct,1405,1118,861,24
2023-11,Summit Auto Group,Summit Mazda Lakeside,Organic Social,878,754,496,22
2023-11,Summit Auto Group,Summit Mazda Lakeside,Paid Social,702,597,323,14
2023-11,Summit Auto Group,Summit Mazda Lakeside,Referral,527,419,269,13
2023-11,Summit Auto Group,Summit Mazda Lakeside,Email,439,338,259,7
2023-11,Summit Auto Group,Summit Nissan Ridgemont,Organic Search,4482,3442,2025,57
2023-11,Summit Auto Group,Summit Nissan Ridgemont,Paid Search,2768,2171,1273,35
2023-11,Summit Auto Group,Summit Nissan Ridgemont,Direct,2109,1583,1048,46
2023-11,Summit Auto Group,Summit Nissan Ridgemont,Organic Social,1318,1044,628,23
2023-11,Summit Auto Group,Summit Nissan Ridgemont,Paid Social,1054,850,555,28
2023-11,Summit Auto Group,Summit Nissan Ridgemont,Referral,791,579,459,21
2023-11,Summit Auto Group,Summit Nissan Ridgemont,Email,659,492,387,10
2023-11,Summit Auto Group,Summit Subaru Northgate,Organic Search,4026,3114,1901,89
2023-11,Summit Auto Group,Summit Subaru Northgate,Paid Search,2487,2051,1185,41
2023-11,Summit Auto Group,Summit Subaru Northgate,Direct,1895,1507,914,33
2023-11,Summit Auto Group,Summit Subaru Northgate,Organic Social,1184,902,578,22
2023-11,Summit Auto Group,Summit Subaru Northgate,Paid Social,947,740,546,9
2023-11,Summit Auto Group,Summit Subaru Northgate,Referral,710,527,416,14
2023-11,Summit Auto Group,Summit Subaru Northgate,Email,592,463,315,12
2023-11,Summit Auto Group,Summit Toyota of Fairview,Organic Search,7565,5708,4237,100
2023-11,Summit Auto Group,Summit Toyota of Fairview,Paid Search,4672,4016,2180,73
2023-11,Summit Auto Group,Summit Toyota of Fairview,Direct,3560,2998,1944,57
2023-11,Summit Auto Group,Summit Toyota of Fairview,Organic Social,2225,1623,1338,50
2023-11,Summit Auto Group,Summit Toyota of Fairview,Paid Social,1780,1444,1018,31
2023-11,Summit Auto Group,Summit Toyota of Fairview,Referral,1335,1088,697,25
2023-11,Summit Auto Group,Summit Toyota of Fairview,Email,1112,841,567,12
2023-11,Summit Auto Group,Summit Volkswagen Eastdale,Organic Search,2902,2217,1344,35
2023-11,Summit Auto Group,Summit Volkswagen Eastdale,Paid Search,1792,1370,1075,19
2023-11,Summit Auto Group,Summit Volkswagen Eastdale,Direct,1365,1094,778,25
2023-11,Summit Auto Group,Summit Volkswagen Eastdale,Organic Social,853,654,401,13
2023-11,Summit Auto Group,Summit Volkswagen Eastdale,Paid Social,682,585,308,15
2023-11,Summit Auto Group,Summit Volkswagen Eastdale,Referral,512,398,300,9
2023-11,Summit Auto Group,Summit Volkswagen Eastdale,Email,426,308,207,11
2023-12,Harbor Motor Group,Harbor BMW,Organic Search,6186,4607,3605,104
2023-12,Harbor Motor Group,Harbor BMW,Paid Search,3820,2869,2080,55
2023-12,Harbor Motor Group,Harbor BMW,Direct,2911,2173,1563,77
2023-12,Harbor Motor Group,Harbor BMW,Organic Social,1819,1370,903,40
2023-12,Harbor Motor Group,Harbor BMW,Paid Social,1455,1069,788,40
2023-12,Harbor Motor Group,Harbor BMW,Referral,1091,812,531,22
2023-12,Harbor Motor Group,Harbor BMW,Email,909,686,512,18
2023-12,Harbor Motor Group,Harbor Chevrolet Marina,Organic Search,5335,4546,2780,72
2023-12,Harbor Motor Group,Harbor Chevrolet Marina,Paid Search,3295,2467,1733,59
2023-12,Harbor Motor Group,Harbor Chevrolet Marina,Direct,2511,2061,1445,33
2023-12,Harbor Motor Group,Harbor Chevrolet Marina,Organic Social,1569,1252,789,20
2023-12,Harbor Motor Group,Harbor Chevrolet Marina,Paid Social,1255,981,767,34
2023-12,Harbor Motor Group,Harbor Chevrolet Marina,Referral,941,693,438,21
2023-12,Harbor Motor Group,Harbor Chevrolet Marina,Email,784,666,404,21
2023-12,Harbor Motor Group,Harbor Ford Portside,Organic Search,7442,5665,3767,136
2023-12,Harbor Motor Group,Harbor Ford Portside,Paid Search,4597,3500,2370,123
2023-12,Harbor Motor Group,Harbor Ford Portside,Direct,3502,2929,2010,55
2023-12,Harbor Motor Group,Harbor Ford Portside,Organic Social,2189,1809,985,46
2023-12,Harbor Motor Group,Harbor Ford Portside,Paid Social,1751,1412,891,25
2023-12,Harbor Motor Group,Harbor Ford Portside,Referral,1313,1027,660,34
2023-12,Harbor Motor Group,Harbor Ford Portside,Email,1094,924,525,22
2023-12,Harbor Motor Group,Harbor Honda Seaside,Organic Search,5325,4543,2787,126
2023-12,Harbor Motor Group,Harbor Honda Seaside,Paid Search,3289,2793,1941,41
2023-12,Harbor Motor Group,Harbor Honda Seaside,Direct,2506,1877,1531,61
2023-12,Harbor Motor Group,Harbor Honda Seaside,Organic Social,1566,1177,904,35
2023-12,Harbor Motor Group,Harbor Honda Seaside,Paid Social,1253,961,709,12
2023-12,Harbor Motor Group,Harbor Honda Seaside,Referral,939,695,461,19
2023-12,Harbor Motor Group,Harbor Honda Seaside,Email,783,622,461,19
2023-12,Harbor Motor Group,Harbor Jeep Ram Anchor,Organic Search,4592,3581,2135,92
2023-12,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Search,2836,2081,1720,69
2023-12,Harbor Motor Group,Harbor Jeep Ram Anchor,Direct,2161,1667,1194,44
2023-12,Harbor Motor Group,Harbor Jeep Ram Anchor,Organic Social,1350,1019,650,31
2023-12,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Social,1080,908,580,28
2023-12,Harbor Motor Group,Harbor Jeep Ram Anchor,Referral,810,649,396,15
2023-12,Harbor Motor Group,Harbor Jeep Ram Anchor,Email,675,507,348,17
2023-12,Harbor Motor Group,Harbor Kia Lighthouse,Organic Search,3468,2979,1616,62
2023-12,Harbor Motor Group,Harbor Kia Lighthouse,Paid Search,2142,1713,1247,36
2023-12,Harbor Motor Group,Harbor Kia Lighthouse,Direct,1632,1401,791,21
2023-12,Harbor Motor Group,Harbor Kia Lighthouse,Organic Social,1020,770,620,26
2023-12,Harbor Motor Group,Harbor Kia Lighthouse,Paid Social,816,611,439,16
2023-12,Harbor Motor Group,Harbor Kia Lighthouse,Referral,612,461,377,10
2023-12,Harbor Motor Group,Harbor Kia Lighthouse,Email,510,376,313,6
2023-12,Harbor Motor Group,Harbor Subaru Tidewater,Organic Search,3950,3013,2108,68
2023-12,Harbor Motor Group,Harbor Subaru Tidewater,Paid Search,2440,2040,1129,68
2023-12,Harbor Motor Group,Harbor Subaru Tidewater,Direct,1859,1553,1037,42
2023-12,Harbor Motor Group,Harbor Subaru Tidewater,Organic Social,1162,876,684,25
2023-12,Harbor Motor Group,Harbor Subaru Tidewater,Paid Social,929,699,484,14
2023-12,Harbor Motor Group,Harbor Subaru Tidewater,Referral,697,536,402,9
2023-12,Harbor Motor Group,Harbor Subaru Tidewater,Email,581,475,358,11
2023-12,Harbor Motor Group,Harbor Toyota Bayview,Organic Search,7239,5232,3745,184
2023-12,Harbor Motor Group,Harbor Toyota Bayview,Paid Search,4471,3689,2224,66
2023-12,Harbor Motor Group,Harbor Toyota Bayview,Direct,3406,2854,2091,63
