period,group,store,channel,spend
2024-02,Harbor Motor Group,Harbor Toyota Bayview,Paid Search,1685
2024-02,Harbor Motor Group,Harbor Toyota Bayview,Paid Social,815
2024-02,Summit Auto Group,Summit BMW,Paid Search,1268
2024-02,Summit Auto Group,Summit BMW,Paid Social,611
2024-02,Summit Auto Group,Summit Chevrolet Glenpark,Paid Search,1331
2024-02,Summit Auto Group,Summit Chevrolet Glenpark,Paid Social,625
2024-02,Summit Auto Group,Summit Ford Rivera,Paid Search,1911
2024-02,Summit Auto Group,Summit Ford Rivera,Paid Social,676
2024-02,Summit Auto Group,Summit Honda Westland,Paid Search,1616
2024-02,Summit Auto Group,Summit Honda Westland,Paid Social,682
2024-02,Summit Auto Group,Summit Hyundai Oakhurst,Paid Search,1007
2024-02,Summit Auto Group,Summit Hyundai Oakhurst,Paid Social,433
2024-02,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Search,1536
2024-02,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Social,519
2024-02,Summit Auto Group,Summit Kia Brookfield,Paid Search,1134
2024-02,Summit Auto Group,Summit Kia Brookfield,Paid Social,400
2024-02,Summit Auto Group,Summit Mazda Lakeside,Paid Search,693
2024-02,Summit Auto Group,Summit Mazda Lakeside,Paid Social,334
2024-02,Summit Auto Group,Summit Nissan Ridgemont,Paid Search,1308
2024-02,Summit Auto Group,Summit Nissan Ridgemont,Paid Social,452
2024-02,Summit Auto Group,Summit Subaru Northgate,Paid Search,1090
2024-02,Summit Auto Group,Summit Subaru Northgate,Paid Social,306
2024-02,Summit Auto Group,Summit Toyota of Fairview,Paid Search,1953
2024-02,Summit Auto Group,Summit Toyota of Fairview,Paid Social,649
2024-02,Summit Auto Group,Summit Volkswagen Eastdale,Paid Search,864
2024-02,Summit Auto Group,Summit Volkswagen Eastdale,Paid Social,345
2024-03,Harbor Motor Group,Harbor BMW,Paid Search,1669
2024-03,Harbor Motor Group,Harbor BMW,Paid Social,637
2024-03,Harbor Motor Group,Harbor Chevrolet Marina,Paid Search,1377
2024-03,Harbor Motor Group,Harbor Chevrolet Marina,Paid Social,482
2024-03,Harbor Motor Group,Harbor Ford Portside,Paid Search,1366
2024-03,Harbor Motor Group,Harbor Ford Portside,Paid Social,662
2024-03,Harbor Motor Group,Harbor Honda Seaside,Paid Search,1575
2024-03,Harbor Motor Group,Harbor Honda Seaside,Paid Social,622
2024-03,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Search,1448
2024-03,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Social,483
2024-03,Harbor Motor Group,Harbor Kia Lighthouse,Paid Search,812
2024-03,Harbor Motor Group,Harbor Kia Lighthouse,Paid Social,324
2024-03,Harbor Motor Group,Harbor Subaru Tidewater,Paid Search,855
2024-03,Harbor Motor Group,Harbor Subaru Tidewater,Paid Social,337
2024-03,Harbor Motor Group,Harbor Toyota Bayview,Paid Search,1439
2024-03,Harbor Motor Group,Harbor Toyota Bayview,Paid Social,791
2024-03,Summit Auto Group,Summit BMW,Paid Search,1628
2024-03,Summit Auto Group,Summit BMW,Paid Social,632
2024-03,Summit Auto Group,Summit Chevrolet Glenpark,Paid Search,1206
2024-03,Summit Auto Group,Summit Chevrolet Glenpark,Paid Social,600
2024-03,Summit Auto Group,Summit Ford Rivera,Paid Search,1502
2024-03,Summit Auto Group,Summit Ford Rivera,Paid Social,550
2024-03,Summit Auto Group,Summit Honda Westland,Paid Search,1399
2024-03,Summit Auto Group,Summit Honda Westland,Paid Social,694
2024-03,Summit Auto Group,Summit Hyundai Oakhurst,Paid Search,885
2024-03,Summit Auto Group,Summit Hyundai Oakhurst,Paid Social,346
2024-03,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Search,1485
2024-03,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Social,463
2024-03,Summit Auto Group,Summit Kia Brookfield,Paid Search,1234
2024-03,Summit Auto Group,Summit Kia Brookfield,Paid Social,360
2024-03,Summit Auto Group,Summit Mazda Lakeside,Paid Search,987
2024-03,Summit Auto Group,Summit Mazda Lakeside,Paid Social,337
2024-03,Summit Auto Group,Summit Nissan Ridgemont,Paid Search,1329
2024-03,Summit Auto Group,Summit Nissan Ridgemont,Paid Social,397
2024-03,Summit Auto Group,Summit Subaru Northgate,Paid Search,950
2024-03,Summit Auto Group,Summit Subaru Northgate,Paid Social,360
2024-03,Summit Auto Group,Summit Toyota of Fairview,Paid Search,2042
2024-03,Summit Auto Group,Summit Toyota of Fairview,Paid Social,761
2024-03,Summit Auto Group,Summit Volkswagen Eastdale,Paid Search,880
2024-03,Summit Auto Group,Summit Volkswagen Eastdale,Paid Social,320
2024-04,Harbor Motor Group,Harbor BMW,Paid Search,1675
2024-04,Harbor Motor Group,Harbor BMW,Paid Social,544
2024-04,Harbor Motor Group,Harbor Chevrolet Marina,Paid Search,1123
2024-04,Harbor Motor Group,Harbor Chevrolet Marina,Paid Social,601
2024-04,Harbor Motor Group,Harbor Ford Portside,Paid Search,1875
2024-04,Harbor Motor Group,Harbor Ford Portside,Paid Social,751
2024-04,Harbor Motor Group,Harbor Honda Seaside,Paid Search,1785
2024-04,Harbor Motor Group,Harbor Honda Seaside,Paid Social,619
2024-04,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Search,1068
2024-04,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Social,512
2024-04,Harbor Motor Group,Harbor Kia Lighthouse,Paid Search,1033
2024-04,Harbor Motor Group,Harbor Kia Lighthouse,Paid Social,409
2024-04,Harbor Motor Group,Harbor Subaru Tidewater,Paid Search,977
2024-04,Harbor Motor Group,Harbor Subaru Tidewater,Paid Social,321
2024-04,Harbor Motor Group,Harbor Toyota Bayview,Paid Search,1759
2024-04,Harbor Motor Group,Harbor Toyota Bayview,Paid Social,604
2024-04,Summit Auto Group,Summit BMW,Paid Search,1752
2024-04,Summit Auto Group,Summit BMW,Paid Social,688
2024-04,Summit Auto Group,Summit Chevrolet Glenpark,Paid Search,1412
2024-04,Summit Auto Group,Summit Chevrolet Glenpark,Paid Social,602
2024-04,Summit Auto Group,Summit Ford Rivera,Paid Search,1716
2024-04,Summit Auto Group,Summit Ford Rivera,Paid Social,656
2024-04,Summit Auto Group,Summit Honda Westland,Paid Search,1444
2024-04,Summit Auto Group,Summit Honda Westland,Paid Social,717
2024-04,Summit Auto Group,Summit Hyundai Oakhurst,Paid Search,1309
2024-04,Summit Auto Group,Summit Hyundai Oakhurst,Paid Social,359
2024-04,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Search,1577
2024-04,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Social,459
2024-04,Summit Auto Group,Summit Kia Brookfield,Paid Search,908
2024-04,Summit Auto Group,Summit Kia Brookfield,Paid Social,352
2024-04,Summit Auto Group,Summit Mazda Lakeside,Paid Search,944
2024-04,Summit Auto Group,Summit Mazda Lakeside,Paid Social,358
2024-04,Summit Auto Group,Summit Nissan Ridgemont,Paid Search,1097
2024-04,Summit Auto Group,Summit Nissan Ridgemont,Paid Social,421
2024-04,Summit Auto Group,Summit Subaru Northgate,Paid Search,782
2024-04,Summit Auto Group,Summit Subaru Northgate,Paid Social,355
2024-04,Summit Auto Group,Summit Toyota of Fairview,Paid Search,2038
2024-04,Summit Auto Group,Summit Toyota of Fairview,Paid Social,576
2024-04,Summit Auto Group,Summit Volkswagen Eastdale,Paid Search,891
2024-04,Summit Auto Group,Summit Volkswagen Eastdale,Paid Social,303
2024-05,Harbor Motor Group,Harbor BMW,Paid Search,1694
2024-05,Harbor Motor Group,Harbor BMW,Paid Social,558
2024-05,Harbor Motor Group,Harbor Chevrolet Marina,Paid Search,1169
2024-05,Harbor Motor Group,Harbor Chevrolet Marina,Paid Social,580
2024-05,Harbor Motor Group,Harbor Ford Portside,Paid Search,1810
2024-05,Harbor Motor Group,Harbor Ford Portside,Paid Social,621
2024-05,Harbor Motor Group,Harbor Honda Seaside,Paid Search,1587
2024-05,Harbor Motor Group,Harbor Honda Seaside,Paid Social,628
2024-05,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Search,1393
2024-05,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Social,545
2024-05,Harbor Motor Group,Harbor Kia Lighthouse,Paid Search,917
2024-05,Harbor Motor Group,Harbor Kia Lighthouse,Paid Social,301
2024-05,Harbor Motor Group,Harbor Subaru Tidewater,Paid Search,737
2024-05,Harbor Motor Group,Harbor Subaru Tidewater,Paid Social,399
2024-05,Harbor Motor Group,Harbor Toyota Bayview,Paid Search,1602
2024-05,Harbor Motor Group,Harbor Toyota Bayview,Paid Social,749
2024-05,Summit Auto Group,Summit BMW,Paid Search,1844
2024-05,Summit Auto Group,Summit BMW,Paid Social,710
2024-05,Summit Auto Group,Summit Chevrolet Glenpark,Paid Search,1748
2024-05,Summit Auto Group,Summit Chevrolet Glenpark,Paid Social,672
2024-05,Summit Auto Group,Summit Ford Rivera,Paid Search,1394
2024-05,Summit Auto Group,Summit Ford Rivera,Paid Social,571
2024-05,Summit Auto Group,Summit Honda Westland,Paid Search,1346
2024-05,Summit Auto Group,Summit Honda Westland,Paid Social,515
2024-05,Summit Auto Group,Summit Hyundai Oakhurst,Paid Search,1254
2024-05,Summit Auto Group,Summit Hyundai Oakhurst,Paid Social,456
2024-05,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Search,1355
2024-05,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Social,443
2024-05,Summit Auto Group,Summit Kia Brookfield,Paid Search,1125
2024-05,Summit Auto Group,Summit Kia Brookfield,Paid Social,380
2024-05,Summit Auto Group,Summit Mazda Lakeside,Paid Search,982
2024-05,Summit Auto Group,Summit Mazda Lakeside,Paid Social,375
2024-05,Summit Auto Group,Summit Nissan Ridgemont,Paid Search,1394
2024-05,Summit Auto Group,Summit Nissan Ridgemont,Paid Social,518
2024-05,Summit Auto Group,Summit Subaru Northgate,Paid Search,1029
2024-05,Summit Auto Group,Summit Subaru Northgate,Paid Social,399
2024-05,Summit Auto Group,Summit Toyota of Fairview,Paid Search,1778
2024-05,Summit Auto Group,Summit Toyota of Fairview,Paid Social,631
2024-05,Summit Auto Group,Summit Volkswagen Eastdale,Paid Search,678
2024-05,Summit Auto Group,Summit Volkswagen Eastdale,Paid Social,320
2024-06,Harbor Motor Group,Harbor BMW,Paid Search,1637
2024-06,Harbor Motor Group,Harbor BMW,Paid Social,457
2024-06,Harbor Motor Group,Harbor Chevrolet Marina,Paid Search,1121
2024-06,Harbor Motor Group,Harbor Chevrolet Marina,Paid Social,599
2024-06,Harbor Motor Group,Harbor Ford Portside,Paid Search,1836
2024-06,Harbor Motor Group,Harbor Ford Portside,Paid Social,664
2024-06,Harbor Motor Group,Harbor Honda Seaside,Paid Search,1686
2024-06,Harbor Motor Group,Harbor Honda Seaside,Paid Social,583
2024-06,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Search,1452
2024-06,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Social,530
2024-06,Harbor Motor Group,Harbor Kia Lighthouse,Paid Search,919
2024-06,Harbor Motor Group,Harbor Kia Lighthouse,Paid Social,344
2024-06,Harbor Motor Group,Harbor Subaru Tidewater,Paid Search,806
2024-06,Harbor Motor Group,Harbor Subaru Tidewater,Paid Social,329
2024-06,Harbor Motor Group,Harbor Toyota Bayview,Paid Search,1595
2024-06,Harbor Motor Group,Harbor Toyota Bayview,Paid Social,550
2024-06,Summit Auto Group,Summit BMW,Paid Search,1528
2024-06,Summit Auto Group,Summit BMW,Paid Social,570
2024-06,Summit Auto Group,Summit Chevrolet Glenpark,Paid Search,1598
2024-06,Summit Auto Group,Summit Chevrolet Glenpark,Paid Social,546
2024-06,Summit Auto Group,Summit Ford Rivera,Paid Search,1392
2024-06,Summit Auto Group,Summit Ford Rivera,Paid Social,573
2024-06,Summit Auto Group,Summit Honda Westland,Paid Search,1738
2024-06,Summit Auto Group,Summit Honda Westland,Paid Social,665
2024-06,Summit Auto Group,Summit Hyundai Oakhurst,Paid Search,983
2024-06,Summit Auto Group,Summit Hyundai Oakhurst,Paid Social,395
2024-06,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Search,1206
2024-06,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Social,459
2024-06,Summit Auto Group,Summit Kia Brookfield,Paid Search,1145
2024-06,Summit Auto Group,Summit Kia Brookfield,Paid Social,398
2024-06,Summit Auto Group,Summit Mazda Lakeside,Paid Search,926
2024-06,Summit Auto Group,Summit Mazda Lakeside,Paid Social,294
2024-06,Summit Auto Group,Summit Nissan Ridgemont,Paid Search,1251
2024-06,Summit Auto Group,Summit Nissan Ridgemont,Paid Social,423
2024-06,Summit Auto Group,Summit Subaru Northgate,Paid Search,907
2024-06,Summit Auto Group,Summit Subaru Northgate,Paid Social,286
2024-06,Summit Auto Group,Summit Toyota of Fairview,Paid Search,1803
2024-06,Summit Auto Group,Summit Toyota of Fairview,Paid Social,596
2024-06,Summit Auto Group,Summit Volkswagen Eastdale,Paid Search,838
2024-06,Summit Auto Group,Summit Volkswagen Eastdale,Paid Social,271
2024-07,Harbor Motor Group,Harbor BMW,Paid Search,1560
2024-07,Harbor Motor Group,Harbor BMW,Paid Social,451
2024-07,Harbor Motor Group,Harbor Chevrolet Marina,Paid Search,1482
2024-07,Harbor Motor Group,Harbor Chevrolet Marina,Paid Social,483
2024-07,Harbor Motor Group,Harbor Ford Portside,Paid Search,1983
2024-07,Harbor Motor Group,Harbor Ford Portside,Paid Social,706
2024-07,Harbor Motor Group,Harbor Honda Seaside,Paid Search,1350
2024-07,Harbor Motor Group,Harbor Honda Seaside,Paid Social,557
2024-07,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Search,1395
2024-07,Harbor Motor Group,Harbor Jeep Ram Anchor,Paid Social,546
2024-07,Harbor Motor Group,Harbor Kia Lighthouse,Paid Search,1019
2024-07,Harbor Motor Group,Harbor Kia Lighthouse,Paid Social,346
2024-07,Harbor Motor Group,Harbor Subaru Tidewater,Paid Search,1030
2024-07,Harbor Motor Group,Harbor Subaru Tidewater,Paid Social,295
2024-07,Harbor Motor Group,Harbor Toyota Bayview,Paid Search,1995
2024-07,Harbor Motor Group,Harbor Toyota Bayview,Paid Social,751
2024-07,Summit Auto Group,Summit BMW,Paid Search,1833
2024-07,Summit Auto Group,Summit BMW,Paid Social,543
2024-07,Summit Auto Group,Summit Chevrolet Glenpark,Paid Search,1590
2024-07,Summit Auto Group,Summit Chevrolet Glenpark,Paid Social,481
2024-07,Summit Auto Group,Summit Ford Rivera,Paid Search,1468
2024-07,Summit Auto Group,Summit Ford Rivera,Paid Social,586
2024-07,Summit Auto Group,Summit Honda Westland,Paid Search,1557
2024-07,Summit Auto Group,Summit Honda Westland,Paid Social,614
2024-07,Summit Auto Group,Summit Hyundai Oakhurst,Paid Search,882
2024-07,Summit Auto Group,Summit Hyundai Oakhurst,Paid Social,451
2024-07,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Search,1557
2024-07,Summit Auto Group,Summit Jeep Ram Clearwater,Paid Social,482
2024-07,Summit Auto Group,Summit Kia Brookfield,Paid Search,941
2024-07,Summit Auto Group,Summit Kia Brookfield,Paid Social,336
2024-07,Summit Auto Group,Summit Mazda Lakeside,Paid Search,867
2024-07,Summit Auto Group,Summit Mazda Lakeside,Paid Social,279
2024-07,Summit Auto Group,Summit Nissan Ridgemont,Paid Search,1053
