period,group,store,new_units,used_units,avg_days_on_lot,avg_price_to_market
2023-12,Summit Auto Group,Summit Mazda Lakeside,67,54,59.9,102.3
2023-12,Summit Auto Group,Summit Nissan Ridgemont,70,59,54.3,97.4
2023-12,Summit Auto Group,Summit Subaru Northgate,64,53,58.3,102.8
2023-12,Summit Auto Group,Summit Toyota of Fairview,142,129,53.5,98.7
2023-12,Summit Auto Group,Summit Volkswagen Eastdale,52,39,44.9,96.6
2024-01,Harbor Motor Group,Harbor BMW,123,98,29.3,100.8
2024-01,Harbor Motor Group,Harbor Chevrolet Marina,90,78,40.0,100.0
2024-01,Harbor Motor Group,Harbor Ford Portside,126,82,38.4,94.4
2024-01,Harbor Motor Group,Harbor Honda Seaside,122,73,44.7,99.6
2024-01,Harbor Motor Group,Harbor Jeep Ram Anchor,89,81,70.2,101.6
2024-01,Harbor Motor Group,Harbor Kia Lighthouse,69,48,46.9,97.8
2024-01,Harbor Motor Group,Harbor Subaru Tidewater,73,46,28.5,95.3
2024-01,Harbor Motor Group,Harbor Toyota Bayview,104,103,31.8,103.6
2024-01,Summit Auto Group,Summit BMW,104,79,55.3,99.6
2024-01,Summit Auto Group,Summit Chevrolet Glenpark,117,89,31.4,101.0
2024-01,Summit Auto Group,Summit Ford Rivera,98,117,65.9,96.2
2024-01,Summit Auto Group,Summit Honda Westland,115,81,28.6,101.7
2024-01,Summit Auto Group,Summit Hyundai Oakhurst,88,52,58.7,103.3
2024-01,Summit Auto Group,Summit Jeep Ram Clearwater,85,86,71.7,98.2
2024-01,Summit Auto Group,Summit Kia Brookfield,85,56,35.2,96.0
2024-01,Summit Auto Group,Summit Mazda Lakeside,48,40,45.9,101.7
2024-01,Summit Auto Group,Summit Nissan Ridgemont,99,81,40.7,99.1
2024-01,Summit Auto Group,Summit Subaru Northgate,51,53,33.9,94.9
2024-01,Summit Auto Group,Summit Toyota of Fairview,154,117,66.2,103.5
2024-01,Summit Auto Group,Summit Volkswagen Eastdale,51,49,53.2,96.4
2024-02,Harbor Motor Group,Harbor BMW,114,78,34.1,97.0
2024-02,Harbor Motor Group,Harbor Chevrolet Marina,81,73,60.2,97.5
2024-02,Harbor Motor Group,Harbor Ford Portside,101,79,47.2,97.9
2024-02,Harbor Motor Group,Harbor Honda Seaside,103,73,41.8,94.8
2024-02,Harbor Motor Group,Harbor Jeep Ram Anchor,70,72,34.2,99.7
2024-02,Harbor Motor Group,Harbor Kia Lighthouse,76,49,41.6,96.6
2024-02,Harbor Motor Group,Harbor Subaru Tidewater,71,57,71.4,99.8
2024-02,Harbor Motor Group,Harbor Toyota Bayview,102,98,39.7,97.0
2024-02,Summit Auto Group,Summit BMW,94,76,58.6,103.6
2024-02,Summit Auto Group,Summit Chevrolet Glenpark,108,92,63.8,95.6
2024-02,Summit Auto Group,Summit Ford Rivera,144,115,52.6,100.9
2024-02,Summit Auto Group,Summit Honda Westland,110,84,31.2,94.3
2024-02,Summit Auto Group,Summit Hyundai Oakhurst,82,55,57.1,96.5
2024-02,Summit Auto Group,Summit Jeep Ram Clearwater,88,88,73.4,100.0
2024-02,Summit Auto Group,Summit Kia Brookfield,66,50,72.9,96.7
2024-02,Summit Auto Group,Summit Mazda Lakeside,61,52,40.2,97.9
2024-02,Summit Auto Group,Summit Nissan Ridgemont,100,73,59.4,100.4
2024-02,Summit Auto Group,Summit Subaru Northgate,72,55,32.4,99.4
2024-02,Summit Auto Group,Summit Toyota of Fairview,151,98,72.2,103.8
2024-02,Summit Auto Group,Summit Volkswagen Eastdale,59,41,61.3,94.0
2024-03,Harbor Motor Group,Harbor BMW,84,78,54.7,101.6
2024-03,Harbor Motor Group,Harbor Chevrolet Marina,83,61,61.1,103.8
2024-03,Harbor Motor Group,Harbor Ford Portside,106,95,43.0,96.8
2024-03,Harbor Motor Group,Harbor Honda Seaside,100,75,32.5,98.4
2024-03,Harbor Motor Group,Harbor Jeep Ram Anchor,100,71,50.0,102.6
2024-03,Harbor Motor Group,Harbor Kia Lighthouse,60,54,64.4,98.0
2024-03,Harbor Motor Group,Harbor Subaru Tidewater,55,48,65.2,102.2
2024-03,Harbor Motor Group,Harbor Toyota Bayview,147,82,52.0,100.5
2024-03,Summit Auto Group,Summit BMW,110,73,51.2,94.4
2024-03,Summit Auto Group,Summit Chevrolet Glenpark,87,74,64.1,94.3
2024-03,Summit Auto Group,Summit Ford Rivera,116,106,34.5,102.7
2024-03,Summit Auto Group,Summit Honda Westland,114,81,40.7,101.9
2024-03,Summit Auto Group,Summit Hyundai Oakhurst,72,70,33.2,97.6
2024-03,Summit Auto Group,Summit Jeep Ram Clearwater,110,77,44.0,101.1
2024-03,Summit Auto Group,Summit Kia Brookfield,73,59,67.7,103.1
2024-03,Summit Auto Group,Summit Mazda Lakeside,49,45,73.1,102.6
2024-03,Summit Auto Group,Summit Nissan Ridgemont,80,59,64.1,97.8
2024-03,Summit Auto Group,Summit Subaru Northgate,54,56,67.6,99.5
2024-03,Summit Auto Group,Summit Toyota of Fairview,153,102,69.3,98.9
2024-03,Summit Auto Group,Summit Volkswagen Eastdale,61,37,72.5,100.3
2024-04,Harbor Motor Group,Harbor BMW,120,72,65.5,101.6
2024-04,Harbor Motor Group,Harbor Chevrolet Marina,90,69,64.6,101.9
2024-04,Harbor Motor Group,Harbor Ford Portside,131,107,35.9,95.4
2024-04,Harbor Motor Group,Harbor Honda Seaside,120,92,69.4,102.8
2024-04,Harbor Motor Group,Harbor Jeep Ram Anchor,79,73,50.1,103.5
2024-04,Harbor Motor Group,Harbor Kia Lighthouse,60,45,57.9,99.0
2024-04,Harbor Motor Group,Harbor Subaru Tidewater,56,52,62.3,100.8
2024-04,Harbor Motor Group,Harbor Toyota Bayview,137,106,37.2,96.8
2024-04,Summit Auto Group,Summit BMW,127,105,73.6,100.7
2024-04,Summit Auto Group,Summit Chevrolet Glenpark,105,89,72.2,97.2
2024-04,Summit Auto Group,Summit Ford Rivera,118,85,72.5,99.7
2024-04,Summit Auto Group,Summit Honda Westland,131,102,36.3,102.5
2024-04,Summit Auto Group,Summit Hyundai Oakhurst,63,69,64.9,101.8
2024-04,Summit Auto Group,Summit Jeep Ram Clearwater,78,83,63.7,98.2
2024-04,Summit Auto Group,Summit Kia Brookfield,74,62,35.0,94.6
2024-04,Summit Auto Group,Summit Mazda Lakeside,52,50,45.6,98.5
2024-04,Summit Auto Group,Summit Nissan Ridgemont,84,77,66.9,98.6
2024-04,Summit Auto Group,Summit Subaru Northgate,76,48,45.1,102.2
2024-04,Summit Auto Group,Summit Toyota of Fairview,144,126,49.4,102.1
2024-04,Summit Auto Group,Summit Volkswagen Eastdale,52,41,60.1,101.5
2024-05,Harbor Motor Group,Harbor BMW,88,86,64.0,95.8
2024-05,Harbor Motor Group,Harbor Chevrolet Marina,77,64,65.3,102.2
2024-05,Harbor Motor Group,Harbor Ford Portside,125,98,49.9,103.5
2024-05,Harbor Motor Group,Harbor Honda Seaside,107,71,58.5,97.9
2024-05,Harbor Motor Group,Harbor Jeep Ram Anchor,73,60,41.5,102.9
2024-05,Harbor Motor Group,Harbor Kia Lighthouse,63,47,40.7,100.7
2024-05,Harbor Motor Group,Harbor Subaru Tidewater,65,52,59.9,97.4
2024-05,Harbor Motor Group,Harbor Toyota Bayview,120,109,38.1,95.2
2024-05,Summit Auto Group,Summit BMW,107,104,34.6,103.0
2024-05,Summit Auto Group,Summit Chevrolet Glenpark,120,80,36.4,101.3
2024-05,Summit Auto Group,Summit Ford Rivera,142,100,49.3,94.8
2024-05,Summit Auto Group,Summit Honda Westland,127,80,73.2,95.2
2024-05,Summit Auto Group,Summit Hyundai Oakhurst,62,69,30.1,101.5
2024-05,Summit Auto Group,Summit Jeep Ram Clearwater,91,66,58.6,96.5
2024-05,Summit Auto Group,Summit Kia Brookfield,65,64,45.2,103.4
2024-05,Summit Auto Group,Summit Mazda Lakeside,46,43,71.9,95.4
2024-05,Summit Auto Group,Summit Nissan Ridgemont,72,57,62.7,95.1
2024-05,Summit Auto Group,Summit Subaru Northgate,69,48,48.7,102.7
2024-05,Summit Auto Group,Summit Toyota of Fairview,110,111,42.8,99.8
2024-05,Summit Auto Group,Summit Volkswagen Eastdale,44,42,34.1,103.8
2024-06,Harbor Motor Group,Harbor BMW,84,91,40.8,100.9
2024-06,Harbor Motor Group,Harbor Chevrolet Marina,97,89,43.9,101.6
2024-06,Harbor Motor Group,Harbor Ford Portside,127,101,40.0,98.8
2024-06,Harbor Motor Group,Harbor Honda Seaside,109,99,54.1,94.8
2024-06,Harbor Motor Group,Harbor Jeep Ram Anchor,77,68,56.8,98.6
2024-06,Harbor Motor Group,Harbor Kia Lighthouse,56,52,66.2,99.3
2024-06,Harbor Motor Group,Harbor Subaru Tidewater,54,50,30.8,100.0
2024-06,Harbor Motor Group,Harbor Toyota Bayview,112,94,33.2,94.5
2024-06,Summit Auto Group,Summit BMW,102,85,62.4,97.8
2024-06,Summit Auto Group,Summit Chevrolet Glenpark,116,77,72.9,99.4
2024-06,Summit Auto Group,Summit Ford Rivera,107,102,31.5,97.7
2024-06,Summit Auto Group,Summit Honda Westland,119,74,62.6,94.6
2024-06,Summit Auto Group,Summit Hyundai Oakhurst,66,64,38.5,103.6
2024-06,Summit Auto Group,Summit Jeep Ram Clearwater,106,85,64.4,95.6
2024-06,Summit Auto Group,Summit Kia Brookfield,81,66,30.1,97.3
2024-06,Summit Auto Group,Summit Mazda Lakeside,57,44,62.3,96.9
2024-06,Summit Auto Group,Summit Nissan Ridgemont,90,60,38.8,98.1
2024-06,Summit Auto Group,Summit Subaru Northgate,67,50,72.5,100.5
2024-06,Summit Auto Group,Summit Toyota of Fairview,107,118,40.1,99.9
2024-06,Summit Auto Group,Summit Volkswagen Eastdale,48,45,73.2,102.5
2024-07,Harbor Motor Group,Harbor BMW,113,68,64.6,98.5
2024-07,Harbor Motor Group,Harbor Chevrolet Marina,92,74,50.3,102.7
2024-07,Harbor Motor Group,Harbor Ford Portside,113,80,73.5,102.7
2024-07,Harbor Motor Group,Harbor Honda Seaside,125,72,55.9,100.2
2024-07,Harbor Motor Group,Harbor Jeep Ram Anchor,88,61,29.4,95.2
2024-07,Harbor Motor Group,Harbor Kia Lighthouse,77,66,45.3,102.0
2024-07,Harbor Motor Group,Harbor Subaru Tidewater,61,48,69.6,97.2
2024-07,Harbor Motor Group,Harbor Toyota Bayview,113,87,67.9,94.2
2024-07,Summit Auto Group,Summit BMW,88,101,42.9,94.6
2024-07,Summit Auto Group,Summit Chevrolet Glenpark,116,91,66.9,103.5
2024-07,Summit Auto Group,Summit Ford Rivera,108,115,71.6,94.1
2024-07,Summit Auto Group,Summit Honda Westland,135,94,64.0,99.8
2024-07,Summit Auto Group,Summit Hyundai Oakhurst,63,68,40.3,102.4
2024-07,Summit Auto Group,Summit Jeep Ram Clearwater,103,66,30.6,94.4
2024-07,Summit Auto Group,Summit Kia Brookfield,77,52,57.3,96.5
2024-07,Summit Auto Group,Summit Mazda Lakeside,68,51,72.2,101.6
2024-07,Summit Auto Group,Summit Nissan Ridgemont,90,80,67.0,95.7
2024-07,Summit Auto Group,Summit Subaru Northgate,55,53,49.6,100.0
2024-07,Summit Auto Group,Summit Toyota of Fairview,157,128,51.6,96.5
2024-07,Summit Auto Group,Summit Volkswagen Eastdale,53,51,43.3,94.9
2024-08,Harbor Motor Group,Harbor BMW,116,77,62.6,103.7
2024-08,Harbor Motor Group,Harbor Chevrolet Marina,104,65,66.5,100.4
2024-08,Harbor Motor Group,Harbor Ford Portside,97,105,54.5,98.1
2024-08,Harbor Motor Group,Harbor Honda Seaside,84,84,41.3,96.0
2024-08,Harbor Motor Group,Harbor Jeep Ram Anchor,71,71,55.5,99.0
2024-08,Harbor Motor Group,Harbor Kia Lighthouse,69,55,56.3,101.2
2024-08,Harbor Motor Group,Harbor Subaru Tidewater,62,42,73.0,96.6
2024-08,Harbor Motor Group,Harbor Toyota Bayview,110,93,42.1,94.4
2024-08,Summit Auto Group,Summit BMW,124,87,66.1,103.7
2024-08,Summit Auto Group,Summit Chevrolet Glenpark,90,72,72.1,98.9
2024-08,Summit Auto Group,Summit Ford Rivera,123,89,60.8,99.4
2024-08,Summit Auto Group,Summit Honda Westland,112,90,40.6,98.2
2024-08,Summit Auto Group,Summit Hyundai Oakhurst,71,65,31.2,97.4
2024-08,Summit Auto Group,Summit Jeep Ram Clearwater,103,73,64.4,97.5
2024-08,Summit Auto Group,Summit Kia Brookfield,68,58,64.6,98.6
2024-08,Summit Auto Group,Summit Mazda Lakeside,58,55,61.9,99.1
2024-08,Summit Auto Group,Summit Nissan Ridgemont,75,69,45.8,103.2
2024-08,Summit Auto Group,Summit Subaru Northgate,68,49,53.0,99.1
2024-08,Summit Auto Group,Summit Toyota of Fairview,131,128,69.7,101.1
2024-08,Summit Auto Group,Summit Volkswagen Eastdale,46,41,73.7,95.6
2024-09,Harbor Motor Group,Harbor BMW,120,71,65.3,96.6
2024-09,Harbor Motor Group,Harbor Chevrolet Marina,100,72,56.8,103.7
2024-09,Harbor Motor Group,Harbor Ford Portside,93,78,51.9,99.5
2024-09,Harbor Motor Group,Harbor Honda Seaside,100,101,30.9,98.9
2024-09,Harbor Motor Group,Harbor Jeep Ram Anchor,99,66,31.7,96.5
2024-09,Harbor Motor Group,Harbor Kia Lighthouse,74,51,57.4,102.5
2024-09,Harbor Motor Group,Harbor Subaru Tidewater,70,40,37.9,98.3
2024-09,Harbor Motor Group,Harbor Toyota Bayview,148,92,54.1,95.3
2024-09,Summit Auto Group,Summit BMW,109,86,69.7,95.8
2024-09,Summit Auto Group,Summit Chevrolet Glenpark,100,71,49.9,100.2
2024-09,Summit Auto Group,Summit Ford Rivera,115,98,57.4,100.3
2024-09,Summit Auto Group,Summit Honda Westland,133,100,72.7,94.6
2024-09,Summit Auto Group,Summit Hyundai Oakhurst,63,56,67.2,95.4
2024-09,Summit Auto Group,Summit Jeep Ram Clearwater,100,87,29.9,94.5
2024-09,Summit Auto Group,Summit Kia Brookfield,59,56,61.1,94.8
2024-09,Summit Auto Group,Summit Mazda Lakeside,46,43,49.2,103.2
2024-09,Summit Auto Group,Summit Nissan Ridgemont,78,69,66.1,100.2
2024-09,Summit Auto Group,Summit Subaru Northgate,55,57,63.1,98.4
2024-09,Summit Auto Group,Summit Toyota of Fairview,112,116,71.2,97.9
2024-09,Summit Auto Group,Summit Volkswagen Eastdale,56,43,70.0,100.8
2024-10,Harbor Motor Group,Harbor BMW,91,86,69.1,101.2
2024-10,Harbor Motor Group,Harbor Chevrolet Marina,102,66,66.8,103.1
2024-10,Harbor Motor Group,Harbor Ford Portside,94,82,62.1,95.4
2024-10,Harbor Motor Group,Harbor Honda Seaside,93,83,28.9,95.3
2024-10,Harbor Motor Group,Harbor Jeep Ram Anchor,96,64,40.8,103.5
2024-10,Harbor Motor Group,Harbor Kia Lighthouse,80,51,29.1,103.2
2024-10,Harbor Motor Group,Harbor Subaru Tidewater,62,56,64.6,98.0
2024-10,Harbor Motor Group,Harbor Toyota Bayview,135,86,42.0,99.1
2024-10,Summit Auto Group,Summit BMW,93,81,45.0,98.9
2024-10,Summit Auto Group,Summit Chevrolet Glenpark,118,89,43.5,96.9
2024-10,Summit Auto Group,Summit Ford Rivera,128,92,40.7,98.9
2024-10,Summit Auto Group,Summit Honda Westland,112,82,62.3,94.5
2024-10,Summit Auto Group,Summit Hyundai Oakhurst,78,63,40.8,100.9
2024-10,Summit Auto Group,Summit Jeep Ram Clearwater,108,88,30.7,94.0
2024-10,Summit Auto Group,Summit Kia Brookfield,82,49,53.2,101.9
2024-10,Summit Auto Group,Summit Mazda Lakeside,50,41,58.9,96.3
2024-10,Summit Auto Group,Summit Nissan Ridgemont,94,58,46.7,100.6
2024-10,Summit Auto Group,Summit Subaru Northgate,56,45,72.5,102.8
2024-10,Summit Auto Group,Summit Toyota of Fairview,111,91,43.6,95.0
2024-10,Summit Auto Group,Summit Volkswagen Eastdale,44,46,43.3,96.9
2024-11,Harbor Motor Group,Harbor BMW,98,75,65.6,96.6
2024-11,Harbor Motor Group,Harbor Chevrolet Marina,85,84,58.6,100.7
2024-11,Harbor Motor Group,Harbor Ford Portside,138,94,59.6,94.1
2024-11,Harbor Motor Group,Harbor Honda Seaside,93,103,43.8,97.0
2024-11,Harbor Motor Group,Harbor Jeep Ram Anchor,99,84,38.9,97.2
2024-11,Harbor Motor Group,Harbor Kia Lighthouse,55,63,35.4,101.3
2024-11,Harbor Motor Group,Harbor Subaru Tidewater,54,58,38.5,103.0
2024-11,Harbor Motor Group,Harbor Toyota Bayview,131,85,53.8,100.3
2024-11,Summit Auto Group,Summit BMW,107,77,58.0,94.3
2024-11,Summit Auto Group,Summit Chevrolet Glenpark,101,75,61.0,100.4
2024-11,Summit Auto Group,Summit Ford Rivera,102,95,53.8,98.8
2024-11,Summit Auto Group,Summit Honda Westland,125,74,39.3,99.8
2024-11,Summit Auto Group,Summit Hyundai Oakhurst,88,73,51.5,96.5
2024-11,Summit Auto Group,Summit Jeep Ram Clearwater,97,64,38.6,99.0
2024-11,Summit Auto Group,Summit Kia Brookfield,65,71,34.1,95.9
2024-11,Summit Auto Group,Summit Mazda Lakeside,56,40,63.9,96.0
2024-11,Summit Auto Group,Summit Nissan Ridgemont,91,56,47.6,101.5
2024-11,Summit Auto Group,Summit Subaru Northgate,74,44,47.8,102.8
2024-11,Summit Auto Group,Summit Toyota of Fairview,148,93,52.0,102.8
2024-11,Summit Auto Group,Summit Volkswagen Eastdale,52,43,34.5,100.0
2024-12,Harbor Motor Group,Harbor BMW,103,72,44.5,97.7
2024-12,Harbor Motor Group,Harbor Chevrolet Marina,108,67,69.9,98.7
2024-12,Harbor Motor Group,Harbor Ford Portside,99,111,45.2,96.7
2024-12,Harbor Motor Group,Harbor Honda Seaside,107,84,54.4,97.0
2024-12,Harbor Motor Group,Harbor Jeep Ram Anchor,81,60,50.2,96.9
2024-12,Harbor Motor Group,Harbor Kia Lighthouse,76,63,59.5,98.3
2024-12,Harbor Motor Group,Harbor Subaru Tidewater,53,48,68.3,104.0
2024-12,Harbor Motor Group,Harbor Toyota Bayview,136,82,71.5,103.1
2024-12,Summit Auto Group,Summit BMW,88,77,55.1,101.9
2024-12,Summit Auto Group,Summit Chevrolet Glenpark,114,75,59.9,97.4
2024-12,Summit Auto Group,Summit Ford Rivera,132,97,38.8,96.5
2024-12,Summit Auto Group,Summit Honda Westland,103,84,59.1,101.3
2024-12,Summit Auto Group,Summit Hyundai Oakhurst,63,51,54.2,98.7
2024-12,Summit Auto Group,Summit Jeep Ram Clearwater,97,90,68.2,101.9
2024-12,Summit Auto Group,Summit Kia Brookfield,86,48,68.6,99.8
2024-12,Summit Auto Group,Summit Mazda Lakeside,53,56,52.1,99.7
2024-12,Summit Auto Group,Summit Nissan Ridgemont,89,63,68.4,99.4
2024-12,Summit Auto Group,Summit Subaru Northgate,58,62,61.9,95.4
2024-12,Summit Auto Group,Summit Toyota of Fairview,137,113,50.0,99.4
2024-12,Summit Auto Group,Summit Volkswagen Eastdale,56,44,49.5,96.2
2025-01,Harbor Motor Group,Harbor BMW,102,75,43.4,95.9
2025-01,Harbor Motor Group,Harbor Chevrolet Marina,101,67,32.3,94.8
2025-01,Harbor Motor Group,Harbor Ford Portside,130,113,48.5,100.1
2025-01,Harbor Motor Group,Harbor Honda Seaside,93,103,63.4,102.5
2025-01,Harbor Motor Group,Harbor Jeep Ram Anchor,82,61,53.3,95.1
2025-01,Harbor Motor Group,Harbor Kia Lighthouse,62,49,73.5,96.0
2025-01,Harbor Motor Group,Harbor Subaru Tidewater,65,56,47.8,96.8
2025-01,Harbor Motor Group,Harbor Toyota Bayview,101,121,62.8,100.5
2025-01,Summit Auto Group,Summit BMW,104,95,61.0,94.8
2025-01,Summit Auto Group,Summit Chevrolet Glenpark,87,71,49.0,101.1
2025-01,Summit Auto Group,Summit Ford Rivera,123,79,71.1,96.8
2025-01,Summit Auto Group,Summit Honda Westland,112,80,47.5,94.5
2025-01,Summit Auto Group,Summit Hyundai Oakhurst,88,73,73.9,100.1
2025-01,Summit Auto Group,Summit Jeep Ram Clearwater,80,86,34.0,94.1
2025-01,Summit Auto Group,Summit Kia Brookfield,66,56,64.1,97.2
2025-01,Summit Auto Group,Summit Mazda Lakeside,68,55,35.6,96.1
2025-01,Summit Auto Group,Summit Nissan Ridgemont,78,69,39.6,98.0
2025-01,Summit Auto Group,Summit Subaru Northgate,60,53,62.6,98.6
2025-01,Summit Auto Group,Summit Toyota of Fairview,122,114,31.4,96.1
2025-01,Summit Auto Group,Summit Volkswagen Eastdale,60,48,44.6,100.1
2025-02,Harbor Motor Group,Harbor BMW,99,86,37.5,99.5
2025-02,Harbor Motor Group,Harbor Chevrolet Marina,102,81,33.2,95.9
2025-02,Harbor Motor Group,Harbor Ford Portside,117,112,29.2,103.1
2025-02,Harbor Motor Group,Harbor Honda Seaside,94,93,44.9,103.0
2025-02,Harbor Motor Group,Harbor Jeep Ram Anchor,75,63,40.9,97.0
2025-02,Harbor Motor Group,Harbor Kia Lighthouse,62,47,37.7,96.3
2025-02,Harbor Motor Group,Harbor Subaru Tidewater,61,49,61.4,101.2
2025-02,Harbor Motor Group,Harbor Toyota Bayview,144,84,46.8,94.1
2025-02,Summit Auto Group,Summit BMW,113,79,35.7,103.6
2025-02,Summit Auto Group,Summit Chevrolet Glenpark,112,77,52.9,99.6
2025-02,Summit Auto Group,Summit Ford Rivera,141,97,51.4,104.0
2025-02,Summit Auto Group,Summit Honda Westland,110,80,48.1,101.1
2025-02,Summit Auto Group,Summit Hyundai Oakhurst,72,58,53.5,102.4
2025-02,Summit Auto Group,Summit Jeep Ram Clearwater,94,62,55.7,102.6
2025-02,Summit Auto Group,Summit Kia Brookfield,76,53,49.6,101.4
2025-02,Summit Auto Group,Summit Mazda Lakeside,54,53,31.1,97.3
2025-02,Summit Auto Group,Summit Nissan Ridgemont,96,56,52.7,94.5
2025-02,Summit Auto Group,Summit Subaru Northgate,53,63,36.0,96.7
2025-02,Summit Auto Group,Summit Toyota of Fairview,142,116,66.4,95.7
2025-02,Summit Auto Group,Summit Volkswagen Eastdale,54,46,53.6,94.2
2025-03,Harbor Motor Group,Harbor BMW,119,82,48.7,100.7
2025-03,Harbor Motor Group,Harbor Chevrolet Marina,83,61,51.8,96.2
2025-03,Harbor Motor Group,Harbor Ford Portside,99,90,56.4,95.4
2025-03,Harbor Motor Group,Harbor Honda Seaside,110,79,47.8,99.5
2025-03,Harbor Motor Group,Harbor Jeep Ram Anchor,84,78,70.1,102.0
2025-03,Harbor Motor Group,Harbor Kia Lighthouse,70,54,40.8,103.5
2025-03,Harbor Motor Group,Harbor Subaru Tidewater,63,57,70.4,101.9
2025-03,Harbor Motor Group,Harbor Toyota Bayview,123,114,56.5,103.4
2025-03,Summit Auto Group,Summit BMW,128,105,49.8,95.5
2025-03,Summit Auto Group,Summit Chevrolet Glenpark,116,80,37.7,96.2
2025-03,Summit Auto Group,Summit Ford Rivera,115,92,65.7,94.5
2025-03,Summit Auto Group,Summit Honda Westland,129,110,64.3,100.8
2025-03,Summit Auto Group,Summit Hyundai Oakhurst,71,53,72.4,101.1
2025-03,Summit Auto Group,Summit Jeep Ram Clearwater,84,67,39.1,102.5
2025-03,Summit Auto Group,Summit Kia Brookfield,83,51,72.8,103.8
