period,group,store,opcode_family,ro_count,labor_revenue,parts_revenue,customer_pay,avg_hours
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,Warranty,30,5890,3829,0,3.1
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,Maintenance,117,19583,15930,1,1.3
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,Repair,69,14906,12007,1,3.2
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,Tires,23,5301,2402,1,3.2
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,Recall,15,3889,3071,0,1.8
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,Warranty,30,6192,5532,0,1.4
2023-10,Harbor Motor Group,Harbor Toyota Bayview,Maintenance,222,50136,33835,1,2.2
2023-10,Harbor Motor Group,Harbor Toyota Bayview,Repair,130,21282,19997,1,1.6
2023-10,Harbor Motor Group,Harbor Toyota Bayview,Tires,43,7531,4718,1,3.1
2023-10,Harbor Motor Group,Harbor Toyota Bayview,Recall,29,4784,3996,0,3.3
2023-10,Harbor Motor Group,Harbor Toyota Bayview,Warranty,58,12833,7406,0,1.6
2023-10,Summit Auto Group,Summit BMW,Maintenance,222,39412,22953,1,3.4
2023-10,Summit Auto Group,Summit BMW,Repair,130,18625,14126,1,2.4
2023-10,Summit Auto Group,Summit BMW,Tires,43,10833,4956,1,1.1
2023-10,Summit Auto Group,Summit BMW,Recall,29,7169,4006,0,1.8
2023-10,Summit Auto Group,Summit BMW,Warranty,58,13876,12122,0,1.4
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,Maintenance,182,26443,23509,1,2.7
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,Repair,106,23336,13531,1,1.8
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,Tires,35,7140,3561,1,2.6
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,Recall,23,4364,3385,0,2.8
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,Warranty,47,9733,6547,0,2.9
2023-10,Summit Auto Group,Summit Ford Rivera,Maintenance,220,34100,35121,1,2.6
2023-10,Summit Auto Group,Summit Ford Rivera,Repair,129,19654,17935,1,0.9
2023-10,Summit Auto Group,Summit Ford Rivera,Tires,43,7561,4604,1,1.3
2023-10,Summit Auto Group,Summit Ford Rivera,Recall,28,6285,5358,0,1.5
2023-10,Summit Auto Group,Summit Ford Rivera,Warranty,57,10592,6002,0,1.4
2023-10,Summit Auto Group,Summit Honda Westland,Maintenance,212,46177,26293,1,3.3
2023-10,Summit Auto Group,Summit Honda Westland,Repair,125,24821,20949,1,1.4
2023-10,Summit Auto Group,Summit Honda Westland,Tires,41,8504,4948,1,1.7
2023-10,Summit Auto Group,Summit Honda Westland,Recall,27,3796,2919,0,2.0
2023-10,Summit Auto Group,Summit Honda Westland,Warranty,55,12029,5595,0,2.1
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,Maintenance,121,29221,12091,1,0.9
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,Repair,71,14920,7796,1,1.0
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,Tires,23,5605,4454,1,2.0
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,Recall,15,3132,2961,0,2.9
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,Warranty,31,8025,5181,0,1.0
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,Maintenance,148,28127,19745,1,1.2
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,Repair,86,19623,14852,1,0.8
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,Tires,28,6943,3709,1,2.1
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,Recall,19,3740,3869,0,1.0
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,Warranty,38,7769,4739,0,1.4
2023-10,Summit Auto Group,Summit Kia Brookfield,Maintenance,140,21102,22680,1,1.8
2023-10,Summit Auto Group,Summit Kia Brookfield,Repair,82,11677,8375,1,1.0
2023-10,Summit Auto Group,Summit Kia Brookfield,Tires,27,5342,3824,1,0.8
2023-10,Summit Auto Group,Summit Kia Brookfield,Recall,18,3657,3179,0,2.9
2023-10,Summit Auto Group,Summit Kia Brookfield,Warranty,36,5542,7352,0,1.5
2023-10,Summit Auto Group,Summit Mazda Lakeside,Maintenance,109,26865,19689,1,2.8
2023-10,Summit Auto Group,Summit Mazda Lakeside,Repair,64,10190,13073,1,0.9
2023-10,Summit Auto Group,Summit Mazda Lakeside,Tires,21,4521,2233,1,3.4
2023-10,Summit Auto Group,Summit Mazda Lakeside,Recall,14,3313,1985,0,3.1
2023-10,Summit Auto Group,Summit Mazda Lakeside,Warranty,28,5612,3764,0,1.0
2023-10,Summit Auto Group,Summit Nissan Ridgemont,Maintenance,159,38159,29317,1,1.4
2023-10,Summit Auto Group,Summit Nissan Ridgemont,Repair,93,17089,9846,1,2.0
2023-10,Summit Auto Group,Summit Nissan Ridgemont,Tires,31,4647,3906,1,2.7
2023-10,Summit Auto Group,Summit Nissan Ridgemont,Recall,20,3487,3251,0,1.8
2023-10,Summit Auto Group,Summit Nissan Ridgemont,Warranty,41,10486,4768,0,2.5
2023-10,Summit Auto Group,Summit Subaru Northgate,Maintenance,118,28664,23048,1,3.1
2023-10,Summit Auto Group,Summit Subaru Northgate,Repair,69,15183,12694,1,2.0
2023-10,Summit Auto Group,Summit Subaru Northgate,Tires,23,4706,2605,1,1.6
2023-10,Summit Auto Group,Summit Subaru Northgate,Recall,15,3226,1770,0,1.6
2023-10,Summit Auto Group,Summit Subaru Northgate,Warranty,30,6939,3265,0,1.4
2023-10,Summit Auto Group,Summit Toyota of Fairview,Maintenance,264,39833,53462,1,2.2
2023-10,Summit Auto Group,Summit Toyota of Fairview,Repair,155,23021,21674,1,1.1
2023-10,Summit Auto Group,Summit Toyota of Fairview,Tires,51,10371,8714,1,2.1
2023-10,Summit Auto Group,Summit Toyota of Fairview,Recall,34,8140,3337,0,2.4
2023-10,Summit Auto Group,Summit Toyota of Fairview,Warranty,69,16353,10516,0,2.0
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,Maintenance,102,25976,21169,1,1.4
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,Repair,60,11284,9908,1,1.3
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,Tires,20,3266,3541,1,2.5
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,Recall,13,2941,1199,0,1.8
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,Warranty,26,5357,3005,0,2.3
2023-11,Harbor Motor Group,Harbor BMW,Maintenance,207,36487,22882,1,3.1
2023-11,Harbor Motor Group,Harbor BMW,Repair,122,21909,14690,1,0.9
2023-11,Harbor Motor Group,Harbor BMW,Tires,40,5687,6024,1,1.8
2023-11,Harbor Motor Group,Harbor BMW,Recall,27,6894,5388,0,2.3
2023-11,Harbor Motor Group,Harbor BMW,Warranty,54,9472,5609,0,1.9
2023-11,Harbor Motor Group,Harbor Chevrolet Marina,Maintenance,174,28001,33924,1,3.1
2023-11,Harbor Motor Group,Harbor Chevrolet Marina,Repair,102,19849,10315,1,3.3
2023-11,Harbor Motor Group,Harbor Chevrolet Marina,Tires,34,7881,3601,1,1.0
2023-11,Harbor Motor Group,Harbor Chevrolet Marina,Recall,22,4146,4570,0,1.9
2023-11,Harbor Motor Group,Harbor Chevrolet Marina,Warranty,45,11495,5753,0,2.5
2023-11,Harbor Motor Group,Harbor Ford Portside,Maintenance,216,39582,38420,1,1.4
2023-11,Harbor Motor Group,Harbor Ford Portside,Repair,127,29931,23494,1,1.4
2023-11,Harbor Motor Group,Harbor Ford Portside,Tires,42,6056,6887,1,1.6
2023-11,Harbor Motor Group,Harbor Ford Portside,Recall,28,6082,4598,0,1.7
2023-11,Harbor Motor Group,Harbor Ford Portside,Warranty,56,10662,9374,0,1.6
2023-11,Harbor Motor Group,Harbor Honda Seaside,Maintenance,213,41131,32769,1,0.9
2023-11,Harbor Motor Group,Harbor Honda Seaside,Repair,125,20774,22291,1,2.7
2023-11,Harbor Motor Group,Harbor Honda Seaside,Tires,41,6675,4762,1,1.9
2023-11,Harbor Motor Group,Harbor Honda Seaside,Recall,27,5366,5480,0,2.0
2023-11,Harbor Motor Group,Harbor Honda Seaside,Warranty,55,12619,6830,0,2.9
2023-11,Harbor Motor Group,Harbor Jeep Ram Anchor,Maintenance,143,25466,25587,1,2.7
2023-11,Harbor Motor Group,Harbor Jeep Ram Anchor,Repair,84,18606,8514,1,1.9
2023-11,Harbor Motor Group,Harbor Jeep Ram Anchor,Tires,28,7249,5809,1,1.4
2023-11,Harbor Motor Group,Harbor Jeep Ram Anchor,Recall,18,3563,2136,0,1.6
2023-11,Harbor Motor Group,Harbor Jeep Ram Anchor,Warranty,37,9449,5420,0,2.7
2023-11,Harbor Motor Group,Harbor Kia Lighthouse,Maintenance,123,27427,19494,1,1.0
2023-11,Harbor Motor Group,Harbor Kia Lighthouse,Repair,72,17768,11879,1,2.0
2023-11,Harbor Motor Group,Harbor Kia Lighthouse,Tires,24,4028,3245,1,1.4
2023-11,Harbor Motor Group,Harbor Kia Lighthouse,Recall,16,3282,2231,0,2.9
2023-11,Harbor Motor Group,Harbor Kia Lighthouse,Warranty,32,7296,3372,0,2.0
2023-11,Harbor Motor Group,Harbor Subaru Tidewater,Maintenance,109,26960,12562,1,2.3
2023-11,Harbor Motor Group,Harbor Subaru Tidewater,Repair,63,10043,11180,1,2.7
2023-11,Harbor Motor Group,Harbor Subaru Tidewater,Tires,21,4804,3193,1,3.1
2023-11,Harbor Motor Group,Harbor Subaru Tidewater,Recall,14,2191,1548,0,3.4
2023-11,Harbor Motor Group,Harbor Subaru Tidewater,Warranty,28,5698,3541,0,1.0
2023-11,Harbor Motor Group,Harbor Toyota Bayview,Maintenance,199,34351,31961,1,3.3
2023-11,Harbor Motor Group,Harbor Toyota Bayview,Repair,117,17091,15852,1,1.4
2023-11,Harbor Motor Group,Harbor Toyota Bayview,Tires,39,8873,6793,1,1.0
2023-11,Harbor Motor Group,Harbor Toyota Bayview,Recall,26,5821,5446,0,1.0
2023-11,Harbor Motor Group,Harbor Toyota Bayview,Warranty,52,13500,9924,0,3.1
2023-11,Summit Auto Group,Summit BMW,Maintenance,182,44121,16772,1,3.0
2023-11,Summit Auto Group,Summit BMW,Repair,106,21375,11794,1,2.8
2023-11,Summit Auto Group,Summit BMW,Tires,35,8332,5887,1,1.8
2023-11,Summit Auto Group,Summit BMW,Recall,23,4761,3844,0,1.0
2023-11,Summit Auto Group,Summit BMW,Warranty,47,11898,8585,0,1.1
2023-11,Summit Auto Group,Summit Chevrolet Glenpark,Maintenance,188,45272,24420,1,2.5
2023-11,Summit Auto Group,Summit Chevrolet Glenpark,Repair,110,27032,22879,1,3.3
2023-11,Summit Auto Group,Summit Chevrolet Glenpark,Tires,36,5236,5433,1,2.7
2023-11,Summit Auto Group,Summit Chevrolet Glenpark,Recall,24,5434,4712,0,1.9
2023-11,Summit Auto Group,Summit Chevrolet Glenpark,Warranty,49,9023,6701,0,1.3
2023-11,Summit Auto Group,Summit Ford Rivera,Maintenance,229,51822,43980,1,1.6
2023-11,Summit Auto Group,Summit Ford Rivera,Repair,134,33553,22837,1,1.1
2023-11,Summit Auto Group,Summit Ford Rivera,Tires,44,8556,7440,1,1.9
2023-11,Summit Auto Group,Summit Ford Rivera,Recall,29,6423,4207,0,2.1
2023-11,Summit Auto Group,Summit Ford Rivera,Warranty,59,8875,12069,0,3.2
2023-11,Summit Auto Group,Summit Honda Westland,Maintenance,208,30769,33702,1,2.0
2023-11,Summit Auto Group,Summit Honda Westland,Repair,122,29660,24375,1,2.4
2023-11,Summit Auto Group,Summit Honda Westland,Tires,40,6270,7386,1,1.3
2023-11,Summit Auto Group,Summit Honda Westland,Recall,27,6054,4981,0,3.3
2023-11,Summit Auto Group,Summit Honda Westland,Warranty,54,12414,10849,0,1.1
2023-11,Summit Auto Group,Summit Hyundai Oakhurst,Maintenance,122,27748,18873,1,2.6
2023-11,Summit Auto Group,Summit Hyundai Oakhurst,Repair,71,15153,10561,1,2.2
2023-11,Summit Auto Group,Summit Hyundai Oakhurst,Tires,23,3374,4274,1,2.3
2023-11,Summit Auto Group,Summit Hyundai Oakhurst,Recall,15,2609,1575,0,3.3
2023-11,Summit Auto Group,Summit Hyundai Oakhurst,Warranty,31,7462,5217,0,1.2
2023-11,Summit Auto Group,Summit Jeep Ram Clearwater,Maintenance,183,33561,16689,1,1.7
2023-11,Summit Auto Group,Summit Jeep Ram Clearwater,Repair,107,21586,20127,1,1.9
2023-11,Summit Auto Group,Summit Jeep Ram Clearwater,Tires,35,5365,6118,1,2.5
2023-11,Summit Auto Group,Summit Jeep Ram Clearwater,Recall,23,4894,4774,0,0.9
2023-11,Summit Auto Group,Summit Jeep Ram Clearwater,Warranty,47,7001,8286,0,1.3
2023-11,Summit Auto Group,Summit Kia Brookfield,Maintenance,133,28015,17248,1,1.6
2023-11,Summit Auto Group,Summit Kia Brookfield,Repair,78,19313,12110,1,3.1
2023-11,Summit Auto Group,Summit Kia Brookfield,Tires,26,6596,2382,1,2.4
2023-11,Summit Auto Group,Summit Kia Brookfield,Recall,17,2624,2143,0,2.5
2023-11,Summit Auto Group,Summit Kia Brookfield,Warranty,34,5777,6996,0,2.1
2023-11,Summit Auto Group,Summit Mazda Lakeside,Maintenance,103,22233,19642,1,1.2
2023-11,Summit Auto Group,Summit Mazda Lakeside,Repair,60,11889,7493,1,3.1
2023-11,Summit Auto Group,Summit Mazda Lakeside,Tires,20,4510,4117,1,0.8
2023-11,Summit Auto Group,Summit Mazda Lakeside,Recall,13,2610,1181,0,1.3
2023-11,Summit Auto Group,Summit Mazda Lakeside,Warranty,27,6975,5364,0,1.8
2023-11,Summit Auto Group,Summit Nissan Ridgemont,Maintenance,139,27393,20346,1,3.1
2023-11,Summit Auto Group,Summit Nissan Ridgemont,Repair,81,11423,7764,1,2.7
2023-11,Summit Auto Group,Summit Nissan Ridgemont,Tires,27,5717,3697,1,3.2
2023-11,Summit Auto Group,Summit Nissan Ridgemont,Recall,18,2672,2088,0,2.4
2023-11,Summit Auto Group,Summit Nissan Ridgemont,Warranty,36,8083,4778,0,3.1
2023-11,Summit Auto Group,Summit Subaru Northgate,Maintenance,109,15557,15847,1,2.4
2023-11,Summit Auto Group,Summit Subaru Northgate,Repair,64,15036,11323,1,3.1
2023-11,Summit Auto Group,Summit Subaru Northgate,Tires,21,4790,2176,1,1.5
2023-11,Summit Auto Group,Summit Subaru Northgate,Recall,14,3215,2461,0,2.2
2023-11,Summit Auto Group,Summit Subaru Northgate,Warranty,28,4691,5304,0,3.0
2023-11,Summit Auto Group,Summit Toyota of Fairview,Maintenance,259,51447,35712,1,3.2
2023-11,Summit Auto Group,Summit Toyota of Fairview,Repair,152,26276,20458,1,1.5
2023-11,Summit Auto Group,Summit Toyota of Fairview,Tires,50,7559,8143,1,1.9
2023-11,Summit Auto Group,Summit Toyota of Fairview,Recall,33,4984,5037,0,3.1
2023-11,Summit Auto Group,Summit Toyota of Fairview,Warranty,67,12745,12662,0,2.0
2023-11,Summit Auto Group,Summit Volkswagen Eastdale,Maintenance,89,17689,14905,1,1.8
2023-11,Summit Auto Group,Summit Volkswagen Eastdale,Repair,52,7895,7132,1,2.0
2023-11,Summit Auto Group,Summit Volkswagen Eastdale,Tires,17,2789,2774,1,1.1
2023-11,Summit Auto Group,Summit Volkswagen Eastdale,Recall,11,1562,2092,0,1.0
2023-11,Summit Auto Group,Summit Volkswagen Eastdale,Warranty,23,3962,2826,0,2.7
2023-12,Harbor Motor Group,Harbor BMW,Maintenance,223,37218,37559,1,2.7
2023-12,Harbor Motor Group,Harbor BMW,Repair,131,23006,19094,1,1.2
2023-12,Harbor Motor Group,Harbor BMW,Tires,43,7824,7420,1,2.0
2023-12,Harbor Motor Group,Harbor BMW,Recall,29,7154,3358,0,1.8
2023-12,Harbor Motor Group,Harbor BMW,Warranty,58,9662,11195,0,2.1
2023-12,Harbor Motor Group,Harbor Chevrolet Marina,Maintenance,191,48124,28468,1,1.5
2023-12,Harbor Motor Group,Harbor Chevrolet Marina,Repair,112,29104,15596,1,1.0
2023-12,Harbor Motor Group,Harbor Chevrolet Marina,Tires,37,5668,5334,1,1.8
2023-12,Harbor Motor Group,Harbor Chevrolet Marina,Recall,25,3993,2921,0,1.2
2023-12,Harbor Motor Group,Harbor Chevrolet Marina,Warranty,50,12725,6436,0,2.9
2023-12,Harbor Motor Group,Harbor Ford Portside,Maintenance,256,37718,43048,1,1.8
2023-12,Harbor Motor Group,Harbor Ford Portside,Repair,150,36895,15293,1,1.8
2023-12,Harbor Motor Group,Harbor Ford Portside,Tires,50,7933,8796,1,2.9
2023-12,Harbor Motor Group,Harbor Ford Portside,Recall,33,7574,6681,0,2.1
2023-12,Harbor Motor Group,Harbor Ford Portside,Warranty,66,10536,7748,0,1.9
2023-12,Harbor Motor Group,Harbor Honda Seaside,Maintenance,205,31124,38154,1,3.1
2023-12,Harbor Motor Group,Harbor Honda Seaside,Repair,120,18918,23753,1,3.1
2023-12,Harbor Motor Group,Harbor Honda Seaside,Tires,40,7050,6126,1,0.8
2023-12,Harbor Motor Group,Harbor Honda Seaside,Recall,26,5765,2915,0,2.7
2023-12,Harbor Motor Group,Harbor Honda Seaside,Warranty,53,10347,6202,0,3.2
2023-12,Harbor Motor Group,Harbor Jeep Ram Anchor,Maintenance,166,24144,20419,1,1.4
2023-12,Harbor Motor Group,Harbor Jeep Ram Anchor,Repair,97,14151,17875,1,1.7
2023-12,Harbor Motor Group,Harbor Jeep Ram Anchor,Tires,32,7874,3195,1,1.6
2023-12,Harbor Motor Group,Harbor Jeep Ram Anchor,Recall,21,5289,4166,0,1.7
2023-12,Harbor Motor Group,Harbor Jeep Ram Anchor,Warranty,43,9831,6586,0,1.3
2023-12,Harbor Motor Group,Harbor Kia Lighthouse,Maintenance,119,19633,17863,1,2.3
2023-12,Harbor Motor Group,Harbor Kia Lighthouse,Repair,69,16047,8309,1,1.3
2023-12,Harbor Motor Group,Harbor Kia Lighthouse,Tires,23,3617,2484,1,1.5
2023-12,Harbor Motor Group,Harbor Kia Lighthouse,Recall,15,2117,2952,0,2.5
2023-12,Harbor Motor Group,Harbor Kia Lighthouse,Warranty,31,5145,2930,0,0.9
2023-12,Harbor Motor Group,Harbor Subaru Tidewater,Maintenance,138,32128,15339,1,3.0
2023-12,Harbor Motor Group,Harbor Subaru Tidewater,Repair,81,12907,16133,1,1.2
2023-12,Harbor Motor Group,Harbor Subaru Tidewater,Tires,27,5055,4368,1,1.9
2023-12,Harbor Motor Group,Harbor Subaru Tidewater,Recall,18,4281,3416,0,2.4
2023-12,Harbor Motor Group,Harbor Subaru Tidewater,Warranty,36,8869,6153,0,2.7
2023-12,Harbor Motor Group,Harbor Toyota Bayview,Maintenance,224,57516,38694,1,2.3
2023-12,Harbor Motor Group,Harbor Toyota Bayview,Repair,132,25028,20971,1,1.7
2023-12,Harbor Motor Group,Harbor Toyota Bayview,Tires,44,11236,5363,1,1.7
2023-12,Harbor Motor Group,Harbor Toyota Bayview,Recall,29,4251,3591,0,2.8
2023-12,Harbor Motor Group,Harbor Toyota Bayview,Warranty,58,12117,10279,0,2.2
2023-12,Summit Auto Group,Summit BMW,Maintenance,231,53459,39555,1,2.5
2023-12,Summit Auto Group,Summit BMW,Repair,136,27720,26354,1,1.2
2023-12,Summit Auto Group,Summit BMW,Tires,45,9522,6430,1,1.8
2023-12,Summit Auto Group,Summit BMW,Recall,30,7243,3634,0,2.4
2023-12,Summit Auto Group,Summit BMW,Warranty,60,12222,12432,0,3.3
2023-12,Summit Auto Group,Summit Chevrolet Glenpark,Maintenance,208,53532,36860,1,1.1
2023-12,Summit Auto Group,Summit Chevrolet Glenpark,Repair,122,23277,15400,1,3.3
2023-12,Summit Auto Group,Summit Chevrolet Glenpark,Tires,40,8345,5588,1,3.3
2023-12,Summit Auto Group,Summit Chevrolet Glenpark,Recall,27,4439,3537,0,2.6
2023-12,Summit Auto Group,Summit Chevrolet Glenpark,Warranty,54,9504,5119,0,1.7
2023-12,Summit Auto Group,Summit Ford Rivera,Maintenance,233,42603,26812,1,1.1
2023-12,Summit Auto Group,Summit Ford Rivera,Repair,136,20325,22696,1,1.9
2023-12,Summit Auto Group,Summit Ford Rivera,Tires,45,11452,6819,1,1.8
2023-12,Summit Auto Group,Summit Ford Rivera,Recall,30,4593,3394,0,1.1
2023-12,Summit Auto Group,Summit Ford Rivera,Warranty,60,13582,6767,0,2.9
2023-12,Summit Auto Group,Summit Honda Westland,Maintenance,232,46077,34339,1,2.0
2023-12,Summit Auto Group,Summit Honda Westland,Repair,136,30142,21943,1,2.6
2023-12,Summit Auto Group,Summit Honda Westland,Tires,45,11515,5351,1,2.6
2023-12,Summit Auto Group,Summit Honda Westland,Recall,30,4894,6125,0,3.3
2023-12,Summit Auto Group,Summit Honda Westland,Warranty,60,14525,8842,0,1.1
2023-12,Summit Auto Group,Summit Hyundai Oakhurst,Maintenance,169,33990,32457,1,1.9
2023-12,Summit Auto Group,Summit Hyundai Oakhurst,Repair,99,23465,15447,1,2.5
2023-12,Summit Auto Group,Summit Hyundai Oakhurst,Tires,33,5134,3452,1,2.9
2023-12,Summit Auto Group,Summit Hyundai Oakhurst,Recall,22,3691,4121,0,1.5
2023-12,Summit Auto Group,Summit Hyundai Oakhurst,Warranty,44,8555,5706,0,2.5
2023-12,Summit Auto Group,Summit Jeep Ram Clearwater,Maintenance,172,43835,27797,1,3.1
2023-12,Summit Auto Group,Summit Jeep Ram Clearwater,Repair,101,14851,10973,1,1.3
2023-12,Summit Auto Group,Summit Jeep Ram Clearwater,Tires,33,5576,3823,1,2.2
2023-12,Summit Auto Group,Summit Jeep Ram Clearwater,Recall,22,5052,2339,0,1.6
2023-12,Summit Auto Group,Summit Jeep Ram Clearwater,Warranty,45,6382,6234,0,3.1
2023-12,Summit Auto Group,Summit Kia Brookfield,Maintenance,139,35811,24045,1,0.8
2023-12,Summit Auto Group,Summit Kia Brookfield,Repair,82,14557,14491,1,1.1
2023-12,Summit Auto Group,Summit Kia Brookfield,Tires,27,6453,4369,1,3.0
2023-12,Summit Auto Group,Summit Kia Brookfield,Recall,18,2968,2788,0,1.6
2023-12,Summit Auto Group,Summit Kia Brookfield,Warranty,36,8204,5636,0,2.7
2023-12,Summit Auto Group,Summit Mazda Lakeside,Maintenance,112,18428,18729,1,1.5
2023-12,Summit Auto Group,Summit Mazda Lakeside,Repair,65,12530,11691,1,3.0
2023-12,Summit Auto Group,Summit Mazda Lakeside,Tires,21,5087,2117,1,3.1
2023-12,Summit Auto Group,Summit Mazda Lakeside,Recall,14,2866,2924,0,2.2
2023-12,Summit Auto Group,Summit Mazda Lakeside,Warranty,29,4506,5870,0,1.5
2023-12,Summit Auto Group,Summit Nissan Ridgemont,Maintenance,143,28372,22140,1,3.0
2023-12,Summit Auto Group,Summit Nissan Ridgemont,Repair,84,19351,13316,1,1.0
2023-12,Summit Auto Group,Summit Nissan Ridgemont,Tires,28,4873,4497,1,1.8
2023-12,Summit Auto Group,Summit Nissan Ridgemont,Recall,18,2963,3544,0,3.1
2023-12,Summit Auto Group,Summit Nissan Ridgemont,Warranty,37,7790,7413,0,1.2
2023-12,Summit Auto Group,Summit Subaru Northgate,Maintenance,136,19747,19613,1,1.1
2023-12,Summit Auto Group,Summit Subaru Northgate,Repair,79,19776,9178,1,0.9
2023-12,Summit Auto Group,Summit Subaru Northgate,Tires,26,5307,2671,1,3.0
2023-12,Summit Auto Group,Summit Subaru Northgate,Recall,17,3313,2829,0,1.2
2023-12,Summit Auto Group,Summit Subaru Northgate,Warranty,35,6893,5686,0,1.0
2023-12,Summit Auto Group,Summit Toyota of Fairview,Maintenance,251,64631,22669,1,2.0
2023-12,Summit Auto Group,Summit Toyota of Fairview,Repair,147,33572,30247,1,1.6
2023-12,Summit Auto Group,Summit Toyota of Fairview,Tires,49,12668,9685,1,2.7
2023-12,Summit Auto Group,Summit Toyota of Fairview,Recall,32,5947,4642,0,2.4
2023-12,Summit Auto Group,Summit Toyota of Fairview,Warranty,65,16621,7934,0,3.3
2023-12,Summit Auto Group,Summit Volkswagen Eastdale,Maintenance,93,18692,13744,1,2.3
2023-12,Summit Auto Group,Summit Volkswagen Eastdale,Repair,54,11164,10810,1,1.4
2023-12,Summit Auto Group,Summit Volkswagen Eastdale,Tires,18,4170,3774,1,1.6
2023-12,Summit Auto Group,Summit Volkswagen Eastdale,Recall,12,2210,1283,0,1.5
2023-12,Summit Auto Group,Summit Volkswagen Eastdale,Warranty,24,3525,3122,0,2.8
2024-01,Harbor Motor Group,Harbor BMW,Maintenance,191,32132,38291,1,2.9
2024-01,Harbor Motor Group,Harbor BMW,Repair,112,16555,11468,1,3.4
2024-01,Harbor Motor Group,Harbor BMW,Tires,37,7312,6748,1,1.4
2024-01,Harbor Motor Group,Harbor BMW,Recall,24,5651,2887,0,2.6
