period,group,store,source,lead_type,leads,sales,new_sales,used_sales,gross,budget
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,Live Chat,chat,65,4,2,2,10152,630
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,FB Marketplace,internet,50,3,2,1,7449,979
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,True Car,internet,100,7,4,3,20116,1819
2023-10,Harbor Motor Group,Harbor Chevrolet Marina,Radio Spot,campaign,2,1,1,0,2580,280
2023-10,Harbor Motor Group,Harbor Ford Portside,auto trader,internet,295,19,10,9,48336,3696
2023-10,Harbor Motor Group,Harbor Ford Portside,Cars .com,internet,185,15,8,7,44639,2728
2023-10,Harbor Motor Group,Harbor Ford Portside,CarGurus,internet,299,18,10,8,54965,3344
2023-10,Harbor Motor Group,Harbor Ford Portside,OEM Website,internet,333,28,15,13,108065,
2023-10,Harbor Motor Group,Harbor Ford Portside,Lease Return,campaign,67,20,14,6,29468,
2023-10,Harbor Motor Group,Harbor Ford Portside,Svc Conquest,service,49,12,9,3,25539,
2023-10,Harbor Motor Group,Harbor Ford Portside,Direct Mail,campaign,115,12,9,3,32783,5720
2023-10,Harbor Motor Group,Harbor Ford Portside,Showroom,showroom,82,23,17,6,83764,
2023-10,Harbor Motor Group,Harbor Ford Portside,Inbound Calls,phone,129,21,15,6,67968,
2023-10,Harbor Motor Group,Harbor Ford Portside,Live Chat,chat,76,6,3,3,17068,792
2023-10,Harbor Motor Group,Harbor Ford Portside,Facebook Marketplace,internet,71,2,1,1,3999,1232
2023-10,Harbor Motor Group,Harbor Ford Portside,TrueCar,internet,138,9,5,4,25239,2288
2023-10,Harbor Motor Group,Harbor Ford Portside,Radio Spot,campaign,2,0,0,0,0,352
2023-10,Harbor Motor Group,Harbor Honda Seaside,ATC,internet,242,17,9,8,47846,3360
2023-10,Harbor Motor Group,Harbor Honda Seaside,Cars .com,internet,135,10,6,4,27518,2480
2023-10,Harbor Motor Group,Harbor Honda Seaside,CarGurus,internet,260,11,6,5,29895,3040
2023-10,Harbor Motor Group,Harbor Honda Seaside,Dealer Website,internet,344,46,25,21,170833,
2023-10,Harbor Motor Group,Harbor Honda Seaside,Lease Retention,campaign,67,20,14,6,33681,
2023-10,Harbor Motor Group,Harbor Honda Seaside,Svc Conquest,service,42,4,3,1,7919,
2023-10,Harbor Motor Group,Harbor Honda Seaside,Direct Mail Q1,campaign,104,13,9,4,36399,5200
2023-10,Harbor Motor Group,Harbor Honda Seaside,Showroom,showroom,74,21,15,6,77434,
2023-10,Harbor Motor Group,Harbor Honda Seaside,Phone Up,phone,121,18,13,5,53867,
2023-10,Harbor Motor Group,Harbor Honda Seaside,Live Chat,chat,67,4,2,2,9640,720
2023-10,Harbor Motor Group,Harbor Honda Seaside,Facebook,internet,80,7,4,3,17651,1120
2023-10,Harbor Motor Group,Harbor Honda Seaside,TrueCar,internet,118,7,4,3,15669,2080
2023-10,Harbor Motor Group,Harbor Honda Seaside,Radio,campaign,2,0,0,0,0,320
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,AutoTrader.com,internet,235,20,11,9,60372,2772
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,Cars .com,internet,133,13,7,6,44829,2046
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,cargurus.com,internet,225,10,6,4,28570,2508
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,OEM Website,internet,270,39,21,18,144493,
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,Lease Retention,campaign,64,21,15,6,38229,
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,Svc Conquest,service,44,9,6,3,18217,
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,Direct Mail,campaign,98,5,4,1,11320,4290
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,Walk-In,showroom,63,22,16,6,89069,
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,Phone Up,phone,99,17,12,5,55151,
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,Chat,chat,54,3,2,1,7649,594
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,Facebook,internet,49,3,2,1,6193,924
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,TrueCar,internet,80,2,1,1,4480,1716
2023-10,Harbor Motor Group,Harbor Jeep Ram Anchor,Radio Spot,campaign,2,0,0,0,0,264
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,ATC,internet,155,11,6,5,30217,2184
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,CARS,internet,102,12,7,5,34694,1612
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,CarGurus,internet,168,11,6,5,34406,1976
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,Dealer Website,internet,225,20,11,9,60050,
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,Lease Retention,campaign,43,11,8,3,19399,
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,Svc Conquest,service,27,4,3,1,7287,
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,Direct Mail,campaign,64,7,5,2,16797,3380
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,Walk In,showroom,54,20,14,6,80508,
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,Inbound Calls,phone,64,15,11,4,40940,
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,Website Chat,chat,45,6,3,3,15674,468
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,Facebook,internet,51,3,2,1,7080,728
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,True Car,internet,64,7,4,3,15354,1352
2023-10,Harbor Motor Group,Harbor Kia Lighthouse,Radio Spot,campaign,1,0,0,0,0,208
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,auto trader,internet,159,13,7,6,34692,1974
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,Cars .com,internet,84,9,5,4,30034,1457
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,Car Gurus,internet,133,9,5,4,21451,1786
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,Dealer Website,internet,167,23,13,10,87376,
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,Lease Return,campaign,47,16,12,4,29978,
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,Service Conquest,service,23,4,3,1,9268,
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,Direct Mail Q1,campaign,64,4,3,1,10815,3055
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,Showroom,showroom,39,7,5,2,28685,
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,Phone Up,phone,75,13,9,4,46234,
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,Website Chat,chat,44,2,1,1,5876,423
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,FB Marketplace,internet,39,2,1,1,4999,658
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,True Car,internet,59,6,3,3,13544,1222
2023-10,Harbor Motor Group,Harbor Subaru Tidewater,Radio Spot,campaign,1,0,0,0,0,188
2023-10,Harbor Motor Group,Harbor Toyota Bayview,Autotrader,internet,336,22,12,10,60322,3990
2023-10,Harbor Motor Group,Harbor Toyota Bayview,Cars .com,internet,154,14,8,6,39881,2945
2023-10,Harbor Motor Group,Harbor Toyota Bayview,cargurus.com,internet,255,16,9,7,49118,3610
2023-10,Harbor Motor Group,Harbor Toyota Bayview,OEM Website,internet,396,49,27,22,151411,
2023-10,Harbor Motor Group,Harbor Toyota Bayview,Lease Return,campaign,79,33,24,9,54558,
2023-10,Harbor Motor Group,Harbor Toyota Bayview,Svc Conquest,service,53,15,11,4,30394,
2023-10,Harbor Motor Group,Harbor Toyota Bayview,Direct Mail,campaign,118,10,7,3,22376,6175
2023-10,Harbor Motor Group,Harbor Toyota Bayview,Walk In,showroom,87,20,14,6,78720,
2023-10,Harbor Motor Group,Harbor Toyota Bayview,Inbound Phone,phone,135,22,16,6,63624,
2023-10,Harbor Motor Group,Harbor Toyota Bayview,Website Chat,chat,86,2,1,1,5585,855
2023-10,Harbor Motor Group,Harbor Toyota Bayview,Facebook Marketplace,internet,77,6,3,3,12057,1330
2023-10,Harbor Motor Group,Harbor Toyota Bayview,True Car,internet,148,15,8,7,42837,2470
2023-10,Harbor Motor Group,Harbor Toyota Bayview,Radio Spot,campaign,3,0,0,0,0,380
2023-10,Summit Auto Group,Summit BMW,Autotrader,internet,271,19,10,9,77276,3486
2023-10,Summit Auto Group,Summit BMW,Cars .com,internet,179,11,6,5,51466,2573
2023-10,Summit Auto Group,Summit BMW,cargurus.com,internet,221,14,8,6,56677,3154
2023-10,Summit Auto Group,Summit BMW,Dealer Website,internet,308,38,21,17,214798,
2023-10,Summit Auto Group,Summit BMW,Lease Return,campaign,68,21,15,6,54046,
2023-10,Summit Auto Group,Summit BMW,Service Conquest,service,45,10,7,3,36641,
2023-10,Summit Auto Group,Summit BMW,Direct Mail,campaign,124,14,10,4,49488,5395
2023-10,Summit Auto Group,Summit BMW,Walk-In,showroom,70,23,17,6,132910,
2023-10,Summit Auto Group,Summit BMW,Inbound Phone,phone,131,26,19,7,112835,
2023-10,Summit Auto Group,Summit BMW,Chat,chat,78,4,2,2,14555,747
2023-10,Summit Auto Group,Summit BMW,Facebook,internet,67,2,1,1,6292,1162
2023-10,Summit Auto Group,Summit BMW,TrueCar,internet,100,3,2,1,10226,2158
2023-10,Summit Auto Group,Summit BMW,Radio,campaign,3,0,0,0,0,332
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,ATC,internet,267,14,8,6,38468,3276
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,Cars .com,internet,157,13,7,6,40352,2418
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,cargurus.com,internet,212,10,6,4,31414,2964
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,Dealer Website,internet,353,44,24,20,164517,
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,Lease Return,campaign,71,15,11,4,23084,
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,Svc Conquest,service,45,2,1,1,4173,
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,Direct Mail,campaign,99,6,4,2,13119,5070
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,Walk In,showroom,68,21,15,6,66856,
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,Inbound Phone,phone,109,16,12,4,52887,
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,Chat,chat,65,4,2,2,10930,702
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,FB Marketplace,internet,80,4,2,2,8439,1092
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,TrueCar,internet,116,14,8,6,34364,2028
2023-10,Summit Auto Group,Summit Chevrolet Glenpark,Radio Spot,campaign,2,0,0,0,0,312
2023-10,Summit Auto Group,Summit Ford Rivera,ATC,internet,292,19,10,9,61304,3864
2023-10,Summit Auto Group,Summit Ford Rivera,Cars.com,internet,178,14,8,6,41621,2852
2023-10,Summit Auto Group,Summit Ford Rivera,cargurus.com,internet,285,16,9,7,48356,3496
2023-10,Summit Auto Group,Summit Ford Rivera,Website,internet,345,43,24,19,126477,
2023-10,Summit Auto Group,Summit Ford Rivera,Lease Retention,campaign,92,26,19,7,38906,
2023-10,Summit Auto Group,Summit Ford Rivera,Service Conquest,service,56,18,13,5,34627,
2023-10,Summit Auto Group,Summit Ford Rivera,Direct Mail Q1,campaign,116,8,6,2,22451,5980
2023-10,Summit Auto Group,Summit Ford Rivera,Showroom,showroom,82,33,24,9,108017,
2023-10,Summit Auto Group,Summit Ford Rivera,Inbound Phone,phone,132,27,19,8,86803,
2023-10,Summit Auto Group,Summit Ford Rivera,Live Chat,chat,81,5,3,2,11771,828
2023-10,Summit Auto Group,Summit Ford Rivera,Facebook,internet,82,4,2,2,9370,1288
2023-10,Summit Auto Group,Summit Ford Rivera,TrueCar,internet,138,5,3,2,12540,2392
2023-10,Summit Auto Group,Summit Ford Rivera,Radio,campaign,2,0,0,0,0,368
2023-10,Summit Auto Group,Summit Honda Westland,auto trader,internet,284,23,13,10,68553,3612
2023-10,Summit Auto Group,Summit Honda Westland,Cars.com,internet,165,13,7,6,44663,2666
2023-10,Summit Auto Group,Summit Honda Westland,CarGurus,internet,225,11,6,5,26474,3268
2023-10,Summit Auto Group,Summit Honda Westland,Dealer Website,internet,345,37,20,17,113797,
2023-10,Summit Auto Group,Summit Honda Westland,Lease Return,campaign,77,21,15,6,34985,
2023-10,Summit Auto Group,Summit Honda Westland,Svc Conquest,service,50,13,9,4,24794,
2023-10,Summit Auto Group,Summit Honda Westland,Direct Mail Q1,campaign,111,13,9,4,29386,5590
2023-10,Summit Auto Group,Summit Honda Westland,Walk In,showroom,84,37,27,10,130259,
2023-10,Summit Auto Group,Summit Honda Westland,Inbound Calls,phone,109,20,14,6,59164,
2023-10,Summit Auto Group,Summit Honda Westland,Website Chat,chat,76,9,5,4,22158,774
2023-10,Summit Auto Group,Summit Honda Westland,Facebook,internet,66,3,2,1,6408,1204
2023-10,Summit Auto Group,Summit Honda Westland,True Car,internet,133,7,4,3,19437,2236
2023-10,Summit Auto Group,Summit Honda Westland,Radio Spot,campaign,2,0,0,0,0,344
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,ATC,internet,205,16,9,7,46925,2436
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,Cars .com,internet,105,14,8,6,48694,1797
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,CarGurus,internet,184,13,7,6,33497,2204
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,Website,internet,217,23,13,10,89195,
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,Lease Return,campaign,49,9,6,3,15001,
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,Svc Conquest,service,32,4,3,1,7193,
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,Direct Mail Q1,campaign,75,7,5,2,16483,3769
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,Showroom,showroom,52,13,9,4,46084,
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,Inbound Calls,phone,72,20,14,6,70913,
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,Live Chat,chat,49,5,3,2,11515,522
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,Facebook,internet,44,1,1,0,2130,812
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,True Car,internet,84,4,2,2,9049,1508
2023-10,Summit Auto Group,Summit Hyundai Oakhurst,Radio,campaign,2,0,0,0,0,231
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,AutoTrader.com,internet,238,15,8,7,47322,2982
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,Cars .com,internet,130,15,8,7,52061,2201
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,Car Gurus,internet,214,17,9,8,42288,2698
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,Website,internet,270,27,15,12,97073,
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,Lease Return,campaign,59,14,10,4,24479,
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,Svc Conquest,service,47,7,5,2,16665,
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,Direct Mail,campaign,100,9,6,3,24626,4615
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,Walk In,showroom,66,23,17,6,94027,
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,Inbound Calls,phone,93,17,12,5,50834,
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,Live Chat,chat,62,4,2,2,11541,639
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,Facebook,internet,74,4,2,2,9885,994
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,True Car,internet,84,7,4,3,16336,1846
2023-10,Summit Auto Group,Summit Jeep Ram Clearwater,Radio,campaign,2,0,0,0,0,284
2023-10,Summit Auto Group,Summit Kia Brookfield,AutoTrader.com,internet,165,7,4,3,21385,2310
2023-10,Summit Auto Group,Summit Kia Brookfield,CARS,internet,91,9,5,4,30220,1705
2023-10,Summit Auto Group,Summit Kia Brookfield,Car Gurus,internet,158,10,6,4,31795,2090
2023-10,Summit Auto Group,Summit Kia Brookfield,OEM Website,internet,218,25,14,11,75857,
2023-10,Summit Auto Group,Summit Kia Brookfield,Lease Return,campaign,53,14,10,4,24093,
2023-10,Summit Auto Group,Summit Kia Brookfield,Service Conquest,service,32,9,6,3,17384,
2023-10,Summit Auto Group,Summit Kia Brookfield,Direct Mail Q1,campaign,59,3,2,1,7804,3575
2023-10,Summit Auto Group,Summit Kia Brookfield,Showroom,showroom,46,17,12,5,64460,
2023-10,Summit Auto Group,Summit Kia Brookfield,Inbound Calls,phone,79,19,14,5,62549,
2023-10,Summit Auto Group,Summit Kia Brookfield,Live Chat,chat,53,5,3,2,14543,495
2023-10,Summit Auto Group,Summit Kia Brookfield,Facebook,internet,45,1,1,0,2161,770
2023-10,Summit Auto Group,Summit Kia Brookfield,True Car,internet,83,7,4,3,17191,1430
2023-10,Summit Auto Group,Summit Kia Brookfield,Radio Spot,campaign,1,1,1,0,2639,220
2023-10,Summit Auto Group,Summit Mazda Lakeside,AutoTrader.com,internet,122,15,8,7,43943,1848
2023-10,Summit Auto Group,Summit Mazda Lakeside,Cars.com,internet,81,6,3,3,17863,1364
2023-10,Summit Auto Group,Summit Mazda Lakeside,CarGurus,internet,139,4,2,2,11192,1672
2023-10,Summit Auto Group,Summit Mazda Lakeside,Dealer Website,internet,184,19,10,9,66870,
2023-10,Summit Auto Group,Summit Mazda Lakeside,Lease Return,campaign,41,11,8,3,20654,
2023-10,Summit Auto Group,Summit Mazda Lakeside,Svc Conquest,service,23,3,2,1,7123,
2023-10,Summit Auto Group,Summit Mazda Lakeside,Direct Mail,campaign,56,3,2,1,7756,2860
2023-10,Summit Auto Group,Summit Mazda Lakeside,Walk In,showroom,43,11,8,3,41729,
2023-10,Summit Auto Group,Summit Mazda Lakeside,Phone Up,phone,55,11,8,3,29980,
2023-10,Summit Auto Group,Summit Mazda Lakeside,Website Chat,chat,38,3,2,1,8476,396
2023-10,Summit Auto Group,Summit Mazda Lakeside,Facebook,internet,46,2,1,1,4485,616
2023-10,Summit Auto Group,Summit Mazda Lakeside,True Car,internet,68,3,2,1,8171,1144
2023-10,Summit Auto Group,Summit Mazda Lakeside,Radio Spot,campaign,1,0,0,0,0,176
2023-10,Summit Auto Group,Summit Nissan Ridgemont,auto trader,internet,226,18,10,8,56166,2688
2023-10,Summit Auto Group,Summit Nissan Ridgemont,CARS,internet,110,10,6,4,27032,1984
2023-10,Summit Auto Group,Summit Nissan Ridgemont,CarGurus,internet,182,11,6,5,30249,2432
2023-10,Summit Auto Group,Summit Nissan Ridgemont,Dealer Website,internet,234,36,20,16,135129,
2023-10,Summit Auto Group,Summit Nissan Ridgemont,Lease Retention,campaign,48,12,9,3,21683,
2023-10,Summit Auto Group,Summit Nissan Ridgemont,Svc Conquest,service,34,9,6,3,20566,
2023-10,Summit Auto Group,Summit Nissan Ridgemont,Direct Mail Q1,campaign,84,5,4,1,12331,4160
2023-10,Summit Auto Group,Summit Nissan Ridgemont,Walk-In,showroom,55,19,14,5,64398,
2023-10,Summit Auto Group,Summit Nissan Ridgemont,Inbound Calls,phone,80,22,16,6,66086,
2023-10,Summit Auto Group,Summit Nissan Ridgemont,Live Chat,chat,63,7,4,3,17619,576
2023-10,Summit Auto Group,Summit Nissan Ridgemont,Facebook,internet,57,2,1,1,3980,896
2023-10,Summit Auto Group,Summit Nissan Ridgemont,TrueCar,internet,87,14,8,6,34225,1664
2023-10,Summit Auto Group,Summit Nissan Ridgemont,Radio,campaign,2,0,0,0,0,256
2023-10,Summit Auto Group,Summit Subaru Northgate,Autotrader,internet,148,9,5,4,29350,2058
2023-10,Summit Auto Group,Summit Subaru Northgate,CARS,internet,95,12,7,5,35957,1519
2023-10,Summit Auto Group,Summit Subaru Northgate,CarGurus,internet,159,7,4,3,20016,1862
2023-10,Summit Auto Group,Summit Subaru Northgate,OEM Website,internet,218,27,15,12,84400,
2023-10,Summit Auto Group,Summit Subaru Northgate,Lease Return,campaign,39,8,6,2,15594,
2023-10,Summit Auto Group,Summit Subaru Northgate,Svc Conquest,service,31,2,1,1,4416,
2023-10,Summit Auto Group,Summit Subaru Northgate,Direct Mail Q1,campaign,69,7,5,2,17631,3185
2023-10,Summit Auto Group,Summit Subaru Northgate,Walk-In,showroom,47,10,7,3,33167,
2023-10,Summit Auto Group,Summit Subaru Northgate,Phone Up,phone,65,13,9,4,37018,
2023-10,Summit Auto Group,Summit Subaru Northgate,Website Chat,chat,37,2,1,1,5590,441
2023-10,Summit Auto Group,Summit Subaru Northgate,Facebook Marketplace,internet,43,2,1,1,4091,686
2023-10,Summit Auto Group,Summit Subaru Northgate,True Car,internet,60,5,3,2,12484,1274
2023-10,Summit Auto Group,Summit Subaru Northgate,Radio,campaign,1,0,0,0,0,196
2023-10,Summit Auto Group,Summit Toyota of Fairview,auto trader,internet,335,28,15,13,71313,4200
2023-10,Summit Auto Group,Summit Toyota of Fairview,CARS,internet,210,15,8,7,50268,3100
2023-10,Summit Auto Group,Summit Toyota of Fairview,Car Gurus,internet,341,22,12,10,54075,3800
2023-10,Summit Auto Group,Summit Toyota of Fairview,Dealer Website,internet,384,64,35,29,228511,
2023-10,Summit Auto Group,Summit Toyota of Fairview,Lease Retention,campaign,97,31,22,9,58580,
2023-10,Summit Auto Group,Summit Toyota of Fairview,Svc Conquest,service,55,15,11,4,27911,
2023-10,Summit Auto Group,Summit Toyota of Fairview,Direct Mail Q1,campaign,146,10,7,3,21261,6500
2023-10,Summit Auto Group,Summit Toyota of Fairview,Showroom,showroom,103,22,16,6,72140,
2023-10,Summit Auto Group,Summit Toyota of Fairview,Inbound Calls,phone,149,25,18,7,72077,
2023-10,Summit Auto Group,Summit Toyota of Fairview,Chat,chat,75,8,4,4,22101,900
2023-10,Summit Auto Group,Summit Toyota of Fairview,FB Marketplace,internet,87,5,3,2,12318,1400
2023-10,Summit Auto Group,Summit Toyota of Fairview,True Car,internet,153,8,4,4,18675,2600
2023-10,Summit Auto Group,Summit Toyota of Fairview,Radio Spot,campaign,3,0,0,0,0,400
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,auto trader,internet,144,14,8,6,45065,1680
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,Cars .com,internet,84,6,3,3,17231,1240
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,Car Gurus,internet,114,8,4,4,24350,1520
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,Dealer Website,internet,176,15,8,7,55317,
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,Lease Retention,campaign,34,6,4,2,10538,
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,Service Conquest,service,25,6,4,2,14249,
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,Direct Mail Q1,campaign,48,4,3,1,9749,2600
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,Walk-In,showroom,36,10,7,3,38503,
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,Phone Up,phone,62,7,5,2,22641,
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,Chat,chat,31,2,1,1,5324,360
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,Facebook,internet,30,2,1,1,3830,560
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,True Car,internet,56,3,2,1,7127,1040
2023-10,Summit Auto Group,Summit Volkswagen Eastdale,Radio Spot,campaign,1,0,0,0,0,160
2023-11,Harbor Motor Group,Harbor BMW,auto trader,internet,270,13,7,6,55254,3276
2023-11,Harbor Motor Group,Harbor BMW,Cars.com,internet,129,8,4,4,39818,2418
2023-11,Harbor Motor Group,Harbor BMW,Car Gurus,internet,218,18,10,8,81471,2964
2023-11,Harbor Motor Group,Harbor BMW,Dealer Website,internet,334,39,21,18,182217,
2023-11,Harbor Motor Group,Harbor BMW,Lease Retention,campaign,64,18,13,5,44323,
2023-11,Harbor Motor Group,Harbor BMW,Svc Conquest,service,50,13,9,4,48629,
2023-11,Harbor Motor Group,Harbor BMW,Direct Mail Q1,campaign,88,12,9,3,46260,5070
2023-11,Harbor Motor Group,Harbor BMW,Walk In,showroom,64,20,14,6,112819,
2023-11,Harbor Motor Group,Harbor BMW,Phone Up,phone,99,16,12,4,83988,
2023-11,Harbor Motor Group,Harbor BMW,Website Chat,chat,64,1,1,0,4306,702
2023-11,Harbor Motor Group,Harbor BMW,Facebook Marketplace,internet,59,3,2,1,9061,1092
2023-11,Harbor Motor Group,Harbor BMW,True Car,internet,104,5,3,2,21262,2028
2023-11,Harbor Motor Group,Harbor BMW,Radio Spot,campaign,2,0,0,0,0,312
2023-11,Harbor Motor Group,Harbor Chevrolet Marina,auto trader,internet,255,19,10,9,54486,2940
2023-11,Harbor Motor Group,Harbor Chevrolet Marina,Cars.com,internet,123,12,7,5,37427,2170
2023-11,Harbor Motor Group,Harbor Chevrolet Marina,Car Gurus,internet,221,11,6,5,31515,2660
2023-11,Harbor Motor Group,Harbor Chevrolet Marina,OEM Website,internet,248,36,20,16,136870,
2023-11,Harbor Motor Group,Harbor Chevrolet Marina,Lease Retention,campaign,68,20,14,6,29997,
2023-11,Harbor Motor Group,Harbor Chevrolet Marina,Service Conquest,service,47,9,6,3,18782,
2023-11,Harbor Motor Group,Harbor Chevrolet Marina,Direct Mail Q1,campaign,98,12,9,3,26180,4550
2023-11,Harbor Motor Group,Harbor Chevrolet Marina,Walk-In,showroom,74,24,17,7,86138,
