stock_number,group,store,new_used,make,model,model_year,days_on_lot,list_price,cost,price_to_market_pct,vdp_views_30d,leads_30d
S32192,Harbor Motor Group,Harbor Toyota Bayview,used,Subaru,Crosstrek,2025,199,17261,15701,104.6,14,2
S33062,Harbor Motor Group,Harbor Jeep Ram Anchor,new,Jeep Ram,Ram 1500,2026,198,29583,28180,104.2,26,0
S30780,Summit Auto Group,Summit Chevrolet Glenpark,new,Chevrolet,Silverado,2026,196,31273,26957,99.6,47,1
S31011,Summit Auto Group,Summit Hyundai Oakhurst,new,Hyundai,Santa Fe,2026,193,35083,30684,101.9,32,1
S32836,Harbor Motor Group,Harbor Kia Lighthouse,new,Kia,Telluride,2026,191,36243,31657,103.9,467,1
S32003,Harbor Motor Group,Harbor Toyota Bayview,used,Jeep Ram,Ram 1500,2020,191,31828,30469,95.9,108,2
S32146,Harbor Motor Group,Harbor Toyota Bayview,used,Toyota,Highlander,2019,190,31389,28093,95.8,290,1
S30132,Summit Auto Group,Summit Toyota of Fairview,used,Nissan,Rogue,2022,190,22553,21735,102.5,152,3
S32839,Harbor Motor Group,Harbor Kia Lighthouse,used,Kia,K5,2024,189,28685,26192,102.7,79,2
S31397,Summit Auto Group,Summit Subaru Northgate,used,Ford,Maverick,2019,189,17795,15526,98.8,171,0
S30305,Summit Auto Group,Summit Honda Westland,used,Jeep Ram,Compass,2024,187,23280,20137,100.2,157,0
S31070,Summit Auto Group,Summit Hyundai Oakhurst,used,BMW,X1,2020,187,17484,15138,95.1,226,1
S32382,Harbor Motor Group,Harbor Honda Seaside,used,Subaru,Outback,2022,185,22473,20661,105.6,95,5
S32051,Harbor Motor Group,Harbor Toyota Bayview,used,Honda,Odyssey,2022,184,23825,21849,101.6,27,1
S31756,Summit Auto Group,Summit Volkswagen Eastdale,new,Volkswagen,Jetta,2026,184,38867,34663,100.7,404,0
S32649,Harbor Motor Group,Harbor Chevrolet Marina,new,Chevrolet,Silverado,2026,183,33891,29454,95.5,143,5
S33046,Harbor Motor Group,Harbor Jeep Ram Anchor,used,Hyundai,Elantra,2021,183,24102,21661,97.0,108,0
S31950,Summit Auto Group,Summit BMW,new,BMW,X5,2026,182,48332,44384,102.2,194,0
S31962,Summit Auto Group,Summit BMW,new,BMW,5 Series,2026,182,50313,48214,103.3,154,1
S32094,Harbor Motor Group,Harbor Toyota Bayview,new,Toyota,Camry,2026,181,30566,27605,95.2,170,1
S31069,Summit Auto Group,Summit Hyundai Oakhurst,used,Hyundai,Tucson,2024,181,27388,25612,94.2,241,3
S31694,Summit Auto Group,Summit Volkswagen Eastdale,new,Volkswagen,Golf GTI,2026,181,39841,37376,104.3,89,0
S32514,Harbor Motor Group,Harbor Ford Portside,new,Ford,Explorer,2026,180,27471,24218,100.7,98,0
S30477,Summit Auto Group,Summit Ford Rivera,new,Ford,Maverick,2026,180,47684,43349,97.7,620,1
S30444,Summit Auto Group,Summit Honda Westland,new,Honda,Accord,2026,180,36679,35005,102.0,290,1
S31267,Summit Auto Group,Summit Kia Brookfield,new,Kia,Seltos,2026,180,29783,28663,100.4,105,0
S31749,Summit Auto Group,Summit Volkswagen Eastdale,used,Volkswagen,ID.4,2023,180,25662,22993,102.3,384,0
S30649,Summit Auto Group,Summit Ford Rivera,used,Jeep Ram,Grand Cherokee,2024,179,19755,17917,99.8,325,0
S31846,Summit Auto Group,Summit BMW,used,Hyundai,Sonata,2022,177,38492,34886,100.7,246,3
S30107,Summit Auto Group,Summit Toyota of Fairview,new,Toyota,Tundra,2026,177,32331,31060,102.6,11,0
S31587,Summit Auto Group,Summit Jeep Ram Clearwater,new,Jeep Ram,Ram 2500,2026,176,33428,31857,97.0,167,2
S30192,Summit Auto Group,Summit Toyota of Fairview,new,Toyota,Camry,2026,176,29634,25864,93.6,323,0
S31713,Summit Auto Group,Summit Volkswagen Eastdale,new,Volkswagen,ID.4,2026,176,28513,26502,104.3,280,1
S32638,Harbor Motor Group,Harbor Chevrolet Marina,new,Chevrolet,Malibu,2026,174,47861,43154,100.9,119,3
S32941,Harbor Motor Group,Harbor Subaru Tidewater,new,Subaru,Ascent,2026,174,35268,33172,99.8,6,0
S32161,Harbor Motor Group,Harbor Toyota Bayview,used,Toyota,Corolla,2018,174,19298,18614,98.1,2,5
S31319,Summit Auto Group,Summit Mazda Lakeside,new,Mazda,CX-5,2026,174,26882,23577,95.9,22,2
S32434,Harbor Motor Group,Harbor Ford Portside,new,Ford,Escape,2026,173,49718,44329,101.2,181,3
S32128,Harbor Motor Group,Harbor Toyota Bayview,used,Chevrolet,Equinox,2018,173,22666,21571,103.5,51,1
S31774,Summit Auto Group,Summit BMW,new,BMW,3 Series,2026,173,64974,57686,96.5,303,1
S30609,Summit Auto Group,Summit Ford Rivera,new,Ford,Maverick,2026,172,34185,32008,101.4,692,0
S30315,Summit Auto Group,Summit Honda Westland,new,Honda,HR-V,2026,172,29999,28330,99.5,71,5
S30350,Summit Auto Group,Summit Honda Westland,used,Honda,CR-V,2022,172,17537,15222,93.9,42,3
S31638,Summit Auto Group,Summit Jeep Ram Clearwater,used,Hyundai,Kona,2019,172,31929,28986,96.5,121,2
S33253,Harbor Motor Group,Harbor BMW,new,BMW,X3,2026,171,81220,74789,96.3,430,0
S32561,Harbor Motor Group,Harbor Ford Portside,new,Ford,Escape,2026,171,35626,33476,102.5,222,5
S33057,Harbor Motor Group,Harbor Jeep Ram Anchor,used,Jeep Ram,Gladiator,2018,171,29703,26844,96.9,120,5
S30839,Summit Auto Group,Summit Chevrolet Glenpark,new,Chevrolet,Trax,2026,171,27550,25503,97.7,23,0
S31192,Summit Auto Group,Summit Kia Brookfield,used,Hyundai,Elantra,2023,171,18212,16749,105.8,221,1
S32612,Harbor Motor Group,Harbor Chevrolet Marina,used,BMW,5 Series,2024,170,30834,27053,100.3,40,5
S31884,Summit Auto Group,Summit BMW,new,BMW,i4,2026,168,50195,47455,99.9,146,1
S33298,Harbor Motor Group,Harbor BMW,used,BMW,X1,2025,167,49468,43236,105.1,15,0
S31253,Summit Auto Group,Summit Kia Brookfield,used,Kia,Telluride,2025,167,25898,24139,97.7,226,2
S32232,Harbor Motor Group,Harbor Honda Seaside,used,Honda,Odyssey,2024,166,21261,18303,101.8,18,1
S32974,Harbor Motor Group,Harbor Subaru Tidewater,used,Subaru,Outback,2018,166,22454,20227,99.8,330,3
S30569,Summit Auto Group,Summit Ford Rivera,new,Ford,Escape,2026,166,26899,23168,99.3,227,1
S33142,Harbor Motor Group,Harbor Jeep Ram Anchor,used,Toyota,Corolla,2018,165,27283,26074,93.8,2,3
S30790,Summit Auto Group,Summit Chevrolet Glenpark,new,Chevrolet,Malibu,2026,165,40845,35583,104.6,13,5
S30801,Summit Auto Group,Summit Chevrolet Glenpark,new,Chevrolet,Malibu,2026,165,48672,45152,102.5,139,5
S30526,Summit Auto Group,Summit Ford Rivera,new,Ford,Explorer,2026,165,38146,35066,103.0,50,1
S33285,Harbor Motor Group,Harbor BMW,new,BMW,i4,2026,164,79539,76690,100.0,189,0
S31770,Summit Auto Group,Summit BMW,used,Honda,CR-V,2018,164,47290,41384,104.7,114,1
S30709,Summit Auto Group,Summit Chevrolet Glenpark,new,Chevrolet,Traverse,2026,164,28994,27737,105.1,528,1
S30937,Summit Auto Group,Summit Nissan Ridgemont,new,Nissan,Altima,2026,163,46591,40849,95.9,43,5
S31449,Summit Auto Group,Summit Subaru Northgate,new,Subaru,Crosstrek,2026,163,34443,30960,96.8,22,2
S31079,Summit Auto Group,Summit Hyundai Oakhurst,used,Kia,Telluride,2025,161,23934,23163,95.7,292,0
S32421,Harbor Motor Group,Harbor Ford Portside,new,Ford,Maverick,2026,160,31094,28952,93.1,63,1
S33017,Harbor Motor Group,Harbor Jeep Ram Anchor,new,Jeep Ram,Compass,2026,160,48981,44306,96.3,38,3
S33154,Harbor Motor Group,Harbor Jeep Ram Anchor,used,Toyota,Camry,2021,160,27997,26855,104.3,51,5
S31034,Summit Auto Group,Summit Hyundai Oakhurst,used,BMW,5 Series,2025,160,30477,28005,93.7,1124,1
S32340,Harbor Motor Group,Harbor Honda Seaside,used,Hyundai,Elantra,2019,159,26431,24271,98.3,53,1
S32547,Harbor Motor Group,Harbor Ford Portside,used,Ford,Explorer,2019,158,21558,18871,97.8,230,3
S32251,Harbor Motor Group,Harbor Honda Seaside,used,Honda,Odyssey,2021,158,20112,17695,104.8,209,0
S33132,Harbor Motor Group,Harbor Jeep Ram Anchor,new,Jeep Ram,Ram 2500,2026,156,28903,27464,100.2,33,2
S32926,Harbor Motor Group,Harbor Subaru Tidewater,used,Subaru,Outback,2019,156,29219,26829,98.3,17,1
S30287,Summit Auto Group,Summit Honda Westland,used,Honda,Pilot,2019,156,31572,27917,96.5,103,0
S30227,Summit Auto Group,Summit Toyota of Fairview,new,Toyota,Highlander,2026,156,34626,29814,103.2,187,5
S31692,Summit Auto Group,Summit Volkswagen Eastdale,new,Volkswagen,ID.4,2026,156,30600,28798,99.8,119,2
S33213,Harbor Motor Group,Harbor BMW,new,BMW,3 Series,2026,155,63456,55145,98.8,17,0
S32391,Harbor Motor Group,Harbor Ford Portside,new,Ford,Escape,2026,155,48594,42329,104.9,130,0
S32092,Harbor Motor Group,Harbor Toyota Bayview,new,Toyota,Camry,2026,155,28432,26519,102.7,296,1
S30401,Summit Auto Group,Summit Honda Westland,new,Honda,Odyssey,2026,155,43811,42334,103.8,40,2
S31564,Summit Auto Group,Summit Jeep Ram Clearwater,used,Jeep Ram,Grand Cherokee,2025,155,22026,19491,101.5,199,0
S32528,Harbor Motor Group,Harbor Ford Portside,new,Ford,Explorer,2026,154,31375,27151,97.3,66,5
S32288,Harbor Motor Group,Harbor Honda Seaside,used,Honda,Pilot,2024,154,18607,17895,104.8,355,0
S32029,Harbor Motor Group,Harbor Toyota Bayview,used,Toyota,Tacoma,2018,153,28234,25048,104.1,150,0
S30788,Summit Auto Group,Summit Chevrolet Glenpark,new,Chevrolet,Tahoe,2026,153,45696,42059,104.5,114,0
S30489,Summit Auto Group,Summit Ford Rivera,used,Ford,Mustang,2021,152,22793,19921,101.5,155,2
S31263,Summit Auto Group,Summit Kia Brookfield,new,Kia,Sorento,2026,152,30461,27551,105.1,26,2
S32412,Harbor Motor Group,Harbor Ford Portside,used,Subaru,Impreza,2022,151,26829,25115,97.9,103,5
S31856,Summit Auto Group,Summit BMW,used,Chevrolet,Malibu,2023,151,36603,33967,96.4,292,1
S31381,Summit Auto Group,Summit Mazda Lakeside,new,Mazda,Mazda3,2026,151,34842,30921,104.4,95,0
S31236,Summit Auto Group,Summit Kia Brookfield,new,Kia,Telluride,2026,150,32615,29764,97.3,341,1
S33037,Harbor Motor Group,Harbor Jeep Ram Anchor,used,Jeep Ram,Grand Cherokee,2018,149,17223,15472,104.3,111,3
S31126,Summit Auto Group,Summit Hyundai Oakhurst,used,Hyundai,Palisade,2022,149,27578,25482,95.2,278,2
S32224,Harbor Motor Group,Harbor Honda Seaside,new,Honda,Accord,2026,148,41308,37197,96.4,58,0
S31131,Summit Auto Group,Summit Hyundai Oakhurst,new,Hyundai,Elantra,2026,148,35456,31762,97.0,115,1
S31499,Summit Auto Group,Summit Subaru Northgate,used,Honda,Odyssey,2020,148,17339,15270,98.0,161,1
S30152,Summit Auto Group,Summit Toyota of Fairview,used,Toyota,Corolla,2019,148,27289,24163,96.4,389,0
S32522,Harbor Motor Group,Harbor Ford Portside,used,Jeep Ram,Compass,2019,147,27935,26654,100.8,158,1
S32063,Harbor Motor Group,Harbor Toyota Bayview,used,Toyota,Highlander,2025,147,27629,25781,104.1,13,0
S31400,Summit Auto Group,Summit Subaru Northgate,new,Subaru,Crosstrek,2026,147,42601,39869,96.3,24,1
S33252,Harbor Motor Group,Harbor BMW,used,Chevrolet,Silverado,2025,146,46677,44022,93.9,56,3
S33059,Harbor Motor Group,Harbor Jeep Ram Anchor,used,Nissan,Altima,2022,146,24895,21872,99.4,430,2
S32980,Harbor Motor Group,Harbor Subaru Tidewater,new,Subaru,WRX,2026,146,37467,34244,94.9,130,1
S30467,Summit Auto Group,Summit Ford Rivera,used,Ford,Maverick,2022,146,22776,21728,97.6,364,2
S30341,Summit Auto Group,Summit Honda Westland,new,Honda,Pilot,2026,146,49075,47319,101.2,108,2
S30365,Summit Auto Group,Summit Honda Westland,new,Honda,CR-V,2026,146,44220,39095,104.3,284,5
S30910,Summit Auto Group,Summit Nissan Ridgemont,used,Nissan,Pathfinder,2022,146,17157,16073,95.2,176,1
S30240,Summit Auto Group,Summit Toyota of Fairview,used,Toyota,Highlander,2019,145,30424,29025,95.1,4,1
S33259,Harbor Motor Group,Harbor BMW,used,BMW,X5,2020,144,35103,30935,100.8,26,0
S31702,Summit Auto Group,Summit Volkswagen Eastdale,new,Volkswagen,Atlas,2026,144,47390,41261,101.5,191,0
S33172,Harbor Motor Group,Harbor BMW,new,BMW,5 Series,2026,143,43063,41302,99.7,8,0
S33187,Harbor Motor Group,Harbor BMW,used,Jeep Ram,Grand Cherokee,2024,143,45032,40507,93.4,14,0
S33307,Harbor Motor Group,Harbor BMW,used,Chevrolet,Silverado,2018,143,31151,27180,101.2,250,0
S30678,Summit Auto Group,Summit Chevrolet Glenpark,new,Chevrolet,Trax,2026,143,47185,41269,97.8,40,5
S30286,Summit Auto Group,Summit Honda Westland,new,Honda,Civic,2026,143,42328,39148,101.4,296,1
S30334,Summit Auto Group,Summit Honda Westland,new,Honda,CR-V,2026,143,49646,44089,93.9,25,2
S31641,Summit Auto Group,Summit Jeep Ram Clearwater,used,Jeep Ram,Ram 2500,2019,143,31187,28691,105.3,63,5
S33287,Harbor Motor Group,Harbor BMW,new,BMW,i4,2026,142,43177,40853,105.4,136,3
S32728,Harbor Motor Group,Harbor Chevrolet Marina,used,Jeep Ram,Ram 2500,2018,142,28077,25623,100.1,260,5
S32891,Harbor Motor Group,Harbor Subaru Tidewater,new,Subaru,Ascent,2026,142,32323,28148,105.8,8,1
S31536,Summit Auto Group,Summit Jeep Ram Clearwater,new,Jeep Ram,Wrangler,2026,142,42104,36420,94.1,63,1
S33338,Harbor Motor Group,Harbor BMW,used,BMW,X5,2020,141,32202,30927,93.1,37,0
S32263,Harbor Motor Group,Harbor Honda Seaside,used,Ford,Maverick,2025,141,29197,26516,94.1,303,5
S32273,Harbor Motor Group,Harbor Honda Seaside,new,Honda,Odyssey,2026,141,50393,44604,102.8,41,0
S32357,Harbor Motor Group,Harbor Honda Seaside,used,Hyundai,Tucson,2021,141,30997,28631,99.2,140,1
S31478,Summit Auto Group,Summit Subaru Northgate,used,Jeep Ram,Ram 1500,2025,141,29741,27162,105.0,32,1
S33271,Harbor Motor Group,Harbor BMW,used,BMW,3 Series,2023,140,32371,28092,103.9,309,3
S33072,Harbor Motor Group,Harbor Jeep Ram Anchor,used,Jeep Ram,Gladiator,2023,140,28152,27285,102.4,124,0
S30729,Summit Auto Group,Summit Chevrolet Glenpark,used,Nissan,Kicks,2022,140,21875,20750,105.3,194,2
S30248,Summit Auto Group,Summit Honda Westland,new,Honda,Accord,2026,140,36548,33877,104.6,136,1
S31574,Summit Auto Group,Summit Jeep Ram Clearwater,new,Jeep Ram,Ram 2500,2026,140,31194,30012,106.0,22,0
S30972,Summit Auto Group,Summit Nissan Ridgemont,new,Nissan,Sentra,2026,140,36684,32679,100.1,104,5
S31727,Summit Auto Group,Summit Volkswagen Eastdale,used,Volkswagen,Taos,2025,140,18620,17137,99.2,118,3
S33148,Harbor Motor Group,Harbor Jeep Ram Anchor,new,Jeep Ram,Ram 2500,2026,139,48104,43339,104.8,56,1
S32981,Harbor Motor Group,Harbor Subaru Tidewater,new,Subaru,Impreza,2026,139,43890,39574,102.1,38,0
S33242,Harbor Motor Group,Harbor BMW,used,BMW,X5,2022,138,34019,30393,93.8,217,0
S32460,Harbor Motor Group,Harbor Ford Portside,used,Ford,Bronco,2023,138,29353,25950,95.5,104,0
S32194,Harbor Motor Group,Harbor Honda Seaside,used,BMW,X5,2020,138,17546,16293,101.4,3,0
S33102,Harbor Motor Group,Harbor Jeep Ram Anchor,new,Jeep Ram,Grand Cherokee,2026,138,26722,24779,99.7,113,0
S33107,Harbor Motor Group,Harbor Jeep Ram Anchor,new,Jeep Ram,Ram 2500,2026,138,33323,31488,100.1,67,0
S30013,Summit Auto Group,Summit Toyota of Fairview,used,Honda,HR-V,2018,138,28030,24914,94.4,322,1
S32511,Harbor Motor Group,Harbor Ford Portside,used,Ford,Escape,2025,137,25247,22026,93.5,122,2
S32955,Harbor Motor Group,Harbor Subaru Tidewater,new,Subaru,Forester,2026,137,43650,39774,102.3,3,0
S32620,Harbor Motor Group,Harbor Chevrolet Marina,used,Chevrolet,Trax,2020,136,17711,15533,95.8,16,0
S32521,Harbor Motor Group,Harbor Ford Portside,used,Kia,Sorento,2024,136,22309,20799,97.5,704,0
S32283,Harbor Motor Group,Harbor Honda Seaside,new,Honda,Civic,2026,136,34385,31952,102.5,23,0
S32383,Harbor Motor Group,Harbor Honda Seaside,used,Hyundai,Kona,2022,136,30126,28859,99.1,596,1
S30499,Summit Auto Group,Summit Ford Rivera,new,Ford,Bronco,2026,136,45007,42383,102.9,64,1
S32637,Harbor Motor Group,Harbor Chevrolet Marina,used,Chevrolet,Malibu,2021,135,19343,16754,99.9,30,0
S30522,Summit Auto Group,Summit Ford Rivera,new,Ford,Mustang,2026,135,33966,29579,99.7,512,0
S31395,Summit Auto Group,Summit Subaru Northgate,used,Subaru,Outback,2018,135,27653,26788,101.2,36,5
S31448,Summit Auto Group,Summit Subaru Northgate,new,Subaru,Ascent,2026,135,34554,30258,102.7,108,0
S32440,Harbor Motor Group,Harbor Ford Portside,new,Ford,F-150,2026,134,33886,32010,95.7,30,0
S33055,Harbor Motor Group,Harbor Jeep Ram Anchor,new,Jeep Ram,Ram 1500,2026,134,44688,42893,101.2,268,0
S32776,Harbor Motor Group,Harbor Kia Lighthouse,new,Kia,Telluride,2026,134,39926,35979,103.0,22,1
S30253,Summit Auto Group,Summit Honda Westland,new,Honda,Odyssey,2026,134,29091,25304,103.8,230,5
S30206,Summit Auto Group,Summit Toyota of Fairview,new,Toyota,Tundra,2026,134,32074,29401,95.4,225,0
S31167,Summit Auto Group,Summit Kia Brookfield,new,Kia,Sorento,2026,133,50943,44307,105.0,134,1
S32313,Harbor Motor Group,Harbor Honda Seaside,new,Honda,CR-V,2026,132,33836,31661,103.9,96,3
S32784,Harbor Motor Group,Harbor Kia Lighthouse,used,Nissan,Frontier,2018,132,21727,19559,97.0,34,1
S32997,Harbor Motor Group,Harbor Subaru Tidewater,new,Subaru,Crosstrek,2026,132,39322,35215,103.0,137,5
S31776,Summit Auto Group,Summit BMW,new,BMW,3 Series,2026,132,65413,59116,94.5,27,3
S30555,Summit Auto Group,Summit Ford Rivera,new,Ford,Mustang,2026,132,43300,38720,106.0,0,0
S31330,Summit Auto Group,Summit Mazda Lakeside,new,Mazda,Mazda3,2026,132,36245,34324,94.9,1058,5
S30023,Summit Auto Group,Summit Toyota of Fairview,used,Toyota,Highlander,2022,132,32128,29870,94.5,123,5
S33010,Harbor Motor Group,Harbor Jeep Ram Anchor,used,Subaru,Forester,2021,131,17577,15183,93.8,67,2
S33019,Harbor Motor Group,Harbor Jeep Ram Anchor,used,Jeep Ram,Ram 2500,2022,131,17105,15080,99.7,117,0
S32158,Harbor Motor Group,Harbor Toyota Bayview,used,Toyota,Tacoma,2022,131,28947,28016,102.5,211,5
S30804,Summit Auto Group,Summit Chevrolet Glenpark,used,Toyota,Corolla,2022,130,29692,28624,96.9,26,0
S30618,Summit Auto Group,Summit Ford Rivera,new,Ford,Escape,2026,130,46826,42206,102.8,327,5
S30876,Summit Auto Group,Summit Nissan Ridgemont,new,Nissan,Kicks,2026,130,31488,29422,105.8,246,1
S32311,Harbor Motor Group,Harbor Honda Seaside,used,BMW,X1,2024,129,25729,22252,99.4,238,1
S32035,Harbor Motor Group,Harbor Toyota Bayview,used,Toyota,RAV4,2024,129,29963,28409,94.5,36,2
S32074,Harbor Motor Group,Harbor Toyota Bayview,used,Jeep Ram,Grand Cherokee,2023,129,28482,25664,104.9,98,3
S31646,Summit Auto Group,Summit Jeep Ram Clearwater,new,Jeep Ram,Ram 1500,2026,129,31378,29839,101.3,26,1
S33175,Harbor Motor Group,Harbor BMW,used,BMW,5 Series,2018,128,42439,39647,102.1,44,2
S32951,Harbor Motor Group,Harbor Subaru Tidewater,new,Subaru,Impreza,2026,128,42701,36909,98.5,48,1
S32141,Harbor Motor Group,Harbor Toyota Bayview,new,Toyota,RAV4,2026,128,47792,42292,100.0,124,3
S30516,Summit Auto Group,Summit Ford Rivera,new,Ford,Mustang,2026,128,31098,29221,95.5,123,1
S31302,Summit Auto Group,Summit Mazda Lakeside,used,Kia,K5,2019,128,20028,18511,104.4,197,1
S30897,Summit Auto Group,Summit Nissan Ridgemont,used,Nissan,Sentra,2019,128,18596,17488,105.5,234,0
S30968,Summit Auto Group,Summit Nissan Ridgemont,new,Nissan,Kicks,2026,128,31564,27765,101.9,168,3
S31734,Summit Auto Group,Summit Volkswagen Eastdale,new,Volkswagen,Atlas,2026,128,34575,32194,98.2,83,2
S32654,Harbor Motor Group,Harbor Chevrolet Marina,used,Chevrolet,Malibu,2018,127,19936,17676,101.3,65,2
S32668,Harbor Motor Group,Harbor Chevrolet Marina,used,Chevrolet,Tahoe,2020,127,19454,18415,103.2,122,2
S32392,Harbor Motor Group,Harbor Ford Portside,used,BMW,X3,2022,127,22010,19050,98.2,54,0
S32459,Harbor Motor Group,Harbor Ford Portside,new,Ford,F-150,2026,127,46198,41335,98.6,8,0
S32307,Harbor Motor Group,Harbor Honda Seaside,used,Honda,Pilot,2023,127,19718,17826,98.6,101,5
S31878,Summit Auto Group,Summit BMW,new,BMW,X5,2026,127,54258,51780,100.0,316,5
S31552,Summit Auto Group,Summit Jeep Ram Clearwater,used,Jeep Ram,Gladiator,2022,127,17673,16075,93.1,280,3
S31608,Summit Auto Group,Summit Jeep Ram Clearwater,new,Jeep Ram,Wrangler,2026,127,39785,35248,95.7,723,2
S31203,Summit Auto Group,Summit Kia Brookfield,new,Kia,K5,2026,127,42530,41240,103.5,204,3
S31353,Summit Auto Group,Summit Mazda Lakeside,new,Mazda,CX-90,2026,127,36948,33216,98.9,339,0
S31444,Summit Auto Group,Summit Subaru Northgate,new,Subaru,Impreza,2026,127,38795,36039,105.1,15,5
S32740,Harbor Motor Group,Harbor Chevrolet Marina,new,Chevrolet,Traverse,2026,126,49934,45266,105.5,105,1
S32107,Harbor Motor Group,Harbor Toyota Bayview,new,Toyota,Tacoma,2026,126,47556,41033,103.4,134,1
S32123,Harbor Motor Group,Harbor Toyota Bayview,used,Honda,Odyssey,2022,126,19210,16997,104.7,165,0
S32149,Harbor Motor Group,Harbor Toyota Bayview,new,Toyota,Tacoma,2026,126,27435,26302,96.5,498,0
